Report generated on: 09-17-2020 15:39:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","energy consumption per capita (MMBtu/person)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-WORL-MBTUPP.A","    World","68.26782834693638","66.4379847052217","65.3570756481473","65.02129267872455","67.52931984347173","68.1386725077795","68.38379322213217","69.17881619752886","70.53156602666033","69.66986024606003","67.80703666991926","65.30589876194611","64.06130078399117","63.43013847171973","63.20525174539533","64.04771980862769","64.83596608343353","64.16176927605053","63.74211284094275","64.23053360428237","65.524576360038","65.2598083474534","65.85753873438462","67.41379867972171","69.75939718360898","71.18387067709087","72.54066259219394","73.61871398790606","73.68168074479478","72.00189918638833","75.37030887367965","76.61822146971849","77.41180328276602","77.97773478199736","77.82527682598086","77.36922466703975","77.01415308937115","77.38387777491842"
"INTL.47-33-AFG-MBTUPP.A","        Afghanistan","1.9902829587370823","2.2737729932221176","2.476057550972137","3.1123562977604866","3.212166236643484","3.206091479049969","3.332526591235134","5.434543297122344","9.573143958136207","9.214378634021795","8.726854929139892","3.567049985636651","2.1595226780561516","1.964311751662966","1.7616325396998394","1.3996407242653586","1.318606693412316","1.2229821749048069","1.1672808143688678","1.1416224087889384","0.9710328129547602","0.7365432711255625","0.668538661649472","0.7503633521957501","0.6638034575504376","0.8184187715747253","0.9998175876840902","1.2639880937503156","2.1111698110731996","3.3579667580742125","4.061555520719247","5.347433782037638","4.736874741480483","3.843173831852303","3.404758685145918","3.6463240488489945","3.310442557138537","4.00138412795846"
"INTL.47-33-ALB-MBTUPP.A","        Albania","60.752902921750355","59.2047134581751","58.36192162833888","59.523209795841005","58.67682750133343","57.26436102534089","54.554682516321705","53.32685075996459","52.668683658910524","49.21578099888168","34.94913330242792","29.363399020832606","25.93778698446544","23.10759951620951","22.303428123175312","24.912216881423234","27.541428306357567","25.14613136220994","26.952940569564504","24.163781004265832","31.329351652169038","29.690818902125933","32.1956807676078","36.40848500377516","38.69708598221457","38.70388571031515","36.72500962541503","31.913434027647682","35.21681405880194","38.70478492761921","43.52986361836434","36.152155829134216","35.836618744830496","43.98836549971559","40.16365832410916","40.33060019838733","43.084564685696726","38.69093128500764"
"INTL.47-33-DZA-MBTUPP.A","        Algeria","40.61878996190855","33.46452972595267","47.46866268490106","50.742963093745566","51.968240379667115","46.659434531403996","46.47401414698878","48.314329944408335","50.031608992590385","47.0089161262488","47.06547409185162","51.30376182909404","48.17614943778056","43.321464678201465","43.70457496915213","44.82522685716712","42.993772445605565","40.46376277071228","41.43538212835619","40.70312503676403","40.88778637928523","40.567920210541864","41.418427285370264","41.22020844787382","39.81735337689928","45.201684992119645","46.73778341136228","45.60271039045265","48.54293446608417","50.472187634990966","49.41417342445129","52.88892126179015","56.17234406724131","53.46803152493596","59.14198316272957","59.27217105341799","57.63287754754076","57.92052580055727"
"INTL.47-33-ASM-MBTUPP.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.47-33-AGO-MBTUPP.A","        Angola","6.997256566141181","6.696813908804215","6.925958254365556","7.145535864285764","6.229453559657355","7.404815282921243","7.059355626398969","7.029102131123003","7.001739139862667","6.546028608094423","6.718935398090189","6.812131048502314","6.6892286291023435","6.357411915869981","6.005854315081681","6.238312774287927","5.806087231870673","6.31515501694505","5.503247441339618","5.946264412077974","6.752911822204013","7.094573619555762","7.312659828399827","7.8454117321587145","8.381498845124181","6.887931407701192","8.375992178335771","9.279723788780894","10.480210991589445","11.491561140969964","12.151704803709508","12.284364739912554","12.376183787509108","13.36731054473051","14.232635312941229","14.414266551627433","13.608547074352085","12.167792180951679"
"INTL.47-33-ATA-MBTUPP.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.47-33-ATG-MBTUPP.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","92.73595998958766","92.26681129114476","95.44608279628356","93.28069747399657","91.76333982883152","89.82143238684073","94.40721953110868","98.85294436597158","97.04518152240551","97.69271283830965","95.73145204795205","93.84764690099276","95.9030369571223","94.54593024462378","99.94587397204202","103.60462891019175","105.99794838934433","106.1777286342098","107.69555086281461","111.10104591314933","111.90411883451115","115.46841388710779","109.98043121663058","108.30774332441091","109.93692801042477","108.61389114505442","109.72148139576119","110.94276004317578","111.65244000576013","108.38176633394114"
"INTL.47-33-ARG-MBTUPP.A","        Argentina","59.647458848627814","57.27389608891757","59.16308368156369","59.027766858110425","62.2226251240447","58.715878657991595","61.91763383954113","62.51797278767514","61.97683439781812","60.31547090148107","57.68214806030907","59.50700109265485","60.944980966269625","64.98903557202885","64.93858555460972","66.13433731929051","67.7565214384467","68.81034826227094","71.10599262673067","70.03067658683233","74.89977632380769","72.70970510653562","67.69079141424784","72.61896849278953","77.2483269082803","80.33763172065072","84.54869831938767","85.20760645053718","87.6180056825342","84.7121150548574","87.27136975838006","90.1554781204581","90.67098968478145","91.0722716843925","90.56372223398132","90.3429144418015","89.73771717095828","88.14574640572363"
