Report generated on: 09-17-2020 15:59:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"INTL.7-1-BLZ-TST.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEN-TST.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BMU-TST.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BTN-TST.A","        Bhutan","0.05512","0.09921","0.11023","0.22046","0.44092","0.55116","0.88185","2.01723","2.20462","2.20462","2.20462","2.20462","61.72944","50.70632","70.54793","74.95717","70.54793","59.52481","55.11557","55.11557","55.11557","93.25113","97.62841","73.1097","32.66259","94.00401","107.98793","116.0304","111.7601023858","89.0236248407","66.8073935232","113.6976436959","123.7487708303","85.69798864","134.3612052398","93.69635","129.83337873","119.51781",""
"INTL.7-1-BOL-TST.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BIH-TST.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","1653.46500000002","1433.003","1543.234","1807.78839999997","1862.90390000005","6010.89643","7754.75085","7464.84332","8200.08409","8324.64512","8790.29192","7905.7813051","6216.3890602","6355.69679338","6498.79316603","6760.93460944","7452.37509159","7390.14969209","7047.44922926","7828.89111829","7683.69043585","6875.00495517","6797.86089213","6665.778801","7167.18765301","7860.99242","7741.800912119999"
"INTL.7-1-BWA-TST.A","        Botswana","408.95751","419.98011","457.45865","435.41245","433.20783","481.70947","540.1319","536.82497","671.30679","730.83153","875.23414","864.21104","993.18131","981.0559","993.18131","1003.1021","802.48168","855.39256","1018.53444","792.56089","1036.1714","1008.61365","1050.50143","907.20113","1004.20441","1085.77535","1060.42222","912.71268","1003.1021","813.50478","1089.08228","868.62028","1621.49801","1649.05575999996","1887.15472000004","2298.31634999996","2069.0358699999997","2446.72916378","2737.4325616"
"INTL.7-1-BRA-TST.A","        Brazil","5778.30902","6271.04159","6995.25926","7426.26247","8288.26889","8501.01472","8147.17321","7588.30204","8081.03461","7353.51001","5065.11445","5718.78428","5215.02861","5065.11445","5659.25954","5730.90969","5296.59955","6224.74457","6080.34196","6239.0746","7502.32186","6232.46074","5670.28264","5121.33226","5959.08786","6894.94905","6483.78742","6575.27915","7288.47372","6293.08779","5969.00865","6068.21655","7292.88296","9473.25214","8749.03447","8850.44699","7721.68155","5312.031889999999","5530.289269999999"
"INTL.7-1-VGB-TST.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BRN-TST.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGR-TST.A","        Bulgaria","33304.09203","32232.64671","35510.91665","35703.8209","37099.34536","34039.3328","38826.66513","40585.95189","37640.57957","37807.02838","34915.66925","31294.5809","33426.44844","32002.26392","31699.12867","33984.2173","34504.50762","32747.42548","33191.65641","27886.23838","29136.25792","29333.57141","28679.90158","30091.96069","29194.68035","27221.54545","28305.11618","31364.02643","31734.40259","29967.39966","32413.42555","40926.56568","36846.91637","31549.21451","34467.02908","39527.73429","34426.24361","37784.25686","33359.1854838"
"INTL.7-1-BFA-TST.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-MMR-TST.A","        Burma","41.88783","61.72944","73.85486","78.26411","95.90109","94.79878","108.02651","81.57104","71.65024","71.65024","76.05948","82.67335","80.46873","63.93406","58.4225","63.93406","58.4225","54.01326","57.32019","207.23454","639.34059","707.68389","536.82563","943.57852","514.7794","632.72672","807.99423","854.2913","737.4463","683.43304","756.18559","763.90177","930.34964","669.322632","642.205806","522.384709","606.2705","812.40247",""
"INTL.7-1-BDI-TST.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CPV-TST.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-KHM-TST.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CMR-TST.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CAN-TST.A","        Canada","40441.54928","44189.40328","47296.81517","49391.20417","63274.79862","67078.87043","62884.58088","67469.08817","77870.48533","77742.61737","75323.04692","78411.71954","72326.96834","76062.69693","80273.52113","82652.30611","83614.62274","86723.13694","82825.36878","79894.32649","76239.06653","77553.02005","73312.43348","68512.97574","72749.15307","72581.60195","73295.89883","76460.63084","75677.99074","71251.11378","74834.72359","73980.43334","73299.20576","75957.97748","76079.23158","68267.16061","67605.85495361","67093.20046","60186.126"
"INTL.7-1-CYM-TST.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CAF-TST.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-TCD-TST.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CHL-TST.A","        Chile","1284.19115","1251.12185","1129.86775","1135.3793","1349.22744","1461.66306","1838.65308","1760.38907","2161.62991","2190.28997","2406.34273","2433.90048","1792.35606","1493.63005","1302.93042","1144.19778","1106.71924","1150.81164","1037.27371","534.62035","403.44546","634.93056","477.30023","634.93056","256.83823","599.65664","742.95694","267.86133","735.24077","701.06916","682.32989","720.91074","784.84472","3337.79468","3487.7088397328","3464.5603300000053","2783.33275","2673.10175","2529.44540387"
"INTL.7-1-CHN-TST.A","        China","683587.3665","685229.81042","734492.10508","787634.53572","869977.19428","961524.15269","985510.44787","1023044.14966","1080121.83186","1162001.51965","1189724.65034","1195214.16091","1228581.12576","1269179.25313","1355313.86277","1424395.71567","1504609.81099","1460849.15233","1436117.69467","1415748.08305","1525800.416195","1622078.376215","1709021.754693","2022627.185997","2339775.110948","2607124.08726","2832640.399072","3042255.778903","3200453.026936","3434086.088202","3779211.743263","4149574.565312","4348754.155911","4380934.883819996","4270259.652889996","4129850.71202002","3708155.40766007","3884057.6282199994","3908689.84748"
"INTL.7-1-COL-TST.A","        Colombia","4590.01884","4721.19373","5130.15074","5596.42787","7310.51992","9662.84946","11628.26819","14731.27084","16501.5807","20100.62285","22562.08108","22037.38152","24146.10055","23394.32513","24983.85615","28515.65739","32622.86445","35926.48752","36789.59625","36105.06174","42044.30802","47885.44871","48336.2935","55143.5978819","59186.33083","65106.65154961","72307.12676","72485.70098","81064.5277629","80309.2029047","82021.4210277","94624.5391124","98206.5946653","94246.93794213636","97640.48962267043","94300.41588000018","99772.27091426002","99813.06819","91531.41316"
"INTL.7-1-COM-TST.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COG-TST.A","        Congo-Brazzaville","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COD-TST.A","        Congo-Kinshasa","152.12","154.32","135.58","124.56","133.38","119.82","131.18","134.48","135.58413","137.78875","138.89106","76.61055","46.02144","15.43234","12.12541","11.0231","8.26733","5.51155","4.33575","3.15996","1.1758","3.85809","6.54037","9.22266","8.0849","9.05815","9.62942","8.89363","7.3539","3.65731","2.6383","1.61929","4.26594","4.40924","6.22144","7.61641","9.01138","3.95233",""
"INTL.7-1-COK-TST.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CRI-TST.A","        Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-HRV-TST.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","132.2772","127.86796","113.53793","90.38942","72.75246","54.01319","56.21781","16.53465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CUB-TST.A","        Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CYP-TST.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CZE-TST.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","93959.80209","84816.14064","82564.12131","85037.70495","81588.57696","74437.89199","65182.89723","71828.72422","72869.30486","69837.95236","70444.22286","70631.61556","68371.88006","69338.60593","69033.26606","66359.062","62189.02327","60857.43279","64002.32322","61566.21812","53990.04149","51650.93967","51168.12789","49949.03239003","49286.48471999999","48127.95691"
"INTL.7-1-CIV-TST.A","        Côte d’Ivoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-DNK-TST.A","        Denmark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-DJI-TST.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-DMA-TST.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-DOM-TST.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ECU-TST.A","        Ecuador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-EGY-TST.A","        Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.99009","63.93398","55.48294","47.03189","41.70406","36.37623","37.09886","34.00714","30.91542","27.8237","36.05939","41.88778","9.92079","23.14851","3.30693","0","0","0","0",""
"INTL.7-1-SLV-TST.A","        El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GNQ-TST.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
