Report generated on: 09-19-2020 19:43:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","electricity installed capacity (million kW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-7-BRB-MK.A","        Barbados","0.094","0.094","0.094","0.094","0.094","0.095","0.1","0.132","0.132","0.14","0.14","0.14","0.153","0.153","0.153","0.153","0.166","0.165","0.166","0.166","0.186","0.19","0.209","0.209","0.209","0.239","0.239","0.24","0.24","0.24","0.24","0.241","0.241","0.242","0.231","0.233","0.244","0.244","NA",""
"INTL.2-7-BLR-MK.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","7.208","7.208","7.205","7.205","7.39","7.408","7.408","7.408","7.859","7.86","7.913","7.955","7.958","7.962","8.028","8.031","8.069","8.122","8.351","8.453","9.051","9.308","10.317","9.938","10.118","10.257","NA",""
"INTL.2-7-BEL-MK.A","        Belgium","11.013","10.977","12.047","12.566","12.309","14.112","14.138","14.053","14.025","14.108","13.937","13.863","13.785","13.785","14.631","14.613","14.573","14.417","15.103","15.253","15.685","15.533","15.552","15.615","15.648","16.096","16.26","16.38","16.758","17.777","18.689","20.099","20.838","20.952","20.921","21.166","21.667","22.262","NA",""
"INTL.2-7-BLZ-MK.A","        Belize","0.021","0.021","0.021","0.021","0.021","0.022","0.022","0.023","0.023","0.023","0.023","0.04","0.043","0.046","0.048","0.074","0.069","0.067","0.058","0.058","0.066","0.066","0.066","0.088","0.083","0.087","0.086","0.088","0.089","0.136","0.175","0.175","0.176","0.173","0.186","0.187","0.198","0.208","NA",""
"INTL.2-7-BEN-MK.A","        Benin","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.06","0.06","0.08","0.08","0.082","0.085","0.085","0.09","0.09","0.09","0.09","0.091","0.092","0.092","0.203","0.203","0.203","0.207","0.207","0.241","0.278","0.35","0.353","0.353","NA",""
"INTL.2-7-BMU-MK.A","        Bermuda","0.118","0.118","0.118","0.137","0.149","0.149","0.123","0.12","0.133","0.17","0.14","0.14","0.14","0.14","0.14","0.146","0.146","0.146","0.168","0.168","0.168","0.168","0.175","0.175","0.175","0.175","0.175","0.165","0.165","0.165","0.165","0.165","0.171","0.171","0.171","0.171","0.171","0.171","NA",""
"INTL.2-7-BTN-MK.A","        Bhutan","0.015","0.015","0.016","0.016","0.016","0.016","0.188","0.263","0.347","0.353","0.36","0.361","0.361","0.361","0.361","0.353","0.353","0.353","0.354","0.356","0.426","0.442","0.442","0.457","0.462","0.485","1.505","1.505","1.505","1.505","1.5054","1.5055","1.4985","1.5005","1.5005","1.6235","1.6245","1.6245","NA",""
"INTL.2-7-BOL-MK.A","        Bolivia","0.508","0.517","0.562","0.471","0.469","0.469","0.469","0.606","0.609","0.633","0.702","0.702","0.701","0.756","0.804","0.803","0.805","0.989","1.061","1.345","1.341","1.243","1.402","1.329","1.471","1.43","1.454","1.584","1.539","1.604","1.716","1.752","1.95","2.185","2.218","2.321","2.442","2.59","2.701",""
"INTL.2-7-BIH-MK.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","3.12","3.12","3.059","2.827","2.827","2.827","3.544","4.36","4.36","4.37","4.757","4.757","4.757","4.73","4.761","4.761","4.468","4.468","4.4673","4.4673","4.4703","4.306","4.241","4.2583","4.5923","4.5953","NA",""
"INTL.2-7-BWA-MK.A","        Botswana","0.133","0.133","0.152","0.154","0.13","0.184","0.184","0.184","0.184","0.217","0.217","0.217","0.217","0.217","0.217","0.217","0.217","0.217","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.132","0.1321","0.133","0.134","0.734","0.622","0.623","0.623","NA",""
"INTL.2-7-BRA-MK.A","        Brazil","31.606","35.84","37.915","38.96","39.87","42.164","42.969","45.557","47.537","50.092","50.968","52.05","53.069","54.108","55.493","56.885","59.263","60.794","62.84","65.591","73.167","75.392","80.502","84.107","87.857","90.513","94.188","97.941","101.62","105.023","113.695","117.138","121.3761","128.0601","134.7861","141.7311","150.7721","157.2271","163.3041",""
"INTL.2-7-VGB-MK.A","        British Virgin Islands","0.005","0.005","0.01","0.01","0.01","0.012","0.012","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.039","0.042","0.042","0.042","0.042","0.044","0.0451","0.0451","0.0451","0.0451","0.0451","0.0452","0.0452","0.0452","NA",""
"INTL.2-7-BRN-MK.A","        Brunei","0.158","0.24","0.24","0.24","0.24","0.285","0.288","0.387","0.382","0.382","0.382","0.384","0.417","0.469","0.475","0.65","0.707","0.707","0.769","0.77","0.763","0.761","0.761","0.86","0.874","0.759","0.759","0.759","0.759","0.768","0.786","0.803","0.806","0.811","0.811","0.821","0.821","0.821","NA",""
"INTL.2-7-BGR-MK.A","        Bulgaria","8.963","8.963","9.505","9.67","10.115","10.115","10.115","11.002","11.068","10.973","10.954","12.146","12.087","12.087","12.087","12.087","12.087","12.428","12.428","12.116","12.019","11.844","12.95","12.125","12.332","12.638","12.392","9.869","9.807","9.613","10.204","10.202","11.626","11.518","11.355","10.905","10.745","10.747","NA",""
"INTL.2-7-BFA-MK.A","        Burkina Faso","0.039","0.055","0.055","0.058","0.077","0.077","0.06","0.068","0.065","0.065","0.07","0.078","0.083","0.075","0.078","0.078","0.121","0.121","0.121","0.121","0.1215","0.1775","0.1775","0.1777","0.2141","0.237","0.256","0.251","0.254","0.254","0.242","0.267","0.304","0.2542","0.2922","0.3334","0.3354","0.3724","NA",""
"INTL.2-7-MMR-MK.A","        Burma","0.692","0.722","0.78","0.816","0.916","0.947","0.959","0.983","1.072","1.07","1.097","1.103","1.11","1.115","1.161","1.322","1.393","1.401","1.356","1.151","1.151","1.19","1.19","1.205","1.562","1.691","1.685","1.718","1.749","2.545","3.4144","3.59","3.73","4.006","4.539","5.177","5.291","5.449","NA",""
"INTL.2-7-BDI-MK.A","        Burundi","0.009","0.012","0.022","0.027","0.032","0.032","0.032","0.032","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.054","0.054","0.054","0.054","0.054","0.059","0.046","0.048","0.046","0.041","0.0371","0.037","0.037","0.037","0.057","0.063","0.061","0.061","0.065","0.067","0.067","0.066","0.071","NA",""
