Report generated on: 09-19-2020 19:43:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","electricity installed capacity (million kW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.29-7-BLZ-MK.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.025","0.025","0.025","0.025","0.025","0.039","0.039","0.039","0.039","0.039","0.044","0.049","0.052","0.052","0.076","0.084","0.084","0.085","0.085","0.087","0.088","0.098","0.108","0.108",""
"INTL.29-7-BEN-MK.A","        Benin","0","0","0","0","0","0","0","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.033","0.034","0.034","0.034","0.034","0.038","0.041","0.041","0.041",""
"INTL.29-7-BMU-MK.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.29-7-BTN-MK.A","        Bhutan","0.003","0.003","0.003","0.003","0.003","0.003","0.171","0.258","0.342","0.342","0.349","0.35","0.35","0.35","0.35","0.342","0.342","0.342","0.342","0.344","0.414","0.43","0.43","0.445","0.445","0.468","1.488","1.488","1.488","1.488","1.4884","1.4885","1.4895","1.4895","1.4895","1.6155","1.6155","1.6155","1.6155",""
"INTL.29-7-BOL-MK.A","        Bolivia","0.283","0.283","0.301","0.295","0.295","0.295","0.295","0.301","0.306","0.306","0.309","0.309","0.308","0.308","0.306","0.306","0.307","0.331","0.36","0.4","0.392","0.388","0.499","0.456","0.512","0.512","0.536","0.57","0.525","0.563","0.559","0.564","0.563","0.567","0.6","0.622","0.656","0.778","0.841",""
"INTL.29-7-BIH-MK.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","1.2","1.2","1.139","1.219","1.219","1.219","1.624","1.983","1.983","1.993","2.38","2.38","2.38","2.38","2.411","2.411","2.118","2.118","2.1173","2.1173","2.1203","2.121","2.056","2.0733","2.1073","2.1103","2.169",""
"INTL.29-7-BWA-MK.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.001","0.002","0.002","0.002","0.003","0.003","0.003",""
"INTL.29-7-BRA-MK.A","        Brazil","27.5","31.021","33.002","34.028","34.923","37.077","37.786","40.329","42.228","44.796","45.558","46.616","47.709","48.6","49.928","51.311","53.428","54.97","56.759","58.997","63.742","65.208","68.003","70.513","72.147","74.427","77.617","81.219","83.013","84.927","89.544","92.886","96.7061","101.0931","107.4681","113.6931","121.9501","128.3101","135.6911",""
"INTL.29-7-VGB-MK.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0011","0.0011","0.0011","0.0011","0.0011","0.0012","0.0012","0.0012","0.0012",""
"INTL.29-7-BRN-MK.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001",""
"INTL.29-7-BGR-MK.A","        Bulgaria","1.895","1.895","1.895","1.975","1.975","1.975","1.975","1.975","1.975","1.973","1.973","1.401","1.401","1.401","1.401","1.401","1.401","1.803","1.803","1.803","1.933","1.758","2","1.991","1.992","1.999","2.017","2.048","2.241","2.322","2.707","2.74","3.795","3.898","3.946","3.975","3.984","3.986","4.143",""
"INTL.29-7-BFA-MK.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0.01","0.014","0.014","0.03","0.03","0.03","0.032","0.032","0.032","0.032","0.0325","0.0325","0.0325","0.0327","0.0331","0.033","0.033","0.034","0.034","0.035","0.036","0.038","0.038","0.0382","0.0392","0.0404","0.0424","0.0794","0.0944",""
"INTL.29-7-MMR-MK.A","        Burma","0.169","0.169","0.169","0.17","0.225","0.227","0.229","0.229","0.258","0.258","0.258","0.26","0.289","0.291","0.299","0.317","0.328","0.328","0.328","0.34","0.34","0.39","0.39","0.405","0.746","0.747","0.772","0.804","0.848","1.655","2.5234","2.695","2.817","2.865","2.919","3.097","3.156","3.314","3.359",""
"INTL.29-7-BDI-MK.A","        Burundi","0.002","0.005","0.015","0.02","0.025","0.025","0.025","0.025","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.043","0.043","0.043","0.043","0.043","0.047","0.034","0.036","0.036","0.036","0.0361","0.036","0.036","0.036","0.055","0.056","0.056","0.056","0.058","0.058","0.058","0.059","0.064","0.066",""
"INTL.29-7-CPV-MK.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.011","0.033","0.033","0.032","0.032","0.0325","0.0315","0.034","0.035",""
"INTL.29-7-KHM-MK.A","        Cambodia","0.018","0.018","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.0101","0.0102","0.0123","0.0123","0.0134","0.0136","0.01951","0.0206","0.02109","0.02178","0.02108","0.2183","0.2503","0.7043","0.9603","0.9623","0.9673","1.4253","1.7283",""
"INTL.29-7-CMR-MK.A","        Cameroon","0.325","0.458","0.497","0.497","0.528","0.528","0.528","0.528","0.528","0.53","0.53","0.53","0.53","0.53","0.53","0.723","0.723","0.723","0.723","0.725","0.725","0.8","0.805","0.8051","0.8051","0.8051","0.7191","0.7192","0.7192","0.72","0.72","0.721","0.724","0.725","0.727","0.739","0.741","0.772","0.764",""
"INTL.29-7-CAN-MK.A","        Canada","47.919","49.367","50.007","51.5","54.949","55.705","56.8","57.926","57.342","57.924","59.195","60.052","61.485","61.23","62.941","64.573","65.481","66.646","66.778","66.944","68.694","68.716","70.99","72.623","73.168","74.235","75.824","76.752","78.285","79.605","80.833","82.837","84.005","85.944","88.963","95.452","97.214","98.489","99.059",""
"INTL.29-7-CYM-MK.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.009","0.01",""
"INTL.29-7-CAF-MK.A","        Central African Republic","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.025","0.025","0.0251","0.0252","0.0253","0.0253","0.0253","0.0193","0.0193","0.0193","0.0193",""
"INTL.29-7-TCD-MK.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0002","0.0012","0.0012","0.0012",""
"INTL.29-7-CHL-MK.A","        Chile","1.771","1.771","1.774","1.772","2.267","2.281","2.279","2.255","2.29","2.29","2.68","3.423","3.435","3.467","3.589","3.599","4.107","4.169","4.35","4.336","4.452","4.451","4.479","4.49","5.246","5.262","5.268","5.42","5.534","6.105","6.156","6.678","7.028","7.677","8.328","8.451","9.298","10.275","10.928",""
"INTL.29-7-CHN-MK.A","        China","20.32","21.93","22.96","24.16","25.597","26.415","27.543","30.193","32.698","34.583","36.046","37.884","40.634","44.63","48.975","52.134","55.587","59.73","65.065","72.971","80.819","84.535","88.2","97.319","107.931","114.9478","128.768","146.613","174.264","205.114","233.397","267.757","298.621","357.441","412.211","476.211","541.141","620.961","694.431",""
"INTL.29-7-COL-MK.A","        Colombia","3.087","3.052","3.601","3.614","4.234","4.503","4.6","6.317","7.208","6.67","6.608","6.707","6.794","7.695","7.902","7.876","8.055","8.14","8.202","8.574","8.145","8.801","9.157","8.913","9.007","9.032","9.058","9.103","9.11","9.13","9.493","9.959","9.998","10.096","11.161","11.761","11.892","12.056","12.216",""
"INTL.29-7-COM-MK.A","        Comoros","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001",""
"INTL.29-7-COG-MK.A","        Congo-Brazzaville","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.089","0.092","0.092","0.092","0.092","0.092","0.092","0.092","0.092","0.092","0.092","0.119","0.119","0.119","0.1191","0.2091","0.2092","0.21","0.195","0.204","0.238","0.247",""
"INTL.29-7-COD-MK.A","        Congo-Kinshasa","1.661","1.661","1.661","1.661","2.111","2.111","2.486","2.772","2.772","2.772","2.772","2.772","3.071","3.131","3.131","2.515","2.515","2.515","2.515","2.44","2.44","2.515","2.535","2.469","2.41","2.41","2.41","2.41","2.442","2.442","2.472","2.472","2.4721","2.5154","2.5156","2.5287","2.5427","2.556","2.744",""
"INTL.29-7-COK-MK.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.002","0.002","0.003","0.003","0.005",""
"INTL.29-7-CRI-MK.A","        Costa Rica","0.455","0.455","0.629","0.631","0.631","0.637","0.629","0.724","0.727","0.728","0.747","0.756","0.789","0.788","0.789","0.878","0.981","1.054","1.053","1.11","1.416","1.445","1.49","1.545","1.567","1.57","1.677","1.672","1.778","1.862","1.976","2.038","2.12","2.15","2.303","2.496","2.923","2.986","3.088",""
"INTL.29-7-HRV-MK.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","1.769","1.77","1.77","1.781","1.785","1.785","1.785","1.785","1.788","1.788","1.778","1.786","1.799","1.815","1.826","1.804","1.806","1.834","1.946","1.996","2.052","2.191","2.297","2.431","2.511","2.638","2.6678",""
"INTL.29-7-CUB-MK.A","        Cuba","0.046","0.046","0.046","0.045","0.045","0.046","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.055","0.057","0.057","0.058","0.058","0.058","0.06","0.049","0.726","0.495","0.59","0.614","0.612","0.623","0.62","0.596","0.556","0.594","0.626","0.61","0.638","0.669",""
"INTL.29-7-CYP-MK.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.002","0.009","0.012","0.097","0.153","0.173","0.192","0.221","0.244","0.252","0.278","0.281",""
"INTL.29-7-CZE-MK.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","0.911","0.906","0.908","0.868","0.905","0.888","1.008","0.956","1.004","1.009","1.112","1.164","1.184","1.24","1.372","1.507","2.049","3.422","3.703","4.021","4.119","4.194","4.24","4.243","4.303","4.309",""
"INTL.29-7-CIV-MK.A","        Côte d’Ivoire","0.75","0.885","0.885","0.885","0.885","0.885","0.885","0.885","0.895","0.895","0.895","0.895","0.895","0.895","0.895","0.895","0.895","0.895","0.895","0.614","0.614","0.614","0.614","0.604","0.604","0.606","0.606","0.606","0.606","0.604","0.606","0.606","0.606","0.607","0.608","0.609","0.609","0.887","0.887",""
"INTL.29-7-DNK-MK.A","        Denmark","0.008","0.008","0.01","0.009","0.009","0.009","0.009","0.009","0.009","0.011","0.01","0.01","0.01","0.01","0.008","0.01","0.01","0.01","0.011","0.011","2.758","2.93","3.446","3.787","3.986","4.096","3.962","3.761","4.105","4.591","5.065","5.271","6.09","6.742","6.913","7.275","7.577","8.406","9.143",""
"INTL.29-7-DJI-MK.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003","0.0003",""
"INTL.29-7-DMA-MK.A","        Dominica","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.008","0.008","0.008","0.008","0.008","0.0081","0.0081","0.0081","0.0081","0.0081","0.0081","0.0081","0.0082","0.0062","0.0062","0.0064","0.0064","0.0064","0.0064","0.0074","0.0074","0.0082","0.0082","0.0082",""
"INTL.29-7-DOM-MK.A","        Dominican Republic","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.207","0.22","0.22","0.37","0.37","0.372","0.372","0.398","0.398","0.401","0.401","0.401","0.401","0.464","0.464","0.468","0.481","0.479","0.479","0.482","0.504","0.537","0.571","0.592","0.688","0.701","0.725","0.865","0.905","1.016",""
"INTL.29-7-ECU-MK.A","        Ecuador","0.24","0.24","0.742","0.741","0.751","0.756","0.912","0.93","0.908","0.897","0.911","0.911","1.486","1.487","1.495","1.504","1.504","1.507","1.514","1.729","1.748","1.758","1.702","1.734","1.761","1.82","1.864","2.123","2.132","2.157","2.335","2.327","2.3571","2.377","2.434","2.594","4.632","4.638","4.927",""
"INTL.29-7-EGY-MK.A","        Egypt","2.535","2.535","2.445","2.445","2.445","2.445","2.745","2.745","2.745","2.745","2.745","2.715","2.715","2.715","2.715","2.715","2.805","2.805","2.805","2.81","2.9461","2.8145","2.8816","2.8816","2.9526","3.0006","3.0506","3.2097","3.2679","3.298","3.432","3.452","3.452","3.502","3.572","3.772","3.795","3.916","4.812",""
"INTL.29-7-SLV-MK.A","        El Salvador","0.232","0.233","0.233","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.404","0.404","0.5721","0.5682","0.5834","0.5915","0.6016","0.6379","0.6409","0.725","0.781","0.7815","0.774","0.797","0.819","0.826","0.827","0.9044","0.9534","1.1254","1.2274",""
"INTL.29-7-GNQ-MK.A","        Equatorial Guinea","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.007","0.007","0.007","0.007","0.007","0.126","0.126","0.126","0.126","0.126","0.126","0.126",""
"INTL.29-7-ERI-MK.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0.001","0.002","0.002","0.002","0.002","0.001","0.001","0.001","0.001","0.0013","0.0013","0.002","0.004","0.004",""
"INTL.29-7-EST-MK.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.003","0.004","0.018","0.022","0.048","0.048","0.067","0.094","0.171","0.2561","0.3342","0.4414","0.624","0.666","0.699","0.713","0.716","0.73",""
"INTL.29-7-SWZ-MK.A","        Eswatini","0.022","0.022","0.022","0.023","0.022","0.022","0.022","0.042","0.042","0.043","0.043","0.043","0.043","0.043","0.043","0.044","0.044","0.044","0.044","0.044","0.105","0.105","0.102","0.102","0.102","0.1021","0.1022","0.1022","0.1212","0.1213","0.1216","0.1807","0.1808","0.1808","0.1668","0.167","0.167","0.167","0.167",""
"INTL.29-7-ETH-MK.A","        Ethiopia","0.222","0.222","0.222","0.225","0.225","0.225","0.219","0.334","0.372","0.372","0.372","0.372","0.372","0.372","0.377","0.377","0.378","0.378","0.378","0.398","0.479","0.479","0.663","0.663","0.697","0.6973","0.697","0.697","0.812","1.441","1.8983","2.0285","2.05","2.231","2.326","2.6373","2.6453","4.3003","4.3543",""
"INTL.29-7-FLK-MK.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00001","0.00001","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.002","0.0031","0.0031","0.0031","0.0041",""
"INTL.29-7-FRO-MK.A","        Faroe Islands","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.031","0.032","0.032","0.032","0.034","0.033","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.043","0.043","0.058","0.0583","0.0583","0.0603","0.0603",""
"INTL.29-7-FJI-MK.A","        Fiji","0","0","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.084","0.084","0.079","0.123","0.123","0.123","0.123","0.124","0.144","0.144","0.164","0.171","0.171","0.1712","0.1713","0.176","0.176","0.186","0.187","0.189","0.205","0.207",""
"INTL.29-7-FIN-MK.A","        Finland","2.42","2.467","2.474","2.503","2.497","2.505","2.555","2.586","2.597","2.586","2.621","2.648","2.679","2.731","2.736","2.777","2.785","2.861","2.881","2.881","4.422","4.568","4.61","4.721","4.785","4.841","4.883","4.974","5.072","5","5.143","5.163","5.189","5.431","5.637","6.02","6.597","7.356","7.87",""
"INTL.29-7-CSK-MK.A","        Former Czechoslovakia","2.578","2.832","2.84","2.84","2.875","2.897","2.89","2.975","2.988","3.042","3.036","3.061","3.061","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-SCG-MK.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","2.25","2.25","2.25","2.25","2.25","2.25","2.25","2.296","2.296","2.296","2.296","2.296","2.206","2.206","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-SUN-MK.A","        Former U.S.S.R.","54.149","55.889","56.985","59.239","61.724","62.141","62.4","63.5","63.705","64.973","65","65.325","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-YUG-MK.A","        Former Yugoslavia","6.2","6.25","5.886","5.886","6.386","6.736","7.086","7.386","7.625","7.686","7.386","7.386","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-FRA-MK.A","        France","17.431","17.63","18.247","18.4","18.661","19.034","19.786","19.991","20.174","20.338","17.717","17.655","17.767","17.837","17.902","17.898","18","18.018","18.024","17.947","18.552","18.656","18.94","19.217","19.335","19.698","20.494","21.392","22.822","24.3","26.724","29.508","32.054","33.802","35.485","37.857","40.046","43.071","45.586",""
"INTL.29-7-GUF-MK.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.115","0.115","0.115","0.115","0.115","0.115","0.115","0.117","0.118","0.139","0.149","0.155","0.155","0.159","0.16","0.166","0.166","0.168",""
"INTL.29-7-PYF-MK.A","        French Polynesia","0","0","0.005","0.007","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.015","0.015","0.015","0.02","0.02","0.046","0.046","0.046","0.0465","0.0477","0.0478","0.048","0.0472","0.0485","0.049","0.049","0.05","0.05","0.05","0.059","0.062","0.065","0.069","0.073","0.076","0.082","0.082",""
"INTL.29-7-GAB-MK.A","        Gabon","0.1","0.12","0.125","0.155","0.155","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.168","0.168","0.168","0.168","0.168","0.168","0.171","0.171","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.171","0.171","0.171","0.331","0.331","0.332","0.332","0.332","0.332",""
"INTL.29-7-GMB-MK.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003",""
"INTL.29-7-GEO-MK.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","2.731","2.734","2.734","2.734","2.69","2.69","2.69","2.662","2.662","2.662","2.662","2.7","2.7","2.72","2.635","2.635","2.662","2.662","2.662","2.662","2.71","2.73","2.87","2.88","2.941","3.181","3.241",""
"INTL.29-7-DEU-MK.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","3.31","3.317","3.385","3.471","3.624","3.563","3.569","3.642","3.802","12.239","15.59","19.11","21.83","24.926","28.679","32.539","35.551","40.841","48.498","57.828","68.708","79.359","84.913","91.513","99.175","105.838","113.867","120.691",""
"INTL.29-7-DDR-MK.A","        Germany, East","1.852","1.845","1.852","1.851","1.845","1.844","1.844","1.844","1.844","1.844","1.844","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-DEUW-MK.A","        Germany, West","6.45","6.509","6.531","6.631","6.668","6.71","6.71","6.71","6.85","6.86","6.86","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-GHA-MK.A","        Ghana","0.952","0.952","0.952","0.952","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.072","1.078","1.078","1.188","1.186","1.204","1.204","1.184","1.184","1.187","1.187","1.188","1.19","1.215","1.592","1.593","1.6184","1.6254","1.6304","1.6554",""
"INTL.29-7-GIB-MK.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.29-7-GRC-MK.A","        Greece","1.415","1.714","1.714","1.714","1.714","1.822","1.822","1.822","1.836","1.986","2.093","2.197","2.208","2.208","2.208","2.208","2.207","2.412","2.241","2.344","2.635","2.694","2.713","2.798","2.919","2.947","3.223","3.382","3.594","3.802","4.1","4.865","5.914","7.016","7.354","7.482","7.768","8.031","8.299",""
"INTL.29-7-GRL-MK.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.03","0.03","0.03","0.03","0.03","0.031","0.031","0.038","0.038","0.068","0.068","0.068","0.076","0.091","0.091","0.091","0.091","0.091","0.091",""
"INTL.29-7-GRD-MK.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0003","0.0004","0.0004","0.0011","0.0011","0.0011","0.0021","0.0021","0.0021",""
"INTL.29-7-GLP-MK.A","        Guadeloupe","0","0","0","0","0","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.047","0.049","0.053","0.061","0.071","0.0715","0.076","0.076","0.076","0.087","0.102","0.11","0.142","0.149","0.149","0.149","0.149","0.152","0.158",""
"INTL.29-7-GUM-MK.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.183","0.183","0.183","0.238","0","0","0","0","0","0.0001","0.0001","0.0003","0.0008","0.001","0.032","0.035","0.035","0.035",""
"INTL.29-7-GTM-MK.A","        Guatemala","0.194","0.192","0.412","0.438","0.438","0.438","0.438","0.438","0.438","0.438","0.493","0.493","0.493","0.493","0.508","0.508","0.508","0.508","0.52","0.52","0.703","0.739","0.695","0.81","0.865","0.984","1.075","1.122","1.168","1.2","1.222","1.272","1.469","1.605","1.794","2.112","2.598","2.755","2.87",""
"INTL.29-7-GIN-MK.A","        Guinea","0.043","0.043","0.043","0.043","0.043","0.047","0.047","0.047","0.047","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.052","0.139","0.139","0.139","0.139","0.129","0.129","0.123","0.123","0.123","0.123","0.126","0.129","0.129","0.131","0.131","0.381","0.381","0.381","0.381",""
"INTL.29-7-GNB-MK.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0003","0.0003","0.0003","0.001",""
"INTL.29-7-GUY-MK.A","        Guyana","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.001","0.019","0.019","0.019","0.019","0.015","0.015","0.015","0.016","0.016","0.042","0.0414","0.042","0.042","0.042","0.047","0.047","0.048","0.05","0.051",""
"INTL.29-7-HTI-MK.A","        Haiti","0.05","0.05","0.05","0.05","0.05","0.07","0.07","0.07","0.07","0.07","0.054","0.054","0.062","0.062","0.062","0.062","0.055","0.055","0.062","0.062","0.062","0.063","0.063","0.063","0.063","0.063","0.063","0.063","0.063","0.062","0.06","0.06","0.0604","0.061","0.061","0.062","0.062","0.062","0.063",""
"INTL.29-7-HITZ-MK.A","        Hawaiian Trade Zone","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.29-7-HND-MK.A","        Honduras","0.109","0.131","0.131","0.13","0.13","0.13","0.13","0.13","0.13","0.2","0.424","0.424","0.424","0.424","0.424","0.435","0.435","0.435","0.434","0.388","0.434","0.438","0.484","0.493","0.505","0.539","0.563","0.588","0.604","0.617","0.621","0.742","0.752","0.789","0.897","1.334","1.469","1.59","1.692",""
"INTL.29-7-HKG-MK.A","        Hong Kong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0","0","0","0","0","0","0",""
"INTL.29-7-HUN-MK.A","        Hungary","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.079","0.079","0.12","0.126","0.27","0.435","0.454","0.478","0.604","0.788","0.885","0.918","0.751","0.786","1.065","1.125","1.132","1.27","1.591",""
"INTL.29-7-ISL-MK.A","        Iceland","0.545","0.615","0.755","0.755","0.755","0.755","0.756","0.756","0.756","0.756","0.756","0.779","0.879","0.879","0.884","0.884","0.884","0.923","0.956","1.016","1.236","1.311","1.357","1.357","1.366","1.396","1.586","2.244","2.455","2.451","2.458","2.549","2.542","2.651","2.652","2.655","2.655","2.707","2.837",""
"INTL.29-7-IND-MK.A","        India","12.173","13.059","13.859","14.463","15.475","16.199","17.269","17.802","18.312","18.312","18.757","19.199","19.58","20.383","20.837","20.99","21.104","21.89","22.438","24.5","26.754","28.131","29.097","32.31","33.167","37.221","40.5","43.404","44.314","45.745","49.164","54.667","58.124","61.6","67.633","73.818","86.688","100.828","113.339",""
"INTL.29-7-IDN-MK.A","        Indonesia","1.313","1.355","1.454","1.454","1.454","1.454","1.75","2.1","2.971","2.971","3.145","3.195","3.236","3.298","3.318","3.342","3.361","3.638","4.344","4.373","5.666","5.921","5.921","6.093","6.139","6.488","6.827","6.911","7.171","8.043","8.201","7.125","7.491","8.252","8.409","8.5","8.857","9.121","9.436",""
"INTL.29-7-IRN-MK.A","        Iran","1.804","1.804","1.804","1.804","1.804","1.804","1.804","1.804","1.914","1.953","1.953","1.953","1.953","1.953","1.953","1.953","2.242","2.345","2.444","2.527","2.648","2.814","3.039","4.447","4.858","5.113","6.328","7.141","7.755","7.815","8.599","8.8534","9.9174","10.064","10.027","10.327","11.015","11.212","11.578",""
"INTL.29-7-IRQ-MK.A","        Iraq","0.084","0.084","0.09","0.1","0.1","0.1","0.4","1.648","1.648","1.648","0.78","0.868","0.868","0.91","0.91","0.91","0.91","0.91","0.91","0.91","0.91","0.91","0.6","0.7","1.81","1.862","2.225","2.273","2.513","2.513","2.513","2.513","2.513","2.543","2.55","2.55","2.55","2.55","2.55",""
