"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2015&vo=0&v=T&end=2017"
"Sat Aug 25 2018 02:26:42 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","French Guiana","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","French Polynesia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Gabon","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,15.9335,17.295,18.193,19.3051,18.7085,19.4469,20.1689,21.172,21.9395,23.1985,24.0053,21.861,21.4494,21.9074,21.8528,22.3439,22.498,23.1001,22.4518,23.8007,23.0133,23.0433,24.677,26.427,27.8147,29.3831,30.6509,31.8399,32.5601,32.8206
"","Gambia, The","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,1.21942,1.28777,1.33749,1.37874,1.42548,1.46547,1.47135,1.48436,1.51746,1.59067,1.64436,1.75027,1.84642,1.95559,1.88978,2.0216,2.164,2.16955,2.19394,2.2736,2.40398,2.55904,2.726,2.60801,2.76089,2.89294,2.91825,3.04482,3.11091,3.21979
"","Georgia","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,16.3313,11.6347,10.3459,10.615,11.803,13.0442,13.4496,13.8354,14.0899,14.7667,15.5755,17.2979,18.3002,20.0551,21.9443,24.7046,25.3021,24.3785,25.902,27.7725,29.5363,30.5366,31.9485,32.8688,33.8045,35.4697
"","Germany","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,2604.974,2644.337,2618.285,2684.597,2733.064,2756.653,2809.32,2858.949,2911.846,3004.618,3059.506,3060.413,3038.393,3059.671,3086.516,3206.082,3314.122,3341.156,3155.291,3279.771,3401.699,3425.135,3445.66,3512.061,3564.88,3631.015,3722.294
"","Germany, East","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Germany, West","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Ghana","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,25.4648,26.7599,27.6507,29.1111,30.2405,31.7072,32.7437,34.0611,35.6266,37.1223,38.8648,40.5859,42.2928,44.2124,46.3318,48.7523,51.362,54.5442,57.027,59.5063,64.9501,68.0979,73.475,83.7971,91.5848,98.282,102.199,106.121,110.071,119.196
"","Gibraltar","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Greece","Billion $2010 PPP",198.9388,195.8431,193.6296,191.5419,195.3854,200.296,201.3269,196.7833,205.2213,213.0178,213.018,219.6255,221.1568,217.6201,221.972,226.0287,232.5747,243.278,252.6872,260.131,270.6805,282.0236,293.277,310.3139,325.1004,327.6914,345.9967,356.9551,356.1328,340.7691,322.1474,292.6157,271.1935,262.6108,264.6432,263.721,263.0585,266.5159
"","Greenland","Billion $2010 PPP",2.32477,2.34023,2.2368,2.31413,2.19427,2.2745,2.43593,2.57029,2.71432,2.89508,2.55579,2.55289,2.4224,2.3006,2.4369,2.52776,2.56642,2.60412,2.80615,2.84482,3.04684,3.08551,3.05554,3.04394,3.24891,3.33805,3.57529,3.59667,3.72614,3.78172,3.88424,3.94218,4.00207,3.88352,3.85184,3.91559,4.11138,4.23471
"","Grenada","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.601101,0.6376,0.670751,0.686157,0.684123,0.666065,0.684404,0.698979,0.730001,0.766614,0.856718,0.915817,0.960584,0.941176,0.973461,1.06562,1.05872,1.19922,1.16148,1.22186,1.23346,1.15137,1.146,1.15479,1.14002,1.1648,1.19306,1.26743,1.31813,1.36331
"","Guadeloupe","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,3.06932,3.43456,3.09489,3.27779,3.34302,5.64636,5.7834,5.86323,6.16188,6.39486,6.60955,6.96334,7.30558,7.5978,7.68138,8.06545,8.13803,8.49611,8.67453,8.90006,8.99796,8.56606,9.00293,9.27302,9.32866,9.39396,9.4785,9.65859,9.74551,9.73577
"","Guam","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Guatemala","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,45.206,46.7513,48.4849,49.9047,52.1125,53.9192,55.8211,58.2245,59.8778,62.2949,65.1567,67.5624,69.2306,70.9145,73.6565,75.5203,77.9009,80.4407,84.7681,90.1121,93.0687,93.5585,96.243,100.249,103.226,107.043,111.511,116.128,119.689,123.16
"","Guinea","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,7.69311,8.00106,8.34708,8.56525,8.8454,9.29159,9.66042,10.1056,10.5564,11.1034,11.508,11.9467,12.2457,12.6938,13.3493,13.516,13.8323,14.2469,14.6026,15.5535,16.1977,15.9486,16.641,17.5545,18.593,19.3243,20.0409,20.7436,22.1182,23.5338
"","Guinea-Bissau","Billion $2010 PPP",0.960714,1.13525,1.18293,1.14273,1.24683,1.29878,1.28847,1.32583,1.38682,1.47142,1.56117,1.64079,1.65884,1.69368,1.74788,1.82478,2.03646,2.16883,1.55939,1.57538,1.66087,1.69723,1.68051,1.69006,1.73673,1.81081,1.85264,1.91201,1.97334,2.03869,2.135,2.30761,2.26809,2.34194,2.36452,2.50953,2.654,2.76016
"","Guyana","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,2.24211,2.13125,2.0665,2.19018,2.3617,2.55569,2.77351,2.91181,3.14136,3.33697,3.27996,3.37737,3.33087,3.40582,3.44161,3.40702,3.51924,3.45037,3.62737,3.88821,3.95646,4.09934,4.269,4.49082,4.72777,4.965,5.15855,5.31614,5.49455,5.67587
"","Haiti","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,14.4912,14.2887,14.3589,14.0046,13.6712,13.1584,11.7262,12.9036,13.393,13.783,14.0598,14.461,14.5465,14.4034,14.3983,14.4459,13.919,14.1854,14.4899,14.98,15.1138,15.5772,14.716,15.5304,15.9759,16.6486,17.1208,17.6282,17.8482,18.1859
"","Hawaiian Trade Zone","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Honduras","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,14.7766,15.3716,15.3802,15.9126,16.8208,17.8215,17.613,18.3297,18.9774,19.9377,20.519,20.1191,21.2771,21.8566,22.6771,23.7082,25.1858,26.7098,28.4638,30.2252,31.5042,30.7382,31.885,33.108,34.475,35.4373,36.5211,37.9235,39.3464,41.2293
"","Hong Kong","Billion $2010 PPP",78.7572,85.997,88.4795,93.80161,103.184,103.9219,115.4611,130.9275,142.0715,145.3065,150.8726,159.4753,169.4184,179.9245,190.7849,195.3137,203.6314,214.0159,201.4261,206.4752,222.2984,223.5452,227.2485,234.1939,254.569,273.377,292.6031,311.5192,318.1481,310.3248,331.3265,347.279,353.1837,364.1378,374.1967,383.1315,391.4189,406.2589
"","Hungary","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.7135,149.9729,149.1088,153.5033,156.0752,156.018,161.2952,168.0388,173.1848,180.7621,187.8724,196.3679,203.7095,213.4539,223.0374,232.0466,233.1602,234.6623,219.265,220.6243,224.3151,220.9041,225.7336,235.0288,242.8035,247.9305,258.3993
"","Iceland","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,7.08377,7.10208,7.18512,7.16907,6.92718,7.01817,7.27144,7.27993,7.62827,8.16066,8.73342,9.07354,9.4912,9.86397,9.91827,10.152,10.9717,11.6729,12.2585,13.4143,13.6368,12.7497,12.29,12.5313,12.6966,13.2436,13.535,14.1185,15.1748,15.7275
"","India","Billion $2010 PPP",888.11,941.366,975.015,1039.61,1090.478,1135.342,1183.818,1227.85,1332.329,1426.812,1505.246,1541.065,1608.293,1698.165,1803.685,1931.243,2082.144,2181.918,2313.284,2473.609,2613.835,2715.526,2840.76,3036.233,3271.258,3566.437,3899.821,4292.14,4559.52,4793.02,5315.99,5683.83,5995.78,6365.16,6812.22,7331.33,7911.44,8404.37
"","Indonesia","Billion $2010 PPP",414.066,444.864,443.069,482.386,518.922,539.189,577.949,615.933,658.918,718.779,783.484,853.437,909.103,981.431,1055.43,1142.188,1231.484,1289.363,1120.111,1128.972,1185.18,1228.362,1283.632,1344.995,1412.659,1493.075,1575.209,1675.157,1799.818,1884.44,2004.623,2128.305,2256.643,2382.051,2501.312,2623.283,2755.32,2894.951
"","Iran","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,462.912,491.511,558.789,629.164,655.912,645.575,643.312,660.376,707.27,731.209,751.248,765.776,805.16,834.705,902.815,975.572,1034.76,1067.77,1121.15,1212.59,1215.63,1227.88,1299.07,1333.44,1234.17,1231.78,1288.48,1271.46,1441.79,1495.93
"","Iraq","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,213.457,194.522,194.555,65.9154,82.8123,123.036,117.354,95.8661,143.453,174.845,235.79,277.248,281.147,287.628,267.781,179.142,276.164,288.317,317.604,321.98,343.259,363.199,383.315,422.467,475.767,599.513,600.696,624.664,693.34,691.261
"","Ireland","Billion $2010 PPP",50.2905,51.6842,52.3674,52.4352,54.3711,57.5815,57.7793,60.3381,63.0389,66.96241,75.9346,77.4301,80.0704,82.13709,86.7006,93.1682,100.4087,110.7014,120.0872,132.8488,145.5685,154.064,163.8007,168.9442,180.3552,191.2133,201.8047,212.2112,203.8673,194.3512,197.7732,203.577,203.6608,206.9634,224.1362,281.2585,295.6935,318.7821
"","Israel","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,86.13,87.3521,93.1464,98.8231,105.894,109.887,117.591,125.337,132.874,138.25,143.962,149.07,162.396,162.127,161.873,163.655,171.78,178.803,188.72,200.444,206.682,209.62,220.984,232.835,237.932,247.928,256.567,263.217,273.644,282.563
"","Italy","Billion $2010 PPP",1343.769,1356.144,1360.56,1379.143,1423.418,1463.837,1507.319,1551.901,1618.629,1674.876,1707.571,1741.853,1754.036,1738.987,1778.658,1828.852,1848.212,1884.313,1911.649,1940.459,2017.995,2049.5,2054.563,2059.519,2087.91,2111.678,2156.118,2184.79,2161.884,2042.242,2075.904,2090.851,2031.225,1995.693,1999.332,2015.9,2035.498,2067.507
"","Jamaica","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,16.1438,17.2478,18.1892,18.3482,20.2438,20.642,20.8261,21.0405,21.1065,20.8988,20.6425,20.8466,20.9907,21.2595,21.403,22.1877,22.4815,22.6824,23.34,23.677,23.4849,22.4664,22.137,22.5203,22.3798,22.4914,22.6449,22.8471,23.1609,23.4852
"","Japan","Billion $2010 PPP",2374.092,2474.979,2557.459,2647.249,2768.58,2911.036,3008.68,3149.233,3366.168,3527.279,3700.784,3827.099,3861.9,3839.819,3878.334,3984.303,4109.29,4154.09,4105.07,4098.65,4211.41,4228.2,4231.73,4298.12,4392.36,4465.3,4527.33,4601.8,4551.38,4304.6,4485.63,4481.29,4548.59,4640.41,4653.71,4718.43,4763.84,4846.17
"","Jordan","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4852,27.7117,29.0936,30.8934,31.5382,32.5815,33.5569,34.701,36.174,38.0801,40.2833,41.9664,45.5583,48.7812,53.252,57.6057,61.772,65.1549,66.661,68.3854,70.1984,72.1841,74.419,76.1924,77.7259,79.2804
"","Kazakhstan","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,175.126,159.015,139.989,128.589,129.484,131.336,129.515,132.046,144.987,164.56,180.685,197.489,216.445,237.444,262.851,286.246,295.692,299.24,321.08,345.163,362.424,383.804,400.308,404.312,407.95,423.863
"","Kenya","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,49.9912,52.3359,54.5299,55.3142,54.872,55.0658,56.5156,59.0057,61.4526,61.6186,63.6862,65.027,65.3602,68.2732,68.6533,70.6752,74.2816,78.6643,83.6323,89.3617,89.5693,92.5313,100.306,106.436,111.293,117.837,124.143,131.248,138.951,145.739
"","Kiribati","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.130102,0.125729,0.124636,0.124636,0.125729,0.126822,0.129009,0.129009,0.131196,0.133382,0.142129,0.139942,0.148689,0.146502,0.152045,0.155103,0.152576,0.16013,0.157599,0.161073,0.158097,0.158548,0.156,0.156746,0.164873,0.174407,0.17597,0.194083,0.196296,0.201203
"","Korea, North","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,48.3206,48.9971,46.8903,44.819,41.6441,39.7789,38.9392,37.2359,35.9876,33.6543,33.3501,35.3771,35.5229,36.8572,37.2999,37.978,38.7665,40.2245,39.8119,39.3395,40.5584,40.1898,40,40.3189,40.8463,41.2842,41.7149,41.2383,42.8336,41.7628
"","Korea, South","Billion $2010 PPP",189.9257,203.5634,220.388,249.5718,275.6343,296.9952,330.3302,371.5133,415.74,444.966,488.622,539.215,572.513,611.713,668.028,731.962,787.551,834.191,788.551,877.725,956.057,999.321,1073.595,1105.087,1159.234,1204.717,1267.076,1336.302,1374.108,1383.83,1473.734,1527.993,1563.021,1608.288,1662.029,1708.403,1758.448,1812.306
"","Kosovo","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.9156,13.3801,13.823,14.4277,14.8335,15.3438,15.5314,16.1675,16.8254,17.1543
"","Kuwait","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,85.9583,108.313,80.0224,46.6569,86.164,115.209,125.14,126.826,127.712,130.881,135.461,133.226,139.523,139.821,144.036,168.991,186.297,206.061,221.546,234.82,240.643,223.615,218.314,239.334,255.193,258.126,259.419,260.957,270.213,262.468
"","Kyrgyzstan","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,12.5246,10.0523,8.04239,7.57721,8.1096,8.90043,9.09468,9.43902,9.94824,10.4899,10.4803,11.2242,12.0083,11.9841,12.3647,13.4122,14.5365,14.9769,14.893,15.7777,15.8716,17.6016,18.3057,19.0196,19.8374,20.7499
"","Laos","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,5.99357,6.8441,7.30297,7.61674,8.04022,8.51561,9.2104,9.858,10.541,11.2654,11.7123,12.5681,13.2969,14.0617,14.8939,15.7975,16.8019,17.9961,19.5472,21.0322,22.678,24.3792,26.458,28.5849,30.8791,33.3576,35.8967,38.5063,41.2106,44.0129
"","Latvia","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,22.915,19.5076,19.6346,20.3603,20.8405,22.711,24.192,24.8255,26.1678,27.8589,29.8376,32.353,35.0499,38.7993,43.4122,47.7442,46.0507,39.4184,37.865,40.2811,41.9065,42.9248,43.7225,45.0216,46.0165,48.1094
"","Lebanon","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,28.5779,16.4461,20.8099,28.7594,30.0535,32.1566,34.7302,36.9998,38.9003,38.0107,39.3763,39.1979,39.7248,41.2626,42.6718,44.0469,46.6517,47.9263,48.6723,53.2229,58.7974,64.7092,69.91,70.5515,72.53,74.4421,75.9331,76.5524,78.0834,79.4889
"","Lesotho","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,1.93433,2.09094,2.22556,2.31701,2.42047,2.50802,2.58979,2.70877,2.97462,3.217,3.06021,3.15125,3.3132,3.45332,3.47171,3.63457,3.71793,3.81842,3.98289,4.17142,4.44921,4.54493,4.842,5.16304,5.46773,5.58547,5.71275,6.03331,6.2062,6.39859
"","Liberia","Billion $2010 PPP",5.79902,5.67512,5.53705,5.43203,5.31754,5.27271,5.1842,5.13227,5.02747,3.68673,1.80536,1.54855,1.00523,0.673754,0.527132,0.504643,0.565805,1.16713,1.51971,1.85011,2.37956,2.449,2.54114,1.77512,1.82163,1.91785,2.0721,2.26967,2.43189,2.56079,2.717,2.93979,3.17482,3.45114,3.47533,3.47533,3.41974,3.51207
"","Libya","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,85.2101,91.3448,94.7429,109.575,106.603,102.591,104.576,102.254,104.437,109.88,105.977,106.772,109.268,109.828,108.455,122.554,127.95,141.116,150.593,158.253,181.41,180.055,187.842,72.7545,163.486,105.54,61.0849,55.5242,53.0454,83.3414
"","Lithuania","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,43.3013,36.2753,32.7326,33.1224,34.8283,37.7165,40.5326,40.073,41.6085,44.3231,47.3197,52.3064,55.7326,60.0395,64.4859,71.6356,73.5184,62.6272,63.654,67.5008,70.0842,72.5361,75.102,76.63,78.4267,81.4582
"","Luxembourg","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,18.1418,19.9192,20.9545,22.7658,23.1802,24.154,25.0766,26.1373,26.5002,28.0132,29.7066,32.226,34.8814,35.7646,37.1307,37.7356,39.0987,40.3391,42.428,45.9728,45.3844,43.4064,45.518,46.6738,46.5093,48.2089,50.9914,52.4506,54.0675,55.3091
"","Macau","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,11.9946,12.5973,13.6024,14.1002,15.9755,16.804,17.5187,18.096,18.0202,17.9699,17.1484,16.7439,17.7062,18.2177,19.8476,22.1605,28.0897,30.3536,34.395,39.3643,40.7001,41.2378,51.656,62.8513,68.6569,76.3466,75.4296,59.141,58.6305,63.9636
"","Macedonia","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,17.0821,15.8009,15.5165,15.3458,15.53,15.7474,16.2828,16.983,17.7472,17.2028,17.4598,17.8479,18.6821,19.5646,20.5697,21.9013,23.0997,23.0169,23.79,24.3466,24.2355,24.9445,25.8497,26.8465,27.6276,27.6332
"","Madagascar","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,17.7144,18.4369,19.014,17.8143,18.0256,18.4035,18.3903,18.7052,19.1072,19.8122,20.5889,21.5565,22.5777,23.9297,20.9024,22.9481,24.1545,25.2663,26.5354,28.1913,29.7426,28.5548,28.717,29.2336,29.9558,30.3777,31.2109,32.1641,33.515,34.8891
"","Malawi","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,6.42427,6.51066,6.88127,7.48202,6.93336,7.60533,6.82653,7.96853,8.55156,8.87588,9.22161,9.50216,9.65192,9.17174,9.32766,9.85986,10.3943,10.7341,11.2386,12.3175,13.2585,14.3627,15.35,16.0951,16.3986,17.2513,18.2347,18.7452,19.2109,19.9735
"","Malaysia","Billion $2010 PPP",104.6399,111.9052,118.5917,125.9675,135.7451,134.2189,135.766,143.0833,157.3019,171.5529,187.0071,205.1882,223.4388,245.5464,268.1739,294.5396,324.0036,347.7448,322.155,341.9058,371.5517,373.4747,393.6085,416.394,444.636,466.761,492.828,523.871,549.185,540.872,581.588,612.375,645.894,676.21,716.827,753.326,785.143,831.442
"","Maldives","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.892371,0.971741,1.13022,1.20816,1.28628,1.35601,1.45791,1.56526,1.70746,1.88513,2.06968,2.21942,2.32531,2.60843,2.7491,3.14911,3.33912,2.90073,3.65815,3.94033,4.31409,4.00223,4.293,4.66077,4.7781,5.12599,5.50171,5.62527,5.97197,6.36014
"","Mali","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,3.75451,4.03569,4.13295,4.7384,4.65353,4.86366,5.21133,7.15113,8.59632,9.58152,10.2057,11.5546,11.5475,13.2405,14.2905,16.1415,15.1483,16.719,18.8111,20.373,22.3178,24.9393,27.65,29.7928,33.1343,35.4585,38.2203,41.1292,44.3657,47.5699
"","Malta","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,5.1606,5.5867,5.94179,6.30871,6.60462,6.88868,7.0899,7.75273,8.06047,8.45107,8.74697,9.10206,9.6702,9.73099,10.0154,10.2674,10.3158,10.7098,10.9082,11.3402,11.7171,11.4273,11.833,11.9915,12.3142,12.8898,13.9329,15.3089,16.1532,17.2172
"","Martinique","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,3.07695,3.25357,2.62888,2.77426,2.83668,4.6862,4.82153,4.90727,5.13391,5.2987,5.48716,5.67075,5.71154,6.01996,6.08618,6.2992,6.54486,6.83284,7.02416,7.08738,7.06611,6.60682,6.91073,6.97984,6.97984,6.94494,7.04217,7.07034,6.99256,7.03397
"","Mauritania","Billion $2010 PPP",4.73916,4.90267,4.78795,4.9668,4.80653,4.95047,5.23332,5.33277,5.42452,5.68368,5.583,5.68283,5.78934,6.12938,5.94178,6.52525,6.90494,6.62566,6.8097,7.33492,7.30335,7.45006,7.49961,7.94795,8.40476,9.15861,10.8868,11.1935,11.3144,11.1965,11.731,12.2828,12.9946,13.786,14.5552,14.759,15.0542,15.6564
"","Mauritius","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,6.68279,6.98118,7.48291,7.8148,8.32375,8.74677,9.10855,9.49911,10.0299,10.6004,11.2439,11.5374,12.5788,12.9026,13.1752,13.657,14.4417,14.621,15.8694,16.8311,17.7378,18.3259,19.128,19.9079,20.6039,21.2963,22.0938,22.8602,23.7166,24.6178
"","Mexico","Billion $2010 PPP",923.022,1001.838,996.612,961.791,994.55,1016.161,984.532,1001.627,1014.31,1056.203,1110.748,1157.328,1198.637,1229.116,1289.738,1208.626,1286.981,1378.515,1450.05,1489.804,1559.229,1556.969,1556.228,1579.049,1636.638,1678.416,1753.841,1793.828,1809.582,1718.502,1806.625,1872.942,1936.375,1967.841,2023.135,2090.025,2144.81,2194.476
"","Moldova","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,9.38073,8.82948,8.97452,8.69016,8.10509,8.44376,8.78077,9.46539,10.0901,10.8368,11.6495,12.2085,12.575,13.5558,12.7424,13.647,14.5751,14.4731,15.8335,16.5935,16.5272,17.3226,18.1333
"","Mongolia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,10.2215,10.6508,10.3846,9.42932,8.53718,8.28058,8.47205,9.85654,10.0885,10.4918,10.8624,11.2118,11.3302,11.4487,11.8886,12.616,13.9565,14.9689,16.2497,17.9149,19.5094,19.2619,20.488,24.0811,27.0866,30.2207,32.6628,33.4917,33.9575,35.682
"","Montenegro","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.5866,8.10248,8.68586,8.18209,8.403,8.6719,8.43776,8.73308,8.89027,9.19254,9.45912,9.87532
"","Montserrat","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Morocco","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,90.4438,93.018,96.1916,103.133,100.969,100.222,110.833,104.842,117.814,115.975,124.37,125.715,128.12,137.498,141.79,150.243,157.45,162.632,174.951,181.13,191.859,200.001,207.632,218.524,225.101,235.311,241.592,252.583,255.671,265.897
"","Mozambique","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,4.56773,4.86463,4.91328,5.15403,4.88441,5.31263,5.63983,5.76601,7.31391,8.10689,9.06832,9.77773,9.94185,11.2065,12.1921,12.9846,13.9989,15.2197,16.719,17.9605,19.1955,20.4147,21.78,23.3302,25.0096,26.7957,28.7903,30.6887,31.8699,33.0491
"","Namibia","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,7.92738,8.57471,9.19117,9.04599,9.20247,9.56128,9.86641,10.2828,10.6213,10.9791,11.3625,11.4964,12.0469,12.5577,14.0984,14.455,15.4774,16.5016,16.9389,16.989,18.015,18.9321,19.8905,21.0074,22.3417,23.7059,23.8719,23.688
"","Nauru","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Nepal","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,20.9278,21.7421,22.024,24.1488,25.1203,25.989,27.4521,28.1693,29.7372,31.3065,32.3473,33.8077,35.8228,37.5026,37.577,39.0277,40.8669,42.3184,43.7549,45.2544,48.0071,50.1921,52.582,54.3867,56.9637,59.3507,62.8935,64.8964,64.9247,69.7941
"","Netherlands","Billion $2010 PPP",372.9752,371.0594,366.2995,372.7385,384.3614,394.5722,406.907,414.435,433.439,452.857,471.775,483.339,491.024,497.228,512.187,528.853,544.594,569.11,595.069,624.402,651.117,666.299,667.751,669.156,680.994,694.992,720.086,747.225,763.491,735.45,745.024,756.502,748.701,748.074,758.774,773.635,790.184,813.572
"","Netherlands Antilles","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,2.0561,2.21648,2.24972,2.29022,2.36348,2.47157,2.60624,2.64738,2.68416,2.71697,2.63237,2.58477,2.53268,2.56838,2.57865,2.62249,2.65396,2.68315,2.72704,2.7944,2.85554,2.84037,2.84271,2.86012,2.85615,2.83347,2.8012,2.80901,2.78186,2.81246
"","New Caledonia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","New Zealand","Billion $2010 PPP",65.6907,68.7483,69.3879,71.8109,75.2529,76.4679,78.537,75.045,75.47141,76.60391,77.4173,75.7306,76.385,80.1092,85.4421,89.1412,92.47861,95.2659,96.0027,100.2753,104.4255,106.7055,112.129,117.2806,122.4561,125.5849,129.0317,134.1457,133.6021,134.0363,136.7219,139.2764,142.8257,145.9526,150.5682,156.8477,163.3369,168.3101
"","Nicaragua","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1554,12.1323,12.1793,12.1317,12.5364,13.2776,14.1201,14.6802,15.2251,16.2963,16.9647,17.467,17.5987,18.0424,19.0008,19.8145,20.6372,21.6851,22.4297,21.6913,22.648,24.0786,25.6429,26.9063,28.1938,29.5381,30.9144,32.4172
