"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2015&vo=0&v=T&end=2017"
"Sat Aug 25 2018 02:26:42 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Barbados","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,3.68377,3.81638,3.69044,3.54651,3.29826,3.33784,3.46468,3.53397,3.67533,3.84807,3.99045,4.00641,4.09856,3.99199,4.01994,4.10034,4.15774,4.32405,4.57052,4.65279,4.6714,4.48455,4.498,4.53398,4.54759,4.54304,4.54758,4.58851,4.66651,4.71225
"","Belarus","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,8.41727,7.80858,60.7206,54.3983,55.9222,62.297,67.5306,69.8269,73.877,77.3678,81.2712,86.9953,96.9559,106.109,116.718,126.811,139.807,140.036,150.956,159.075,161.759,163.383,166.203,159.838,155.8,159.573
"","Belgium","Billion $2010 PPP",240.1622,240.5135,241.9097,242.8709,247.9764,252.5572,257.2382,263.3431,275.3664,285.3291,294.1456,299.4422,303.4294,301.3277,311.2464,321.2154,326.322,338.4295,345.1173,357.4131,370.4248,373.409,380.0546,382.9977,396.9143,405.248,415.405,429.714,433.072,423.327,434.942,442.766,443.804,444.695,450.446,456.875,463.325,471.341
"","Belize","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.732249,0.845555,0.939569,1.04769,1.17387,1.24742,1.25025,1.25707,1.27548,1.32089,1.37026,1.49009,1.68522,1.76987,1.85906,2.0337,2.12797,2.18196,2.28334,2.3082,2.38234,2.40123,2.481,2.53387,2.62894,2.6461,2.75499,2.83381,2.81235,2.8461
"","Benin","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,6.73975,6.54738,7.13508,7.4366,7.65655,8.1034,8.26712,8.76689,9.14599,9.67049,10.0535,10.5905,11.2111,11.8087,12.3572,12.7828,13.349,13.5775,14.1134,14.9583,15.6903,16.0542,16.394,16.8797,17.6917,18.9643,20.1699,20.5924,21.4122,22.6327
"","Bermuda","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,3.95695,3.96189,3.85706,3.86714,3.76173,3.85287,3.91376,4.12495,4.28477,4.48212,4.65736,4.81524,4.95891,5.317,5.23843,5.4171,5.54482,5.63767,5.89734,6.09314,6.16255,5.79609,5.65239,5.40224,5.18427,5.08144,5.06758,5.09831,5.09204,5.18013
"","Bhutan","Billion $2010 PPP",0.434511,0.494942,0.511838,0.569731,0.595267,0.620338,0.693108,0.892004,0.936491,1.0061,1.11552,1.11097,1.16209,1.18517,1.24386,1.33185,1.40597,1.48152,1.56914,1.69442,1.81189,1.96054,2.17086,2.33724,2.47505,2.65134,2.83294,3.34077,3.50007,3.73308,4.171,4.50013,4.72836,4.82967,5.10716,5.4441,5.87912,6.35267
"","Bolivia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,22.9313,23.8004,24.9038,26.2153,26.647,27.7846,29.0814,30.4419,31.7696,33.3435,35.0204,35.1699,36.0519,36.659,37.5702,38.5888,40.1992,41.9766,43.9903,45.9981,48.8263,50.4654,52.548,55.2826,58.1144,62.0639,65.4529,68.632,71.5584,74.5605
"","Bosnia and Herzegovina","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,6.64176,6.49688,7.22011,8.7219,13.4491,18.377,21.4306,23.5737,24.8702,25.4671,26.7659,27.8098,29.5618,30.7147,32.5576,34.5762,36.547,35.2386,35.137,35.7547,35.778,36.722,36.8136,38.2291,39.4976,40.1298
"","Botswana","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,8.83881,9.9931,10.6699,11.4658,11.8002,12.0263,12.4626,13.2657,13.9987,15.0717,15.1199,16.5563,16.8025,16.7939,17.8497,19.1996,19.7192,20.6177,22.3422,24.1914,25.7022,23.7354,25.768,27.3266,28.5443,31.7822,33.1009,32.5389,33.9431,34.7442
"","Brazil","Billion $2010 PPP",1288.375,1231.016,1238.42,1196.111,1260.99,1361.279,1475.643,1524.218,1520.087,1569.739,1514.808,1530.626,1522.101,1596.833,1690.017,1761.588,1796.295,1857.363,1863.734,1872.432,1954.546,1981.61,2042.063,2065.391,2184.409,2254.266,2343.451,2485.491,2611.978,2608.683,2805.42,2917.233,2973.645,3063.227,3078.868,2969.559,2866.621,2894.563
"","Brunei","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,20.7783,21.237,21.4683,22.1437,23.1974,23.2681,23.9999,25.0748,25.7966,25.4164,25.274,26.0456,26.7887,27.524,28.5897,29.4198,29.5681,29.6828,30.9881,31.0352,30.4345,29.897,30.674,31.8225,32.1131,31.4308,30.6426,30.5184,29.766,30.1619
"","Bulgaria","Billion $2010 PPP",68.0539,71.2853,72.94609,75.4533,78.0102,80.1125,83.5067,88.6163,98.1997,94.8307,86.1531,78.89059,73.2031,72.1737,73.5092,75.52559,68.6999,66.7364,69.9275,71.556,75.2263,78.1129,82.6493,86.9259,92.6103,99.1141,105.9082,113.9136,120.7235,116.2419,117.6271,120.1292,120.0672,120.8154,122.6817,127.1081,132.0653,136.9785
"","Burkina Faso","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,7.2526,7.40886,7.36375,8.03194,8.05024,8.32942,8.4386,8.9211,9.90374,10.5293,11.2988,12.004,12.2307,13.0396,13.6072,14.6689,15.3258,16.6533,17.6501,18.4222,19.4907,20.068,21.763,23.2052,24.7026,26.1335,27.2642,28.3261,30.0016,32.0117
"","Burma (Myanmar)","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,31.8648,33.7134,34.926,34.3514,36.9853,39.4406,42.6174,45.5758,48.5463,51.5564,54.3023,60.4169,68.6265,76.3939,85.6082,97.5361,110.789,125.863,142.35,159.265,165.126,173.626,182.866,193.124,207.285,224.751,242.711,259.683,275.575,292.028
"","Burundi","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,5.08427,5.14664,5.33067,5.61657,5.74738,5.31733,5.14087,4.79318,4.37371,4.4064,4.59878,4.56138,4.51926,4.6025,4.81152,4.75652,4.9643,5.0135,5.27727,5.46117,5.72837,5.94641,6.237,6.4984,6.76906,7.09524,7.42878,7.13163,7.09597,7.08449
"","Cambodia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,8.40224,8.3805,8.47773,9.1209,9.7621,10.1615,10.9414,11.5894,12.1225,12.8038,13.4451,15.0464,16.3656,17.6991,18.8635,20.468,22.5846,25.577,28.3319,31.2253,33.3148,33.3438,35.332,37.8298,40.5769,43.6119,46.6959,49.9816,53.4216,57.2835
"","Cameroon","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,37.6089,36.9247,34.6702,33.3498,32.3159,29.7526,30.3845,31.4388,32.8099,34.5262,36.0807,37.6293,38.9664,40.6685,42.3917,44.3278,47.3337,48.2901,49.9599,52.409,54.2374,55.4299,57.327,59.6942,62.4062,65.7789,69.6494,73.5856,76.8604,79.4353
"","Canada","Billion $2010 PPP",655.363,678.163,656.449,673.506,713.414,747.188,763.341,794.611,829.808,849.092,850.402,832.326,839.675,861.97,900.703,924.821,939.72,979.939,1017.977,1070.538,1126.021,1145.96,1180.454,1201.729,1238.813,1278.473,1312.012,1339.077,1352.472,1312.581,1353.052,1395.555,1419.915,1455.059,1496.609,1511.591,1532.966,1579.681
"","Cape Verde","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.842729,0.890756,0.896885,0.909501,0.937182,1.00572,1.0754,1.156,1.23335,1.32756,1.43926,1.60998,1.72696,1.83294,1.92977,2.02014,2.10661,2.24397,2.47155,2.68533,2.86391,2.82753,2.869,2.98287,3.01514,3.03935,3.09603,3.14105,3.24157,3.33488
"","Cayman Islands","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.869609,0.94648,1.0714,1.08581,1.1192,1.17277,1.23499,1.29432,1.35894,1.43365,1.86774,1.93096,1.94986,1.96072,1.99454,2.03443,2.0527,2.18602,2.2866,2.35891,2.35048,2.18124,2.122,2.14681,2.17321,2.20101,2.2581,2.3185,2.35999,2.41663
"","Central African Republic","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73042,2.76263,2.72587,2.71637,2.85698,3.00421,2.77744,2.94744,3.08163,3.26462,3.32736,3.34834,3.32792,3.09324,3.17887,3.25458,3.4093,3.54674,3.63942,3.70881,3.841,3.91937,4.03298,2.55287,2.57942,2.70324,2.82488,2.95765
"","Chad","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,6.35605,6.48012,6.68761,7.38325,7.55986,7.40307,7.8098,7.74927,7.91317,8.3605,8.94172,8.88065,8.8025,9.8287,10.6632,12.2331,16.347,17.7056,17.8203,18.4034,18.9671,19.7521,22.438,22.4649,24.4434,25.8496,27.6315,28.1205,26.3284,25.5122
"","Chile","Billion $2010 PPP",78.0268,81.7007,73.2427,70.4994,76.1433,81.5601,86.1228,91.6918,98.3682,109.0084,113.1416,122.0009,136.6937,146.1483,154.4552,171.0318,181.9416,195.3865,204.1012,203.0458,213.901,220.9823,227.8402,237.1939,254.2238,268.9474,285.9396,299.9983,310.4557,305.7396,323.6441,343.1289,361.7055,376.4846,383.0786,391.8347,396.4997,403.0181
"","China","Billion $2010 PPP",696.884,732.426,798.344,884.564,1019.019,1155.566,1258.412,1405.646,1563.079,1628.729,1692.249,1849.628,2113.821,2407.144,2720.413,3018.666,3318.162,3624.637,3909.952,4209.683,4565.868,4945.11,5395.9,5936.5,6535.93,7281.03,8206.24,9375.12,10300,11200,12400,13600,14700,15800,17000,18200,19400,20700
"","Colombia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,234.252,243.189,253.252,260.159,271.117,286.593,299.031,314.588,321.055,332.068,333.961,319.921,329.987,335.523,343.925,357.401,376.461,394.179,420.903,449.728,464.377,469.974,490.407,526.512,547.063,572.046,599.095,616.804,628.909,640.161
"","Comoros","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.662365,0.641298,0.673948,0.637585,0.691977,0.712777,0.675166,0.69954,0.690505,0.718334,0.727548,0.741547,0.821991,0.841167,0.860723,0.878833,0.895703,0.921118,0.945499,0.953065,0.956879,0.975539,0.997,1.02292,1.05361,1.09049,1.11297,1.12427,1.149,1.18692
"","Congo (Brazzaville)","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,12.2307,12.4466,12.5715,12.8726,13.2088,13.0794,12.361,12.8536,13.6752,13.3419,13.822,13.4624,14.4819,15.0336,15.7226,15.8496,16.4155,17.6708,18.7736,18.4744,19.5698,21.0377,22.871,23.6471,24.5525,25.3558,27.0908,27.8077,27.2892,26.1513
"","Congo (Kinshasa)","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,48.5076,47.8934,44.7476,40.9794,36.6766,31.7366,30.4989,30.7123,30.3981,28.6906,28.2247,27.0194,25.1521,24.6239,25.3497,26.7637,28.5671,30.3198,31.9331,33.9319,36.0445,37.0736,39.698,42.4231,45.4597,49.3009,53.9699,57.7025,59.0874,61.1555
"","Cook Islands","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Costa Rica","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,21.5938,22.7189,23.509,24.2061,26.4322,28.3056,29.5758,30.7947,31.1759,32.9109,35.202,36.5901,37.9927,39.3188,40.6131,42.3414,44.1776,45.8876,49.2088,53.2282,55.7031,55.1624,57.894,60.3876,63.2843,64.7202,66.9954,69.4284,72.3141,74.6222
"","Cote dIvoire (IvoryCoast)","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,37.985,39.1055,38.6793,38.6948,38.598,38.5286,38.5944,40.7449,44.0599,46.5815,48.8784,49.6693,48.6421,48.701,47.8886,47.2373,47.8193,48.6423,49.3797,50.2512,51.5291,53.2043,54.278,51.9989,57.2518,62.5602,68.0617,74.0804,80.2558,86.4924
"","Croatia","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,54.8451,50.4575,53.4344,57.068,60.492,64.4241,66.0509,65.4819,67.27041,69.78,73.4234,77.5213,80.4764,84.0432,88.0556,92.5287,94.1059,87.41141,86.1746,85.9173,83.8121,83.5155,83.4295,85.3622,87.8301,90.5267
"","Cuba","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,81.3156,81.8686,79.4547,70.9588,62.7414,53.4066,53.7895,55.1112,59.4312,61.0805,61.1793,64.9667,68.8099,71.0015,72.0136,74.7454,79.0583,87.9127,98.5216,105.675,110.027,111.623,114.291,117.494,121.036,124.362,125.665,131.242,130.111,131.412
"","Cyprus","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5248,17.7587,18.2132,19.1676,20.0929,21.2429,22.008,22.756,23.3192,24.3852,25.2935,26.4346,27.7088,28.779,28.269,28.642,28.7334,27.8262,26.1697,25.7691,26.2016,26.9446,27.9888
"","Czech Republic","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,--,178.9228,182.8939,193.8235,201.4247,200.1812,199.541,202.0962,211.3859,217.5088,220.9234,228.8717,239.7696,255.6046,273.5692,288.8561,296.1217,282.3042,288.3057,293.4389,291.3022,289.8892,297.7584,313.786,321.1917,335.568
"","Denmark","Billion $2010 PPP",134.4268,133.227,137.2444,140.6994,146.8782,153.1705,158.76,159.2192,164.4608,164.7145,165.3972,167.5559,170.835,170.8533,179.9639,185.4126,190.7897,197.0112,201.3812,207.3178,215.0859,216.8562,217.8677,218.7174,224.5534,229.8003,238.7923,240.9637,239.7299,227.9674,232.2326,235.337,235.8701,238.0715,241.9269,245.8136,250.6416,256.2561
"","Djibouti","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74668,1.67197,1.67167,1.56099,1.54635,1.49241,1.43099,1.42032,1.42173,1.45271,1.45876,1.48863,1.52761,1.57649,1.63682,1.6887,1.76975,1.86001,1.96789,2.06693,2.139,2.23456,2.34276,2.4599,2.6075,2.777,2.95325,3.15494
"","Dominica","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.44011,0.438208,0.461442,0.469722,0.482566,0.481313,0.488202,0.497843,0.515328,0.528182,0.544876,0.548367,0.551857,0.553728,0.542446,0.584022,0.599418,0.597482,0.62478,0.662005,0.713758,0.705707,0.714,0.715271,0.707603,0.703303,0.734443,0.715761,0.734646,0.727299
"","Dominican Republic","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,37.6302,39.2861,37.1433,37.4943,41.4361,44.4289,45.4522,47.9492,51.3686,55.4803,59.3698,63.3567,66.9405,68.1516,72.0964,71.9137,72.8572,79.6058,88.1006,95.5668,98.6735,99.6054,107.874,111.268,114.326,119.871,129.024,138.081,147.21,153.925
"","Ecuador","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,72.2353,72.452,74.6256,78.5003,79.6892,79.926,83.6856,85.1488,87.1941,90.7262,92.6457,86.8095,91.408,95.0786,98.9738,101.669,110.017,115.838,120.939,123.588,131.444,132.189,136.849,147.616,155.945,163.659,169.86,170.028,167.347,172.365
"","Egypt","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,315.038,330.703,349.558,353.33,368.989,379.693,394.778,413.106,433.715,457.531,475.998,505.06,532.172,550.986,564.046,582.052,605.858,632.994,676.379,724.336,776.181,812.458,854.26,869.463,888.726,908.149,934.63,975.492,1017.89,1060.45
"","El Salvador","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,22.1549,22.3458,27.1098,27.5163,29.4448,31.1595,32.6199,34.1651,34.4439,35.5248,36.4669,37.2555,37.6731,38.006,38.6054,39.2085,39.5586,40.6297,42.3935,43.182,44.1021,43.182,44.091,45.7738,47.0611,48.1776,49.1319,50.3,51.5983,52.7972
"","Equatorial Guinea","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,1.15947,1.14522,1.17427,1.17805,1.3347,1.46126,1.59833,1.78539,2.40316,4.69246,5.52222,6.80345,7.69404,12.912,15.516,17.625,21.864,23.8099,25.0719,28.9034,34.0479,34.5053,31.426,33.4762,36.259,34.7604,34.9047,31.7533,28.9176,26.8355
"","Eritrea","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.67004,4.80353,5.24828,5.66335,5.76373,5.76451,5.58339,6.07224,6.25474,6.08865,6.17703,6.33606,6.27465,6.36417,5.74157,5.96414,6.095,6.62404,7.08885,7.30506,7.66959,8.03773,8.34316,8.62683
"","Estonia","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,15.8073,14.8999,14.6553,15.6123,16.4437,18.3837,19.1406,18.9767,20.9822,22.31,23.6659,25.4209,27.021,29.5539,32.5897,35.1146,33.2116,28.3214,28.961,31.1615,32.5037,33.1332,34.091,34.6617,35.3769,37.0943
