"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.57-3-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2016"
"Wed Sep 19 2018 19:06:46 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Petroleum (annual)","1000 bbl/d"
"","Imports",""
"","Total Petroleum and Other Liquids",""
"","Crude Oil, NGPL, and Other Liquids",""
"","Crude Oil including Lease Condensate",""
"","Guatemala","1000 bbl/d",13.694,13.382,10.812,10.995,13.4,12.335,9.417,11.252,11.418,11.142,9.839,12.133,14.318,12.647,15.309,14.098,14.575,15.401,15.346,16.337,16.557,15.805,10.995,7.381,5.859,7.411,1.035,0,0,0.001,0.002,0.002,0,0.001,0.001,0.002,0.002
"","Guinea","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Guinea-Bissau","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.085,0.06,0.224,0.124,0.102,0.128,0.048,0,0,0,0,0,0,0,0,0,0
"","Guyana","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Haiti","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Hawaiian Trade Zone","1000 bbl/d",-,-,-,-,-,-,62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","Honduras","1000 bbl/d",9.94,4.68,4.66,6.42,8.98,6.52,4.82,6.68,8.8,9.04,8.5,8.16,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Hong Kong","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Hungary","1000 bbl/d",167.859,156.567,177.203,178.98,177.524,129.773,136.961,130.621,139.305,127.632,129.591,106.693,114.819,121.676,111.539,118.506,105.576,115.558,123.978,116.708,116.792,113.518,99.667,106.471,110.409,130.257,139.626,139,134.211,109.54,115.719,118.869,109.724,108.571,122.322,125.411,121.061
"","Iceland","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","India","1000 bbl/d",331.192,311.828,345.481,325.464,278.073,308.689,315.456,361.482,363.133,397.276,421.919,489.083,596.158,628.262,557.47,557.327,691.125,703.111,811.429,1178.272,1510.361,1604.309,1671.228,1843.367,1954.111,2026.309,2272.808,2480.109,2515.67,2812.49,3039.94,3365.598,3746.22,3857.344,3785.39,3927.47,4255.3
"","Indonesia","1000 bbl/d",60.9,54.4,69.821,24.503,7.995,11.992,77.94,84.554,89.364,92.859,131.366,146.566,138.449,158.151,162.556,185.219,186.998,182.512,209.463,229.948,223.592,283.496,317.6,336.344,378.608,331.609,316.969,302.934,254.98,325.097,284.994,265.072,251.003,320.31,341.945,383.59,398.645
"","Iran","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,1.309,1.346,4.692,8.417,12.525,5.518,7.924,33.609,38.671,42.915,79.17,67.923,24.562,19.266,10.062,3.57,1.103,0,6.413,3.71,0
"","Iraq","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"","Ireland","1000 bbl/d",37.937,12.277,9.995,21.484,23.58,26.653,29.5,29.601,27.144,30.449,40.182,34.851,40.313,37.516,46.28,45.088,43.274,58.273,63.18,57.062,59.262,67.703,67.178,65.623,58.275,65.987,64.27,68.874,65.927,54.074,61.464,60.777,59.182,59.222,54.538,73.538,64.377
"","Israel","1000 bbl/d",148.991,139.061,166.905,147.925,140.815,127.047,143.362,139.323,169.148,169.611,167.592,168.702,221.14,244.159,226.128,224.593,203.178,227.46,245.27,190.732,210.83,198.445,197.799,213.064,187.673,189.237,204.22,179.99,204.326,229.056,222.715,211.691,224.06,219.666,225.28,236.607,217.657
"","Italy","1000 bbl/d",1793.326,1747.578,1613.808,1408.033,1336.205,1283.208,1451.426,1361.714,1311.034,1384.025,1508.831,1475.171,1557.486,1558.967,1518.927,1484.56,1491.62,1593.677,1729.466,1627.619,1684.488,1672.465,1634.585,1702.914,1746.562,1787.355,1743.265,1789.926,1661.784,1532.309,1539.89,1449.4,1376.966,1154.081,1058.832,1229.913,1217.209
"","Jamaica","1000 bbl/d",12.34,10.6,9.94,13.8,10.12,13.58,13.24,11.56,14.1,13.72,10.4,18.12,23.82,14.68,9.414,6.665,12.452,14.648,14.914,9.17,22.036,21.518,23.18,17.66,15.1,9.32,20.5,21.56,22.482,24.958,23.118,24.469,25.11,24.348,19.049,24.233,21.579
"","Japan","1000 bbl/d",4319.505,3832.057,3588.746,3476.56,3587.438,3327.646,3277.389,3131.765,3272.965,3543.698,3988.583,3988.664,4271.962,4313.59,4626.846,4512.5,4440.546,4503.353,4279.769,4185.393,4316.343,4069.371,4071.652,4128.088,4035.317,4185.877,3987.049,4035.792,3840.575,3416.429,3466.505,3398.297,3429.446,3392.785,3204.537,3202.962,3146.668
"","Jordan","1000 bbl/d",35.08,43.14,51.44,50.8,52.32,49.72,44.9,49.9,48.24,49.04,53.78,46.88,59.5,58,59.5,63.22,65.44,68.88,71.18,70.02,73.86,76.06,77.06,78.96,83.3,90.32,83.58,79.28,74.5,71.24,68.32,62.6,71.1,62.22,63.22,67.98,59.567
"","Kazakhstan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,231.255,174.394,36.871,15.403,11.456,34.602,41.65,14.359,20.228,46.892,59.945,46.832,65.089,74.866,129.309,141.579,63.827,121.076,120.051,90.892,118.542,150.496,19.46,1.486,0.469
"","Kenya","1000 bbl/d",61.5,54.18,45.38,39.7,37.48,39.62,40.12,42.62,40.84,42.02,43.56,41.18,44.7,45.48,43.44,33.58,28.24,36.66,43.14,42.78,49.04,39.32,29.86,27.66,40.88,35.48,32.86,31.98,35.46,32.56,31.04,35.44,19.94,11.34,11.94,12.62,2.164
"","Kiribati","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Korea, North","1000 bbl/d",42.18,41.62,41.06,40.5,39.94,39.42,41.66,43.9,46.14,48.38,50.808,38.116,30.562,27.432,18.355,22.191,18.826,10.202,12.285,11.671,17.122,14.415,11.688,11.367,11.436,9.639,7.37,8.816,9.012,10.443,10.603,10.563,10.514,11.648,10.684,10.684,10.684
"","Korea, South","1000 bbl/d",499.63,504.29,488.681,528.459,545.581,543.32,630.307,592.225,713.339,812.093,844.844,1093.991,1391.742,1535.787,1571.829,1712.182,1972.482,2436.805,2287.062,2413.584,2467.661,2376.512,2158.461,2161.328,2277.753,2286.396,2411.706,2389.677,2341.989,2323.751,2400.742,2527.95,2583.024,2475.108,2525.144,2801.63,2946.047
"","Kosovo","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0
"","Kuwait","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Kyrgyzstan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.051,0.208,0.026,0.02,0.106,0.355,0.267,0.179,0.039,0.114,0.089,0.274,0.389,0.216,0.186,0.255,0.274,0.127,0.018,0.133,0.022,0.227
"","Laos","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Latvia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Lebanon","1000 bbl/d",44.014,34.448,9.527,9.781,14.867,12.226,21.909,24.452,11.737,1.956,1.956,0.001,0,0,0,0,0,0,0,0,0.005,0.009,0.002,0.002,0.002,0.002,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.005,0,0.002
"","Lesotho","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Liberia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,1.146,1.255,1.48,1.674,2.684,0.163,1.317,2.471,2.986,1.283,0.001,0.105,0.041,0.065,0,0,1.181,0.005,0,0.001,0.655,0.312,0,0,0
"","Libya","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Lithuania","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,79.8,100.42,69,62.68,73.36,100.36,125.94,88.18,93.68,127.62,122.48,140.72,174.56,178.26,163.94,95.28,182.58,167.68,180.12,178.6,170.24,179.24,149.34,169.82,182.514
"","Luxembourg","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Macau","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Macedonia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,20.329,18.967,2.277,3.232,13.336,8.132,15.999,11.791,16.283,12.949,11.221,16.507,16.812,19.536,21.488,21.548,21.467,20.288,17.137,14.007,5.265,1.057,0,0,0
"","Madagascar","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,4.157,2.43,6.655,9.365,4.704,8.716,10.9,9.549,7.487,7.796,9.211,8.81,6.075,5.897,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"","Malawi","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.001,0,0.001,0,0.001,0,0,0,0,0.001,0,0.001,0,0
"","Malaysia","1000 bbl/d",84.4,74.896,53.492,56.011,55.615,47.599,40.974,32.772,24.778,20.926,21.655,22.983,23.966,34.835,32.024,26.902,29.567,26.59,41.186,42.56,147.627,181.838,144.879,162.015,162.682,164.264,164.597,193.352,184.571,185.842,183.92,193.746,219.981,182.812,210.149,183.271,197.489
"","Maldives","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Mali","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045
"","Malta","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Martinique","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Mauritania","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,1.984,3.991,2.657,2.936,2.542,2.804,3.389,1.562,2.416,1.877,1.337,0.001,0.004,0.006,0,0.001,0,0,0,0,0,0.001,0,0,0
"","Mauritius","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Mexico","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Moldova","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.001
"","Mongolia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071
"","Montenegro","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0
"","Montserrat","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Morocco","1000 bbl/d",83.038,90.284,93.032,88.389,96.697,100.049,93.844,100.632,105.151,113.938,118.289,107.004,134.405,132.261,137.945,132.781,111.106,125.285,126.785,147.856,142.693,151.146,131.365,93.012,127.722,143.879,133.302,130.512,115.416,99.654,109.169,106.941,111.918,114.25,108.045,56.011,67.713
"","Mozambique","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Namibia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0.049,0.001,0.001,0,0.119,0.191,0.045,0.005,0.005,0.002,0.007,0.003,0.005,0.002,0.006,0.132,0.13
"","Nauru","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Nepal","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Netherlands","1000 bbl/d",1001.756,773.386,730.942,773.648,855.725,755.051,892.194,903.623,966.557,963.794,919.19,996.969,1067.905,1059.564,1057.282,1114.283,1133.51,1124.743,1157.13,1085.611,1091.002,1094.112,945.722,985.823,1050.265,1054.899,975.687,977.343,998.192,975.142,1032.931,995.778,1007.636,952.729,958.706,1054.758,1090.438
"","Netherlands Antilles","1000 bbl/d",623.54,514,490,480,400,169,163,199.34,209.16,198.48,223.9,215.46,260,271.7,272.3,273.4,274.54,235.56,248.8,218.26,221.86,242.16,196.04,185.46,203.6,232.3,218.94,220.16,207.38,190.1,89.38,170.12,171.16,176.34,196.06,184.64,179.664
"","New Caledonia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","New Zealand","1000 bbl/d",40.052,37.537,30.066,30.368,31.353,17.668,21.444,46.239,49.717,60.999,63.644,63.725,62.645,70.389,78.324,75.457,73.821,75.113,90.116,88.541,90.252,85.209,91.186,96.779,89.024,90.621,92.7,89.187,94.783,91.711,98.96,103.685,106.18,104.432,100.131,103.422,108.214
"","Nicaragua","1000 bbl/d",11.44,12.62,11.3,10.56,8.72,9.76,10.7,10.16,10.4,11.44,12.18,12.48,13.62,13.06,12.76,11.48,12.34,14.612,17.255,16.297,16.45,18.634,15.876,17.159,15.876,15.301,16.048,15.742,13.348,16.01,14.976,16.048,10.38,12.142,13.578,15.493,12.41
"","Niger","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Nigeria","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Niue","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Northern Mariana Islands","1000 bbl/d",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","Norway","1000 bbl/d",87.051,57.567,45.351,27.784,37.172,24.573,31.721,49.147,20.076,17.284,29.157,29.985,19.855,26.895,21.262,28.248,26.56,31.499,41.817,42.1,18.203,18.819,12.862,11.065,10.088,21.565,7.754,22.272,17.237,20.151,30.469,24.997,27.567,36.668,24.654,23.241,9.927
"","Oman","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Pakistan","1000 bbl/d",80.342,83.034,90.329,86.014,88.233,82.541,78.021,76.295,77.686,73.742,70.227,79.787,81.611,80.289,84.185,77.678,84.736,77.015,81.594,89.888,89.021,141.298,143.447,157.349,165.766,172.727,165.197,169.165,161.433,138.332,133.708,119.931,139.51,140.756,167.325,168.871,140.097
"","Palestinian Territories","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.023
"","Panama","1000 bbl/d",39.181,30.244,33.255,33.293,29.784,25.123,19.504,27.214,19.178,19.236,22.381,22.323,36.016,33.868,23.397,25.296,40.236,40.619,45.548,49.307,44.378,44.762,18.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Papua New Guinea","1000 bbl/d",5.656,3.812,4.845,3.913,3.913,2.96,4.481,5.575,5.433,6.447,6.224,5.819,5.778,4.339,4.785,3.933,3.163,2.818,2.757,2.048,2.169,2.007,2.048,1.662,1.014,0.71,0,0,0,0,0,0,0,0,0,0,0
"","Paraguay","1000 bbl/d",5.458,3.678,4.675,3.775,3.775,2.856,4.323,5.379,5.243,6.221,6.005,5.614,5.575,4.186,4.617,3.795,3.052,2.719,2.66,1.976,2.093,1.937,1.976,1.604,0.978,0.685,0,0,0,0,0,0,0,0,0,0,0
"","Peru","1000 bbl/d",0,0,0,0,0,0,0,5.644,24.423,19.124,17.886,34.451,29.457,23.61,21.966,48.581,57.067,81.124,96.086,59.097,62.285,75.44,75.156,84.86,84.515,97.629,103.09,112.267,98.989,101.365,96.878,95.762,92.371,86.423,84.921,87.357,107.686
"","Philippines","1000 bbl/d",187.036,167.107,157.637,165.997,198.303,135.79,139.768,167.612,194.972,197.415,221.241,211.731,245.875,231.216,244.26,328.944,353.619,356.163,322.059,324.805,313.881,307.864,259.283,252.216,201.817,215.083,216.173,204.906,189.217,137.163,183.786,190.287,177.627,153.942,177.708,213.447,236.907
"","Poland","1000 bbl/d",329.173,272.791,266.996,264.573,274.543,276.87,285.512,286.097,301.888,297.324,265.037,231.277,262.823,276.102,256.86,261.625,282.436,297.082,310.287,323.513,362.499,354.527,362.281,352.306,348.686,361.675,400.06,421.705,418.58,405.814,458.111,480.403,496.025,471.418,478.808,534.921,494.777
"","Portugal","1000 bbl/d",166.328,150.368,153.781,157.072,152.797,142.615,164.805,159.293,159.885,196.85,214.174,194.81,226.275,221.14,271.66,259.545,230.544,256.779,268.106,268.591,231.531,254.76,228.914,257.102,257.124,265.805,269.883,249.066,243.311,207.329,225.461,208.864,222.671,246.521,212.882,282.059,274.442
"","Puerto Rico","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Qatar","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Reunion","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Romania","1000 bbl/d",328.2,265.6,224.6,254.9,278.3,300.7,350.5,439.3,430.9,436.18,321.16,172.673,131.432,151.611,162.446,173.144,143.115,124.896,119.465,85.887,92.832,108.123,113.801,104.333,146.285,173.777,173.569,170.676,168.386,137.877,116.433,109.034,102.552,105.981,134.548,131.91,149.365
"","Russia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,214.192,206.847,96.957,170.779,134.924,80.409,111.958,93.041,118.001,102.781,125.152,115.212,84.295,48.719,46.591,54.081,49.187,35.827,24.928,1.726,16.774,17.138,15.182,17.68,15.047
"","Rwanda","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Helena","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Kitts and Nevis","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Lucia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Pierre and Miquelon","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Vincent/Grenadines","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Samoa","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Sao Tome and Principe","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saudi Arabia","1000 bbl/d",9.792,6.772,10.178,8.243,10.047,8.222,9.045,9.045,9.045,9.025,9.025,9.025,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"","Senegal","1000 bbl/d",14.98,13.7,9.48,6.16,7.68,2.66,12.96,10.58,15.14,11.66,12.84,10.12,12.86,10.92,6.06,13.18,12.86,15.42,17.24,17.04,17.82,19.36,17.26,23.58,22.26,19.8,9.08,15.56,18.9,13.1,13.14,14.96,15.56,17.24,16.8,17.88,19.39
"","Serbia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50.537,52.57,52.55,46.329,38.279,28.237,20.674,32.689,29.172,36.571,44.283
"","Seychelles","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Sierra Leone","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Singapore","1000 bbl/d",622.736,812.991,816.998,813.655,728.919,592.974,646.397,694.726,692.511,740.558,859.447,906.688,933.067,1059.749,1124.49,1037.115,1117.059,1117.744,1047.405,894.787,842.37,821.931,818.77,939.431,1114.32,1180.188,1153.93,1164.421,1164.824,883.502,953.498,980.369,973.563,948.175,953.5,992.809,1056.958
"","Slovakia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,85.431,96.153,105.987,105.939,106.411,109.46,107.945,107.308,109.116,112.125,112.953,120.115,108.087,115.517,122.281,118.846,115.174,110.348,121.595,108.254,118.344,106.774,119.172,117.296
"","Slovenia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,10.068,9.712,6.865,10.015,9.162,11.005,4.624,5.189,1.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Solomon Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Somalia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","South Africa","1000 bbl/d",310,301.98,293.96,249.72,268.46,275,265,255.12,224.46,200,247.56,216.56,244.2,240.36,280.44,328.7,328.52,420.86,386.7,366.4,393.24,353.22,362.1,415.8,380.28,405.32,357.12,380.84,423.84,384.8,379.5,398.58,403.635,424.03,416.265,413.873,416.531
"","South Sudan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0
"","Spain","1000 bbl/d",955.08,922.3,865.904,844.198,823.487,877.676,933.426,893.506,962.268,998.019,1022.31,1028.206,1088.122,1037.757,1086.237,1109.094,1088.867,1124.097,1206.358,1172.052,1157.352,1146.732,1139.806,1156.949,1191.423,1202.299,1220.957,1161.189,1178.153,1055.97,1059.281,1052.941,1184.174,1168.519,1192.405,1304.954,1292.187
"","Sri Lanka","1000 bbl/d",37.22,34.26,38.8,29.82,35.44,33.14,32.76,34.08,36.96,25.68,35.16,32.72,25.92,35.98,38.26,38.3,40.8,36.4,43.1,36.7,42.301,39.1,38.176,39.92,44.02,40.16,43.14,38.78,37.08,38.64,36.38,33.101,32.52,34.86,36.48,33.54,31.96
"","Sudan","1000 bbl/d",19.28,16.26,14.72,14.8,12.34,12.78,16.22,9.6,15.96,11.14,16.74,20.26,15,6.54,12.82,15.22,14.24,12.6,5.16,0.02,0.01,0,0,0,0,0,0.009,0.133,0.007,0.351,0.405,0.415,0.5,0,0.001,0.915,0
"","Suriname","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Swaziland","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.038,0.051,0.017,0.016,0.021,0.015,0,0,0.003,0.021,0.001,0,0,0.001,0
"","Sweden","1000 bbl/d",360.425,297.687,257.788,282.402,260.487,279.474,320.302,309.156,296.995,324.118,340.534,330.378,338.013,358.444,363.775,370.156,387.529,410.216,407.167,394.628,416.526,401.635,374.558,410.539,417.694,405.814,390.529,363.472,423.513,383.745,401.029,379.585,416.284,338.616,378.253,406.057,396.51
"","Switzerland","1000 bbl/d",77.163,65.462,73.438,81.696,80.023,76.931,78.93,78.647,77.425,60.858,61.686,91.449,83.043,90.843,96.234,91.751,106.523,98.112,101.302,102.13,92.89,95.548,97.022,91.327,102.254,96.335,110.227,93.549,101.569,95.123,90.621,88.016,68.404,97.93,98.94,56.234,59.041
"","Syria","1000 bbl/d",67.066,92.837,97.896,113.863,116.617,94.954,93.659,53.526,38.008,15.272,10.041,0,0,0,0,0,13.679,18.476,17.331,15.805,19.847,7.256,9.86,4.016,0.12,0.2,1.498,0.809,0.12,0.141,0.072,0.003,29.251,58.499,83.482,88.02,0
