"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=47-A&vs=INTL.47-33-AFG-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:08:32 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Belize","MMBTU/Person",23.69,23.05,22.42,21.84,21.26,20.72,26.07,19.64,13.52,18.67,28.88,28.3,22.6,22.15,21.73,28.14,23.41,31.84,30.59,30,41.89,54.62,53.21,50.84,53.76,56.32,58.01,60.01,35.47,30.5,31.45,30.28,29.11,29.83,29.19,28.68
"","Benin","MMBTU/Person",1.72,1.69,1.16,1.63,1.57,1.77,1.71,1.22,1.61,1.58,1.74,1.88,2.21,2.32,2.24,2.35,2.45,2.69,2.76,2.85,3.54,3.45,3.49,4.09,4.64,4.64,5.36,5.67,6,7.37,7.98,7.02,6.85,8.46,8.74,8.87
"","Bermuda","MMBTU/Person",0,0,0,0,0,0,0,0,182.95,214.78,147.71,130.54,97.35,112.92,112.28,111.65,127.06,126.52,125.99,125.47,124.95,108.95,124.09,123.67,138.65,138.19,138.69,185.58,124.17,155.79,156.36,157.32,158.29,95.57,101.35,114.65
"","Bhutan","MMBTU/Person",0.36,1.07,1.33,1.19,1.05,1.33,5.77,19.49,23.83,23.47,23.82,24.41,25.01,25.24,27.65,31.29,33.6,32.93,31.08,30.73,30.12,31.4,33.86,35.56,31.4,35.7,53.62,72.1,76.7,78.37,82.76,76.36,73.25,79.14,75.79,78.76
"","Bolivia","MMBTU/Person",13.34,14.74,12.63,12.68,11.94,10.85,10.75,10.38,11.73,13,13.46,12.96,13.77,13.25,14.59,16.33,15.73,17.19,15.67,17.19,19.37,16.99,18.23,22.53,22.56,21.63,22.36,24.92,25,24.47,24.46,23.65,27.54,28.64,30,25.88
"","Bosnia and Herzegovina","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,33.3,24.32,26.28,45.81,29.96,41.9,49.06,50.55,59.42,58.7,61.47,52.94,55.26,53.31,53.36,50.51,57.19,67.9,74.62,75.31,70,68.1,68.24,67.54
"","Botswana","MMBTU/Person",14.98,14.7,13.33,12.67,12.3,16.28,16.07,16.78,19.21,21.41,23.99,23.82,27.05,25.71,25.57,27.08,24.53,25.71,28.54,28.27,33.58,28.61,28.58,27.69,30.9,33.33,31.56,32.44,35.74,33.08,37.19,33.24,31.56,35.2,32.11,35.1
"","Brazil","MMBTU/Person",32.94,31.16,30.94,30.23,32.32,33.55,35.75,35.98,36.42,36.88,38.42,39.19,39.1,39.98,41.17,42.94,44.87,46.58,47.34,47.53,48.41,47.26,47.14,46.96,48.37,49.38,50.05,52.19,54.04,53.23,57.98,59.52,60.78,62.31,62.6,61.54
"","Brunei","MMBTU/Person",422.79,424.87,451.08,343.87,293.04,338.51,220.43,340.02,293.79,329.46,289.82,142.61,200.62,184.51,176.16,208.62,190.54,198.97,175.65,190.17,195.05,214.94,245.66,255.4,279.67,317.4,477.55,498.53,502.91,331.26,371.79,376.09,361.76,330.54,368.4,395.04
"","Bulgaria","MMBTU/Person",148.72,147.24,151.77,153.76,153.14,158.71,157.4,156.84,156.74,147.51,135.66,109.01,109.47,104.51,105.11,114.04,118.04,110.53,102.63,93.81,106.26,112.87,111.46,113.9,113.2,117.25,120.98,109.1,109.09,95.67,100.22,107.15,103.56,101.92,108.26,115.36
"","Burkina Faso","MMBTU/Person",0.88,0.86,0.84,0.81,0.8,0.78,0.88,0.86,0.84,0.81,0.81,0.9,0.88,0.99,0.99,0.99,1.08,1.61,1.44,1.44,1.46,1.4,1.38,1.43,1.4,1.37,1.32,1.43,2.02,1.7,1.69,1.64,1.61,2.62,2.55,2.48
"","Burma (Myanmar)","MMBTU/Person",2.2,2.21,2.36,2.65,2.8,2.85,2.43,2.3,2.15,2.22,2.13,2.07,2.11,2.23,2.58,2.69,2.71,2.85,3.08,3.1,3.65,3.56,4,4.45,4.53,5.9,5.48,5.89,5.27,4.85,4.8,5.25,5.39,6.84,8.28,8.61
"","Burundi","MMBTU/Person",0.28,0.51,0.26,0.53,0.55,0.56,0.56,0.61,0.99,0.97,0.95,1.13,1.09,1.09,1.08,1.06,1.05,1.03,1.16,1.13,0.95,1.1,1.09,1.03,0.99,0.83,0.8,0.81,0.53,0.53,0.54,0.51,0.5,0.48,0.49,0.51
"","Cambodia","MMBTU/Person",0.67,0.66,0.79,0.74,0.84,0.83,0.81,0.79,0.77,0.75,0.74,0.82,0.8,0.77,0.75,1.95,2.17,2.45,2.81,2.74,2.84,3.18,3.36,3.63,4.02,4.2,4.51,4.87,5.39,4.64,4.24,4.59,4.85,6.21,7.15,7.46
"","Cameroon","MMBTU/Person",5.46,5.81,6.55,6.34,6.25,6.37,6.74,6.16,6.04,6.78,6.67,6.51,6.38,5.41,5.68,5.65,5.52,5.66,5.53,5.21,5.35,5.19,4.84,5.03,5.11,4.9,5.48,5.38,5.69,5.56,6.28,6.11,6.16,6.57,6.7,7.18
"","Canada","MMBTU/Person",403.73,385.75,362,358.29,381.04,391.63,391.97,399.7,411.63,409.83,396.46,396.12,403.07,407,414.01,415.54,422.77,421.71,407.9,425.19,424.05,413.31,414.68,422.48,427.75,429.95,429.47,427.39,413.44,398.75,408.81,419.49,414.37,411.36,409.92,401.11
