"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=47-A&vs=INTL.47-33-AFG-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:08:32 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Grenada","MMBTU/Person",7.52,8.46,9.14,8.64,8.67,8.79,9.74,10.06,10.2,10.32,20.77,20.74,20.58,20.34,20.12,19.95,19.84,29.67,29.61,29.57,19.68,29.46,29.38,29.3,38.97,38.85,38.74,38.62,38.49,38.35,38.21,38.07,37.92,47.21,41.73,43.6
"","Guadeloupe","MMBTU/Person",21.2,29.82,38.17,37.6,42.74,36.5,36.77,41.6,46.28,50.83,52.64,54.75,51.72,58.86,60.86,60.35,59.71,59.17,58.68,58.07,62.43,62.01,64.12,68.08,67.58,71.66,73.54,82.16,83.98,70.16,69.59,69.7,69.85,78.89,79.96,80.15
"","Guam","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Guatemala","MMBTU/Person",9.18,7.51,7.52,8.02,6.69,7.36,7.74,7.54,8.1,8.22,8.64,8.28,8.77,9.29,10.1,10.48,10.58,11.26,12.82,13.9,13.49,14.64,13.74,14.85,14.74,14.97,14.91,15.15,13.95,14.69,14.04,13.97,14.09,13.91,14.68,14.75
"","Guinea","MMBTU/Person",3,2.93,2.86,2.8,2.74,2.49,2.98,3.06,2.96,2.87,3.61,2.78,2.63,2.5,2.52,2.41,2.36,2.41,2.39,2.44,2.51,2.63,2.62,2.36,2.47,2.47,2.38,2.3,2.33,2.27,2.2,2.08,2.09,3.25,3.24,3.12
"","Guinea-Bissau","MMBTU/Person",1.25,1.22,1.19,1.16,2.27,2.22,1.08,3.18,3.1,3.03,3.95,3.86,3.77,3.68,3.6,3.52,3.45,3.39,3.33,3.27,4.02,3.93,3.85,3.77,3.69,3.62,3.53,4.14,3.37,3.95,3.86,3.75,3.65,2.97,2.94,3
"","Guyana","MMBTU/Person",26.98,30.91,25.83,22.02,25.96,26.03,24.9,19.82,19.96,13.43,12.18,14.8,16.15,20.01,19.93,17.23,18.56,19.92,26.52,27.9,30.53,31.88,31.9,30.59,27.95,30.63,29.33,29.37,30.74,30.77,29.47,30.63,30.45,36.86,35.78,35.49
"","Haiti","MMBTU/Person",2.7,1.79,2.48,2.07,2.05,2.35,2.3,3.15,3.42,3.14,2,1.98,2.04,1.57,1.35,1.99,2.23,2.71,2.68,2.82,2.79,2.98,3.01,2.96,2.91,2.98,2.94,3.09,3.79,3.35,3.07,3.17,3.22,3.48,3.87,3.97
"","Hawaiian Trade Zone","MMBTU/Person",0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Honduras","MMBTU/Person",8.97,8.05,8.12,8.1,8.18,7.49,8.45,8.09,9.6,11,12.01,11.53,11.5,11.31,10.91,11.38,12.49,12.34,13,13.76,13.23,13.86,14.18,14.26,15.19,15.8,16.09,17.25,16.52,15.34,16,16.37,17.32,16.93,16.41,16.95
"","Hong Kong","MMBTU/Person",55.2,56.01,57.84,63.4,65.97,66.83,72.22,78.57,83.14,84.62,89.39,93.57,97.22,100.11,100.9,103.46,111.27,107.06,110.23,129.98,123.98,127.6,137.01,141.42,156.74,163.14,160.55,171.57,160.62,183.28,194.73,182.2,170.95,160.49,153.47,168.12
"","Hungary","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,108.3,99.73,98.84,98.62,100.09,103.5,101.38,102.45,102.76,100.26,103.69,104.02,106.92,107.21,114.53,113.98,110.76,110.4,103.18,105.62,103.11,96.42,93.96,95.89,101.1
"","Iceland","MMBTU/Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","India","MMBTU/Person",5.68,6.23,6.3,6.52,6.87,7.07,7.44,7.66,8.26,8.55,8.94,9.25,9.64,10.12,10.45,11.81,11.54,11.69,11.86,12.37,12.59,12.79,12.6,13.02,13.67,14.47,15.23,16.23,16.72,17.93,19.13,19.84,20.61,18.58,19.08,19.28
"","Indonesia","MMBTU/Person",7.81,8.31,8.35,8.65,8.84,9.37,9.9,10.21,10.85,11.96,12.96,14.18,14.41,15.03,15.74,16.67,17.48,18.13,17.22,18.89,20,19.29,19.63,20.77,20.64,20.98,21.99,24.5,24.08,24.89,26.85,26.47,27.09,26.67,26.6,26.53
"","Iran","MMBTU/Person",41.53,37.37,41.08,48.23,48.91,50.69,49.46,49.91,51.31,54.6,55.07,56.64,57.77,59.11,61.65,63.11,64.13,70.49,71.7,74.28,79.8,84.91,88.77,90.27,93,107.65,112.4,115.01,116.94,128.21,125.01,128.63,129.56,131.04,135.17,136.6
"","Iraq","MMBTU/Person",38.39,34.4,32.02,37.18,35.4,36.36,39.04,39.24,46.08,48.43,52.57,34.73,45.46,50.71,56.27,55.96,53.96,48.44,47.59,46.95,42.94,44.15,40.37,34.96,42.48,46.92,38.72,34.4,37.67,43.64,47.84,48.75,52.48,52.62,53.17,48.09
"","Ireland","MMBTU/Person",94.74,90.39,88.95,87.7,87.15,88.74,95.66,96.13,94.44,99.89,105.39,108.99,110.68,113.46,117.91,119.7,126.15,132.3,142.21,150.27,157.94,161.15,157.43,153.35,158.48,161.01,163.05,156.13,153.68,137.26,139.92,128.4,125.87,122.71,121.78,126.12
"","Israel","MMBTU/Person",100.26,94.79,97.92,94.61,85.9,89.31,94.42,101.66,104.54,106.3,107.3,105.93,102.64,121.08,124.62,124.27,124.11,125.66,124.68,123.5,131.44,128.18,133.24,134.78,134.36,126.39,127.15,129.48,123.62,122.35,128.48,124.91,132.48,113.95,111.57,114.53
"","Italy","MMBTU/Person",107.51,103.91,101.85,99.06,105.99,106.28,108.01,111.76,114.63,117.81,118.5,120.96,120.32,119.9,118.3,123.71,124.36,126.01,129.6,131.87,132.9,133.65,133.79,137.12,139.7,139.84,138.65,136.08,134.38,124.75,129.35,126.38,121.3,112.84,108.38,109.89
"","Jamaica","MMBTU/Person",54.45,45.4,38.94,40.62,32.73,28.78,29.16,30.74,35.62,40.65,42.76,43.39,46.96,47.27,48.52,53.11,53.52,56.15,56.73,57.75,55.26,54.91,55.91,57.82,57.83,55.7,62.11,65.03,62.32,45.83,40.25,42.47,40.68,40.92,42.17,41.19
"","Japan","MMBTU/Person",131.82,127.89,122.41,119.85,129.88,129.51,129.92,132.86,139.97,143.71,150.79,154.37,153.05,154.31,159.66,164.38,167.14,170.63,167.58,170.41,172.78,171.22,171.08,171.01,173,173.95,175.43,174.8,166.45,159.03,166.78,161.58,157.84,152.3,148.82,146.46
"","Jordan","MMBTU/Person",32.43,37.12,40.65,41.68,41.55,41.41,42.69,44.55,39.84,39.44,41.06,36.57,40.53,38.32,42.02,42.27,43.87,41.53,43.87,42.9,44.26,42.2,42.96,45.86,49.84,51.41,51.25,46.17,44.42,42.11,42.24,40.15,41.25,41,40.26,40.72
"","Kazakhstan","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,207.02,182.38,141.64,124.66,123.3,107.42,104.63,116.39,123.37,125.89,130.24,120.72,139.04,138.56,147.57,146.4,153.31,134.47,154.76,159.79,158.97,153.79,149.36,141.25
"","Kenya","MMBTU/Person",6.05,6.01,5.76,5.46,5.19,5.28,5.4,4.77,5.17,5.37,5.31,4.78,4.95,4.96,4.97,5.1,5.15,4.66,4.99,4.64,4.56,4.49,4.52,4.74,4.86,5.13,5.47,5.34,4.83,4.93,5.4,5.69,5.55,5.52,5.8,6.27
"","Kiribati","MMBTU/Person",0,0,0,0,0,0,0,0,4.45,4.35,4.25,5,4.12,4.05,4.02,3.96,3.88,3.83,3.77,3.71,4.15,0,0,0,0,5.81,5.68,5.95,5.61,8.65,8.47,8.32,8.19,9.22,9.45,7.37
"","Korea, North","MMBTU/Person",55.61,57.02,58.64,60.34,61.18,51.25,50.76,49.06,57.62,46.52,58.18,54.83,50.38,46.39,43.2,39.76,33.72,30.32,27.13,28.72,29.48,29.85,28.61,29.32,29.81,30.51,30.3,32.92,36.04,34.65,33.31,24.84,25.07,17.31,18.53,18.04
"","Korea, South","MMBTU/Person",45.33,46.35,46.08,49.48,51.35,54.2,59.34,65.39,72.76,78.94,88.48,99.35,110.22,122.05,130.17,140.06,148.26,159.88,145.74,160.41,166.34,169.39,176.5,182.69,186.08,191.67,194.34,200.57,203,204.52,221.41,228.92,230.89,217.96,220.59,225.22
"","Kosovo","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50.78,56.9,58.74,58.47,52.39,40.88,37.68,42.41
"","Kuwait","MMBTU/Person",349.77,243.49,230.42,244.3,244.35,231.74,249.02,286.21,316.56,343.28,212.42,107.9,183.3,262.98,335.39,367.55,440.93,446.64,451.27,438.17,366.61,349.21,365.04,412.87,417.98,465.52,454.52,471.98,472.22,489.97,471.06,495.63,486.84,459.3,469.63,465.03
"","Kyrgyzstan","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,65.89,54.69,51.99,40.19,50.02,46.42,45.8,48.75,49,46.06,38.96,40.25,41.76,38.53,37.32,38.81,40.07,40.92,37.2,41.68,46.33,42.41,41.69,37.57
"","Laos","MMBTU/Person",4.01,3.26,3.32,2.96,2.63,2.43,2.54,1.95,1.78,2.1,2.3,2.51,2.42,2.4,2.27,2.91,3.28,3.21,3.98,4.37,5.88,6.03,6.05,5.6,5.76,5.9,5.95,6.25,6.74,6.29,8.73,11.82,11.51,14.19,13.5,14.17
"","Latvia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,90,75.16,72.78,67.59,65.21,67.49,66.39,64.16,64.66,70.97,70.19,73.4,79.42,84.17,82.98,83.07,77.94,81.6,83.21,79.14,83.98,81.12,71.86,80.42
"","Lebanon","MMBTU/Person",40.12,37.25,36.01,36.94,35.2,40.41,38.43,39.95,36.15,28.71,26.42,42.46,41.98,51.29,57.25,60.17,62.62,70.64,71.2,72.04,72.59,66.36,64.08,63.57,58.65,53.96,47.11,43.19,54.29,65.62,61.97,58.91,56.08,58.51,56.65,55.82
"","Lesotho","MMBTU/Person",1.53,1.49,1.45,1.42,1.39,1.36,1.33,1.31,0.64,1.27,1.66,1.65,1.69,1.74,1.77,1.76,1.76,1.71,1.49,2.26,3.2,3.23,3.29,3.35,3.13,3.92,4.24,4.86,4.95,4.82,7.57,4.18,4.15,7.49,7.69,7.45
"","Liberia","MMBTU/Person",16.65,15.02,14.64,14.18,11.88,11.72,9.8,7.56,9.51,8.15,3.81,2.39,2.39,2.4,2.41,2.41,2.68,2.5,2.34,2.2,2.08,2.36,2.31,2.25,2.2,2.15,2.65,2.55,2.45,2.1,2.03,1.97,1.92,3.27,3.19,3.01
"","Libya","MMBTU/Person",123.31,106.56,101.69,105.2,102.59,108.68,110.88,110.27,110.17,111.24,114.73,117.2,106.86,108.14,109.57,111.74,116.3,120.9,114.39,105.79,135.61,134.5,136.46,132.47,133.49,136.07,123.72,120.81,123.79,139.91,147.39,88.36,119.82,126.13,123.83,112
"","Lithuania","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,129.26,107.43,97.45,104.75,100.61,100.74,110.44,86.38,85.26,91.4,99.1,103.66,104.98,105.87,107.53,118.98,119.12,102.53,85.63,92.67,93.18,92.21,87.33,81.46
"","Luxembourg","MMBTU/Person",237.86,218.13,211.87,202.1,200.02,208.2,216.84,242.84,242.69,263.12,276.29,314.03,319.83,318.17,322.08,306.27,317.38,325.16,325.63,338.79,353.06,367.82,380.53,396.47,438.35,436.34,426.82,410.19,400.94,373.11,389.37,374.11,357.39,337.55,320.72,310.09
"","Macau","MMBTU/Person",29.85,28.43,27.42,37.78,40.48,32.3,41.07,45.94,44.19,45.73,44.67,43.71,42.83,47.15,49.12,49.87,52.39,53.66,54.93,58.68,52.27,53.96,57.07,57.84,69.03,58.43,71.59,70.94,65.77,63.86,54.96,59.66,64.27,60.57,60.1,65.5
"","Macedonia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,60.92,63.27,56.22,58.1,62.4,57.95,68.79,63.15,56.36,51.86,52.18,57.11,58.02,59.41,58.51,57.56,58.27,55.9,59.97,62.88,58.16,54.37,52.95,53.38
"","Madagascar","MMBTU/Person",2.15,1.88,1.69,1.98,1.92,2.06,1.45,1.9,2.04,1.56,1.45,1.48,1.53,1.49,1.6,1.64,1.62,1.59,1.57,1.53,1.95,2.07,2.24,2.27,2.39,2.28,2.15,2.17,1.8,1.58,1.6,1.62,1.71,2.17,2.11,2.04
"","Malawi","MMBTU/Person",1.91,1.92,1.8,1.59,1.56,1.63,1.44,1.43,1.31,1.47,1.56,1.79,1.79,1.79,1.93,1.92,1.88,1.84,1.9,1.83,1.92,1.93,1.92,1.91,2.09,2.19,2.14,2.17,2.19,1.88,1.99,1.97,1.92,2.04,1.95,2.03
"","Malaysia","MMBTU/Person",30.2,30.94,31.37,34.6,40.36,44.76,46.53,45.3,46.49,49.23,54.18,58.68,59.8,65.96,71.23,71.8,77.36,77.51,76.59,78.14,85.84,88.88,90.32,92.56,91.61,89.35,90.26,99.28,101.25,102.23,108.03,108.46,108.31,108.63,112.06,101.95
"","Maldives","MMBTU/Person",1.38,1.29,1.25,1.22,4.64,4.91,5.25,5.08,4.92,4.77,4.63,4.51,4.39,8.57,12.54,20.41,19.95,15.61,19.1,18.7,25.64,25.18,45.94,52.08,34.13,26.85,36.23,42.04,41.3,46.82,46.02,45.13,44.27,63.73,62.2,63.57
"","Mali","MMBTU/Person",0.97,1.22,0.96,0.97,0.96,1.07,0.84,0.95,0.57,1.05,1.05,1.02,1.03,1.01,0.99,0.97,0.93,1.02,0.99,0.97,0.95,0.92,0.97,0.94,0.92,1.13,1.04,1,1.1,1.41,1.37,1.39,1.37,1.64,1.45,1.52
"","Malta","MMBTU/Person",59.74,65.64,65.19,46.71,67.73,53.03,59.99,68.9,74.66,82.33,86.92,87.41,86.27,98.55,97,92.17,93.59,98.27,103.03,118.36,99.64,83.62,98.16,97.53,99.34,101.23,96.15,100.53,189.82,212.57,253.07,222.96,223.74,210.9,214.26,228.23
"","Martinique","MMBTU/Person",27.65,27.41,27.17,26.94,23.74,29.42,32.01,34.55,39.88,56.38,61.38,49.93,55.16,74.05,73.63,75.94,75.19,74.46,73.74,73.04,72.35,71.98,74.16,76.33,78.47,83.16,83.25,85.87,75.85,91.11,91.18,91.61,92.05,97.62,98.64,99.96
"","Mauritania","MMBTU/Person",6.14,5.99,5.88,5.13,7.87,7.07,4.02,5.56,6.97,7.8,6.61,6.9,21.61,21.49,20.94,20.8,20.12,19.5,18.9,18.35,18.21,17.67,16.45,16.34,13.6,15.81,13.17,11.6,8.07,7.99,7.79,7.59,7.37,9.09,9,8.71
"","Mauritius","MMBTU/Person",14.34,11.9,12.14,12.42,13.26,13.87,17.21,15.29,20.27,24.13,25.91,25.56,29.9,30.07,30.35,31.83,30.82,31.37,31.72,34.63,45.26,48.67,45.22,46.91,47.86,49.72,51.62,55.06,57.01,51.66,58.08,59.01,59.71,59.81,62.56,63.7
"","Mexico","MMBTU/Person",53.13,53.28,57.72,54.83,54.6,56.41,54.31,54.75,54.63,56.49,54.3,57.12,55.98,57.12,59.58,57,57.76,57.86,60.18,59.71,61.75,60.64,59.34,60.04,59.78,61.32,62.83,63.7,63.67,64.18,62.82,63.55,62.43,62.37,60.62,60.43
"","Moldova","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,63.29,46.22,35.34,31.96,34.53,35.16,38.77,31.26,31.38,30.56,34.06,37.72,34.81,38.23,40.18,35.55,36.79,32.32,32.28,31.47,43.08,42.41,40.66,36.21
"","Mongolia","MMBTU/Person",49.1,41.65,49.97,49.7,48.25,54.26,56.2,57.83,58.83,54.55,49.73,57.95,49.34,44.03,40.99,43.56,32.38,26.48,25.99,26.09,26.24,26.93,28.57,26.9,28.49,28.54,32.04,32.69,35.05,33.43,35.34,37.77,49.54,67.53,66.77,67.53
"","Montenegro","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64.74,58.23,69.28,63.01,87.55,73.43,70.91,75.05,65.42,64.78
"","Montserrat","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Morocco","MMBTU/Person",11.15,10.47,10.15,10.26,9.54,10.04,10.72,10.61,10.96,12.02,12.3,12.39,12.56,12.95,14.11,13.72,14.27,14.56,14.28,15.05,15.47,16.49,16.55,16.45,16.3,16.81,17.31,16.91,19.86,20.09,22.44,23.07,23.22,22.23,22.87,22.77
"","Mozambique","MMBTU/Person",14.12,4.88,4.71,6.48,2.43,2.31,1.18,1.17,1.72,1.41,1.44,1.43,1.29,1.37,1.32,1.33,1.35,1.53,1.87,4.38,5.55,7.04,6.92,6.6,6.97,7.47,7.76,8.21,7.32,7.78,7.63,8.31,8.71,8.87,9.59,9.72
"","Namibia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,24.03,12.69,11.36,13.76,13.01,19.73,18.02,17.53,18.52,20.79,22.12,24.8,25.62,27.23,28.5,28.6,29.85,30.48,30.72,30.69,29.1,30.09,30.18,30.03,31.41,30.5
"","Nauru","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Nepal","MMBTU/Person",0.54,0.51,0.64,0.8,0.81,0.69,0.85,0.98,0.88,0.83,1.02,1.19,1.11,1.11,1.28,1.41,1.54,1.62,1.9,2.44,2.43,2.58,2.38,2.48,2.48,2.72,2.58,2.66,2.77,2.96,3.29,3.2,3.05,3.39,3.84,3.9
"","Netherlands","MMBTU/Person",220.21,196.56,199.81,191.71,199.42,207.57,216.06,221.33,220.65,220.78,221.8,232.98,231.84,233.4,233.51,237.38,249.53,245.69,243.62,239.82,242.42,248.89,250.3,254.32,260.98,260.09,259.88,260.47,256.87,246.15,257.19,244.15,240.9,234.49,222.81,221.88
"","Netherlands Antilles","MMBTU/Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","New Caledonia","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","New Zealand","MMBTU/Person",155.6,151.68,154.26,159.76,171.27,174.35,186.52,189.91,200.89,199.6,208.78,207.07,204.43,203.78,211.49,213.9,210.57,210.41,203.88,211.34,213.81,214.49,217.83,208.69,211.49,204.16,202.33,199.02,199.86,195.04,196.8,194.69,192.48,185.93,195.19,191.49
"","Nicaragua","MMBTU/Person",10.02,10.02,9.64,9,8.94,9.53,9.07,9.22,9.24,9.68,8.89,8.37,9.14,9.25,9.2,9.83,10.11,10.24,10.85,11.44,10.98,11.68,11.65,11.65,12.06,12.84,12.5,12.67,12.66,12.25,12.55,13.34,13.52,13.77,13.88,13.74
"","Niger","MMBTU/Person",1.48,1.5,1.53,1.54,1.58,1.54,1.26,1.38,1.84,1.85,1.8,1.74,1.67,1.74,1.68,1.63,1.56,1.48,1.43,1.37,1.27,1.33,1.3,1.27,1.28,1.22,1.17,1.11,0.84,1.1,1.17,1.14,1.1,1.82,1.63,1.57
"","Nigeria","MMBTU/Person",5.76,6.88,6.66,6.52,6.84,7.16,6.84,7.02,7.32,7.72,7.33,7.87,7.82,7.73,7.05,7.71,7.66,7.47,6.99,6.84,6.33,6.9,7.02,7.1,7.17,7.54,6.66,5.97,6.94,4.23,5.12,7.14,6.79,7.13,7.54,7.55
"","Niue","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Northern Mariana Islands","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Norway","MMBTU/Person",328.92,336.59,332.73,357.43,366.03,368.89,367.07,372.85,377.07,391.06,399.74,376.81,396.76,393.25,383.49,406.47,382.14,393.11,403.94,418.5,437.55,417.13,425.15,393.5,408.81,424.94,380.86,410.86,400.62,391.03,377.68,362.39,380,365.75,370.39,368.31
"","Oman","MMBTU/Person",55.44,56.41,65.02,70.55,69.95,79.42,85.83,85.6,77.67,96.03,101.54,111.08,103.61,110.87,111.01,102.07,104.19,120.19,154.74,133.47,150.35,149.35,152.2,147.48,154.76,194.83,214.29,214.02,263.34,255.56,311.03,297.79,328.25,285.88,294.72,276.76
"","Pakistan","MMBTU/Person",8,8.44,9.28,9.11,9.13,9.49,9.8,10.26,10.64,10.85,11.04,11.31,11.54,12.02,12.77,12.98,13.26,13.05,13,13.32,13.33,12.71,12.53,12.92,13.04,13.91,15.18,15.47,15.07,14.98,15.3,14.7,14.89,14.44,14.61,14.7
"","Palestinian Territories","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.33,4.95,4.9,6.12,7.93,7.39,7.83,11.37,13.92,14.58,14.55,11.93,11.49,12.1,11.41,11.32,11.79,11.63,11.86
"","Panama","MMBTU/Person",92.66,92.17,84.88,83.38,84.02,74.36,75.23,76.45,73.47,70.59,73.09,70.95,70.44,68.98,76.04,78.6,68.47,69.46,71.53,69.07,67.97,65.49,64.08,61.45,69.66,66.09,65.97,66.36,42.46,69.26,80.15,84.75,92.12,87.52,90.03,93.19
"","Papua New Guinea","MMBTU/Person",8.85,8.58,8.33,8.34,8.99,9.32,9.17,9.88,8.91,8.96,8.99,8.53,8.74,8.74,8.12,9.38,9.48,8.56,8.45,8.33,8.15,7.96,10.29,11.44,11.11,11,11.21,11.07,8.7,8.32,8.2,8.1,7.39,13.36,12.97,12.79
"","Paraguay","MMBTU/Person",8.63,8.3,7.68,8.06,8.7,14.92,29.75,43.08,43.54,52.79,54.67,56.68,52.08,57.45,64.94,73.09,74.63,80.62,80.27,81.63,81.02,70.18,71.64,74.63,72.74,70.76,72.33,71.42,73.31,71.22,70.4,74.01,74.87,74.33,69.39,69.18
"","Peru","MMBTU/Person",23.03,23.97,23.33,21.34,21.46,21.23,22.35,22.11,21.48,18.92,17.52,16.99,16.45,18.32,18.99,19.65,20.38,19.32,19.86,20.09,20.17,20.31,20.37,20.45,21.32,22.06,23.95,23.87,27.37,26.32,29.99,31.02,32.08,32.67,33.72,34.34
"","Philippines","MMBTU/Person",11.44,10.74,10.51,10.06,9.32,8.88,8.74,9.56,9.96,10.87,10.82,10.65,10.95,11.78,12.24,12.8,13.26,13.82,14.13,14.57,14.6,13.84,13.96,13.99,14.33,13.48,12.61,12.84,13.07,13.05,12.88,12.98,13.54,13.54,14.1,15.15
"","Poland","MMBTU/Person",0,0,0,0,0,0,0,0,0,129.48,105.1,102.8,101.1,104.16,101.88,97.6,108.3,106.58,100.77,104.42,94.97,93.2,92.21,96.02,99.21,98.91,103.5,104.86,105,101.61,109.52,108.97,106.68,102.91,100.89,102.28
"","Portugal","MMBTU/Person",44.97,36.27,49.39,50.25,52.73,53.09,56.61,58.57,64.9,69.53,74.9,75.23,76.01,77.09,80.84,83.9,87.13,90.67,96.26,100.21,104.08,104.72,103.75,106.53,105.85,105.84,104.45,105.19,101.33,101.03,105.5,101.16,93.74,98.06,98.42,97.95
"","Puerto Rico","MMBTU/Person",69.68,68.64,67.81,68.45,67.22,66.64,67.21,67.2,67.16,66.14,64.54,63.71,62.86,62.53,61.81,61.31,60.89,60.41,60.08,59.79,62.85,65.52,67.5,75.01,74.2,74.52,76.16,76.69,77.43,77.39,77.6,77.73,84.04,84.51,86.04,84.7
"","Qatar","MMBTU/Person",960.79,797.67,841.89,714.38,787.42,654.84,652.8,634.03,617.09,610.49,719.92,820.51,966.92,1117.01,1102.65,1096.49,1094.07,1119.31,1111.03,1030.35,1116.03,828.46,858.63,836.47,893.18,1027.14,923.81,845.12,807.03,752.41,704.99,737.66,928.72,938.83,899.27,856.39
"","Reunion","MMBTU/Person",23.83,24.79,25.35,28.77,29.55,30.51,30.21,31.86,32.75,36.87,38.75,39.73,41,49.48,50.06,47.7,48.39,49.41,59.96,58.97,59.31,61.27,60.4,59.53,59.96,59.17,59.78,60.16,59.35,58.86,58.42,56.27,56.66,47.57,46.02,48.69
"","Romania","MMBTU/Person",123.09,121.78,127.02,129.7,125.63,125.91,128.44,131.12,128.7,132.44,120.77,95.9,89.85,86.8,81.8,88.73,90.66,89.63,77.28,70.78,70.4,77.4,77.28,75.14,78.12,77.73,81.07,81.43,82.98,70.31,71.15,73.69,72.01,65.45,65.56,64.42
"","Russia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,232.58,214.27,195.3,187.88,173.15,164.2,163.91,171.56,178.5,178.76,184.06,190.01,196,194.67,202.9,203.68,209.04,189.96,207.41,214.21,217.67,211.21,209.29,205.89
"","Rwanda","MMBTU/Person",0.65,1.17,1.17,1.33,1.81,1.92,1.67,1.79,1.74,1.69,1.62,1.69,1.91,1.8,1.88,1.97,1.81,1.73,1.65,1.51,1.55,1.5,1.48,1.46,1.39,1.44,1.36,1.13,1.23,1.22,1.2,1.19,1.17,1.32,1.32,1.33
"","Saint Helena","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Kitts and Nevis","MMBTU/Person",0,0,0,0,0,0,0,0,22.32,22.51,22.64,24.25,24.01,23.77,23.54,23.31,23.05,22.79,22.53,22.28,22.04,21.73,21.43,42.27,41.7,41.14,61,80.41,79.5,78.62,78.89,77.84,77.52,76.69,74.6,74.36
"","Saint Lucia","MMBTU/Person",16.95,8.36,16.48,8.13,8.02,15.82,15.53,15.25,14.98,14.72,14.47,14.29,21.17,13.94,20.65,20.4,20.13,19.87,19.61,19.36,31.86,31.59,31.32,37.27,30.8,30.54,30.21,35.87,35.5,35.13,34.77,34.58,34.4,34.22,33.65,34.14
"","Saint Pierre and Miquelon","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Saint Vincent/Grenadines","MMBTU/Person",7.27,6.79,7.25,7.21,7.15,8.09,8.28,8.95,10.55,12.87,11.62,10.55,11.2,11.47,20.52,20.5,20.51,20.5,20.6,20.61,20.9,20.32,29.78,29.64,30.12,29.98,29.65,29.57,29.62,29.53,29.76,29.66,29.6,29.52,28.76,29.28
"","Samoa","MMBTU/Person",6.9,6.86,13.51,13.44,13.62,13.61,13.75,13.57,13.52,13.61,13.56,13.44,13.62,13.5,13.38,13.33,13.51,13.59,13.81,14.04,13.5,14.21,14.88,14.32,13.98,13.89,13.83,13.79,13.74,13.67,13.53,13.51,12.43,17.73,19.6,19.86
