Report generated on: 09-18-2020 10:45:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-ALB-BCF.A","            Dry natural gas (bcf)","10","11","10","11","11","10","14","16","25","25","9","5","3.602","1.059","1.06","1.06","1.05945","0.7063","1.05945","0.7063","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","0.35315","1.05945","1.05945","0.35315","0.35315","0.600355","0.670985","1.13008","1.236025","1.5891615","1.765735","1.626869203","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ALB-BCF.A","            Dry natural gas (bcf)","10","11","10","11","11","10","14","16","25","25","9","5","3.602","1.059","1.06","1.06","1.05945","0.7063","1.05945","0.7063","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","0.35315","1.05945","1.05945","0.35315","0.35315","0.600355","0.670985","1.13008","1.236025","1.5891615","1.765735","1.626869203","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-ALB-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-ALB-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-6-ALB-TCF.A","        Gross natural gas (tcf)","0.283","0.247","0.247","0.212","0.177","0.177","0.141","0.141","0.141","0.141","0.106","0.106","0.67","0.7","0.35","0.07","0.07","0.07","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.029","0.029","0.029","0.029","0.029","0.201","0.201"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-DZA-BCF.A","            Dry natural gas (bcf)","411","772","942","1314","1360","1360","1330","1525","1635","1709","1787","1933","1970.577","1902.066","1806.72","2051.8","2194.12095","2433.2035","2604.48125","2875.70045","2939.6206","2787.0598","2798.71375","2849.9205","2830.49725","3151.334025","3079.468","2995.665505","3054.924075","2875.55919","2988.00215","2922.916605","3053.12301","2812.76912","2941.562925","2932.5576","3312.0140515","3301.9846767","3291.242980266","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-DZA-BCF.A","            Dry natural gas (bcf)","460","346","553","656","680","584","602","656","712","660","681","775","730","655.093","690.41","741.97","762.0977","711.9504","736.31775","752.56265","726.0764","721.8386","720.77915","724.6638","680.8732","846.323975","904.064","934.328955","977.342625","1015.51814","1017.7783","1161.1572","1265.83086","1163.55862","1380.993075","1399.215615","1404.4068759","1457.6261288","1512.37801995899","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-DZA-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-DZA-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1083","1158","1240.6159","1246.973","1116.31","1309.83","1432.02325","1721.2531","1868.1635","2123.1378","2213.5442","2065.2212","2077.9346","2125.2567","2149.62405","2305.01005","2175.404","2061.33655","2077.58145","1860.04105","1970.22385","1761.86535","1787.29215","1649.2105","1568.294287","1529.14052899999","1896.70785499999","1898.099254436","1842.19485799999","",""
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
