Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.53-1-TWN-TBPD.A","        Taiwan","","","","","","","","9","10","8","8","8","6","-2.2","0.0714944902","-2.7","-5.3","-5.4","-6.1","-4.6","-4.7","-4.3","-7","-6.4","-7","-7.1","-7.7","-6.37495073622676","3.60579525400038","8.36395939820798","7.89500975801637","10.59740476839125","15.719","20.708","26.283","16.135","28.492","27.767","24.608","27.719","33.016","32.262","29.59","29.504","29.504","29.504","29.504",""
"INTL.53-1-TJK-TBPD.A","        Tajikistan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","1.3","0.8","0.6","0.7","0.6","0.6","0.5","0.5","0.3920243670819672","0.32903265301917806","0.3117799319342466","0.35477993193424656","0.2527723364918033","0.2823150684931507","0.303","0.2833068493150685","0.2382431693989071","0.22299452054794522","0.22","0.22","0.18674590163934426","0.188","0.196","0.1746164383561644","0.173","0.173","0.173","0.173",""
"INTL.53-1-TZA-TBPD.A","        Tanzania","","","","","","","","0","0","0","0","0","0","0.0166217158904109","0.0782473605890411","0.0320238373046448","-0.2","-0.2","-0.1","-0.0018153290033115","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","0","0","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-THA-TBPD.A","        Thailand","","","","","","","","1.3","2.3","12","18","30","53","52","49","53","51","58","61","67","69.7010301369863","80.86986301369863","91.12602739726027","99.98415300546448","132.83835616438355","147.08767123287672","158.9013698630137","181.85319935849722","191.79247058465208","206.42176625381234","261.06521116774354","258.60967696979066","303.6530931506849","344.02234520547944","360.55195342465754","387.811262295082","414.04798356164383","423.3892630136986","448.9799095890411","489.72706284153","498.29338356164385","498.32134246575345","520.4008630136987","531.3285901639345","531.472493150685","523.9053698630137","527.1479452054795",""
"INTL.53-1-BHS-TBPD.A","        The Bahamas","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-TLS-TBPD.A","        Timor-Leste","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","51.90983606557377","94.42465753424658","100.98630136986301","100","100","94.79178082191781","87.98904109589041","83.74246575342465","79.49453551912568","79.25753424657535","74.23287671232876","62.06027397260274","49.23770491803279","40.31780821917808","32.90684931506849","27.827397260273973",""
"INTL.53-1-TGO-TBPD.A","        Togo","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-TON-TBPD.A","        Tonga","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-TTO-TBPD.A","        Trinidad and Tobago","","","","","","","","214","243","183","163","173","178","166","156","156","153","149","152","140","140.00011506849316","137.8","138.04657534246576","136.9792349726776","131.03698630136986","129.82876712328766","138.41890410958905","140.10013630191804","132.72897211048198","144.1115835576","161.17100626457534","151.03686758813654","170.7504","179.41405479452055","156.5181808219178","156.63408196721312","152.94688767123287","145.72346575342465","135.63130136986302","116.00325136612022","114.60186849315069","112.76428219178082","109.52985205479452","97.72560928961748","99.48816164383561","88.13698904109589","82.96114794520548",""
"INTL.53-1-TUN-TBPD.A","        Tunisia","","","","","","","","110","118","120","120","120","114","111","109","108","110","98","109","114","102.2","95.98493150684932","90.15068493150685","87.99453551912568","84.94794520547946","81.25205479452055","84.02328767123288","80.49892791688525","72.58098324536438","78.5501416315178","77.36913437795616","81.66703554356285","76.748","78.24035616438356","85.8867397260274","85.48911202185792","80.95481369863013","78.8586602739726","67.09814246575343","65.71928688524591","63.60194520547945","53.086260273972606","39.634","41.634","42.25043835616438","41.06413698630137","38.79290410958904",""
"INTL.53-1-TUR-TBPD.A","        Turkey","","","","","","","","41","44","46","41","40","40","45","48","46","53","70","85","81","72.82380821917808","71.2","66.17945205479452","66.1775956284153","67.51780821917808","66.15479452054795","58.4986301369863","51.41923224043714","46.82813698630139","47.08840205479452","45.8158239726027","42.928244535519084","45.96523287671233","45.04990410958904","45.842739726027396","48.68369945355191","54.596479452054794","56.86398630136986","56.51698630136986","58.386830601092896","57.88883561643836","57.36723287671233","64.04658904109588","66.30826775956284","67.20960273972602","72.96850684931506","75.6315205479452",""
"INTL.53-1-TKM-TBPD.A","        Turkmenistan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","110","90.60005479452055","87.21506849315068","82.29178082191781","89.80983606557378","106.01095890410959","126.1945205479452","154.66712328767125","156.63606871381398","167.8752976422793","192.56791644324386","200.00085095804383","213.94315877575409","196.64984931506848","177.2117808219178","180.73057534246576","189.36356284153007","197.64421917808218","203.34160273972603","224.19809589041097","245.14271038251366","261.5279863013699","274.8579589041096","278.7164931506849","266.4266885245902","280.648","279.8233424657534","243.62608219178082",""
"INTL.53-1-TCA-TBPD.A","        Turks and Caicos Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"none","        Tuvalu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-USIQ-TBPD.A","        U.S. Pacific Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"none","        U.S. Territories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-VIR-TBPD.A","        U.S. Virgin Islands","","","","","","","","0","0","0","-1","-0.6","0.2","-5.5","-4.1","-3","-4.5","-0.8","0.6","0.4","0.1","8.4","10","12","12","14","13","14.6828743169399","14.334895890411","14.6522399486301","17.111235260274","17.6189969398907","17.579","17.623","16.868","16.645","16.767","14.396","16.553","8.085","0","0","0","0","0","0","0",""
"INTL.53-1-UGA-TBPD.A","        Uganda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-UKR-TBPD.A","        Ukraine","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","82","84.34246575342466","89.9","88","91.6","94.7","89.7","87.5","84.89139076552877","86.74805328590135","85.45992213379178","88.84416576511781","96.88536122419671","99.387","107.756","107.711","99.38731147540983","93.55910410958904","83.27214246575342","79.59763561643835","81.03467213114754","74.78174246575342","65.87503561643835","59.26901369863014","55.83243715846994","53.246794520547944","56.175561643835614","60.25501369863014",""
"INTL.53-1-ARE-TBPD.A","        United Arab Emirates","","","","","","","","1747","1538","1343","1272","1279","1356","1515","1686","1695","1990","2252","2531","2410","2304.916884931507","2343.041095890411","2395.449315068493","2439.3502732240436","2479.6246575342466","2518.5013698630137","2337.4465753424656","2572.325430291541","2500.040827871419","2386.833130925945","2660.8295788708656","2766.7450844977047","2844.6266575342465","2948.468630136986","2947.497","3046.3700273224044","2795.043","2815.176","3216.539082191781","3401.3435573770494","3442.494","3544.966780821918","3680.5900547945207","3772.7882732240437","3728.316082191781","3790.6174520547947","4016.0284109589043",""
"INTL.53-1-GBR-TBPD.A","        United Kingdom","","","","","","","","1674","1874","2164","2430","2652","2711","2735","2613","2443","1997","1982","1995","2045","2143.59097260274","2654.671232876712","2818.7643835616436","2892.03825136612","2814.8465753424657","2918.345205479452","2982.1643835616437","2567.023455737706","2594.693698630137","2562.0066698630135","2391.7282534246574","2074.3669670907216","1862.3614246575341","1691.752619178082","1690.6838356164383","1590.3086174863388","1509.2388712328768","1412.3159260273972","1169.6805616438355","1009.2877021857923","934.3479835616438","921.6244575342466","1020.7764931506849","1083.928368852459","1071.8193424657534","1153.9590684931507","1169.961808219178",""
"INTL.53-1-USA-TBPD.A","        United States","","","","","","","","10809","10739","10783","10788","11107","11192","10905","10648","10473","9880","9678","9883","9768","9601.95002739726","9413.013698630137","9399.934246575342","9444.382513661201","9460.594520547946","9278","8993.564383561645","9057.775957349726","8957.008215561644","8998.432876712326","8765.83287671233","8722.267761557378","8327.13702739726","8314.320495890412","8466.32037260274","8563.532538251366","9136.947778082193","9697.98565479452","10150.293378082191","11140.273163934426","12394.191849315068","14155.199950684932","15147.12048219178","14837.639513661203","15647.153632876712","17936.142364383562","19468.10393150685",""
"INTL.53-1-URY-TBPD.A","        Uruguay","","","","","","","","0","0","0","0","0","0","0.2","0.2","0.1","0.084541723134507","0.2","0.3","0.3","0.2","0.3","0","0.2","0.5","0.5","0.5","0.366193833377049","0.511377420029041","0.435027191863014","0.513487722860274","0.935744339502732","0.976","1.037","0.963","1.001","0.765","1.335","1.517","1.741","2.189","2.365","2.178","2.217","2.216","2.216","2.217",""
"INTL.53-1-UZB-TBPD.A","        Uzbekistan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","66","85.70012328767123","115.3972602739726","160.2835616438356","164.01967213114753","157.7027397260274","161.19452054794522","147.43972602739726","151.91619417387977","156.04376573958905","153.25574657318904","155.9955398737863","142.00734831267212","125.33301369863014","107.49608219178083","112.495","109.97550273224044","72.40896712328767","91.70162739726027","102.67693150684931","102.56860109289617","94.676","83.98682191780821","78.68950684931507","71.47056830601093","63.618273972602736","55.80457534246575","54.88676712328767",""
"INTL.53-1-VUT-TBPD.A","        Vanuatu","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-VEN-TBPD.A","        Venezuela","","","","","","","","2246","2177","1973","1874","1872","1757","1890","1857","2008","2025","2262","2510","2520","2633.99982739726","2796.0109589041094","2982.1369863013697","3174.96174863388","3517.9534246575345","3409.013698630137","3108.646575342466","3460.75880030429","3333.9883828614516","2924.204047719786","2581.428773380351","2855.1676698386887","2866.9303561643837","2746.5337123287673","2681.9923698630137","2701.68","2710.293","2600.048","2684.094","2686.079","2684.781","2686.597","2590.44397260274","2355.423551912568","2078.320684931507","1541.5919178082193","929.0083561643836",""
"INTL.53-1-VNM-TBPD.A","        Vietnam","","","","","","","","0","0","0","0","0","0","0.8","5","15","32","50","80","106","120.00094794520548","140.5068493150685","173.3013698630137","175.45081967213116","191.26027397260273","245.5945205479452","290","316.00000000000017","356.79942727945206","339.5945205479452","352.5068493150685","403.28688524590166","372","366.9945205479452","324.1205479452055","311.74590163934425","342.4461917808219","312.6321506849315","315.8897671232877","345.0904480874317","348.01471232876713","319.860397260274","370.666095890411","338.63272677595626","308.13642465753423","276.583","260.16220547945204",""
"INTL.53-1-WAK-TBPD.A","        Wake Island","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ESH-TBPD.A","        Western Sahara","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-YEM-TBPD.A","        Yemen","","","","","","","","0","0","0","0","0","0","8.6","19","172","193","191","194","181","218.46849315068494","334.91917808219176","345.15890410958906","341.33715846994534","361.8164383561644","387.6684931506849","408.6506849315069","437.23130610407105","439.9749787087342","438.84049707607124","430.70944182771507","406.24082472255736","401.93454246575345","378.1761534246575","320.0391342465753","299.6983415300546","286.0816191780822","281.10757534246574","216.76004109589041","169.00077595628414","130.8036301369863","125.10121917808219","47.893","18.230158469945355","31.293","46.293","61.293",""
"INTL.53-1-ZMB-TBPD.A","        Zambia","","","","","","","","0","0","0","0","0","0","0.1","0.2","0.5","0.2","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0","0.00802107490710382","0.125792122767123","0.130212678290411","0.140047774591781","0.149996628289618","0.159","0.159","0.19","0.14","0.142","0.17","0.186","0.199","0.164","0.186","0.17","0.17","0.17","0.17","0.17",""
"INTL.53-1-ZWE-TBPD.A","        Zimbabwe","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0.06","0","0","0.12","0.039","0.681","0.714","0.819","0.819","0.819","0.819",""
"","crude oil, NGPL, and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.55-1-WORL-TBPD.A","    World","","","","","","","","63092.9","59785.5","57242.9","57123.7","58613.7","58186.9","60769.573","61257.573","63496.754","64633.954","65482.054","65316.436","65405.968","65866.55185753424","67333.12630136986","68882.70164383562","70444.79153005464","72643.31342465754","74021.4498630137","73121.78849315069","75885.20472724152","75834.70295114137","75194.85448020858","77636.92240974441","81311.17870389315","82983.14544109588","83066.47943013698","83136.67288219178","84469.69893715846","83580.79439452055","86204.16273150685","86626.27782739727","88655.28365300546","89174.07257260274","91730.63405479451","94487.22612328768","94926.07394808743","95489.47005479452","98112.29631780821","98039.22093150685",""
"INTL.55-1-AFG-TBPD.A","        Afghanistan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ALB-TBPD.A","        Albania","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","11","11.26","11","10","9.5","9.165753424657535","6.3","5.575342465753424","5.6560000000000015","5.952","6.361","6.717","6.693","7","7.742465753424658","6.419178082191781","6","5.328767123287672","10.843835616438357","15.515068493150684","16.83606557377049","17.008219178082193","20.506849315068493","20.161643835616438","22.74863387978142","16","15.586301369863014","14.495890410958904",""
"INTL.55-1-DZA-TBPD.A","        Algeria","","","","","","","","1142","1051","1045","1017","1114","1141","1192","1201","1175","1236","1315","1310","1342","1312.3150684931506","1295","1306.7945205479452","1377.1448087431695","1418.7397260273972","1401.4109589041095","1387.3013698630136","1433.9071038251366","1515.0000000000002","1619.0000000000002","1786.041095890411","1846.775956284153","1957.3150684931506","1969.0684931506848","1968.3972602739725","1955","1909.876712328767","1880","1862","1874.2431693989072","1761.7808219178082","1720","1797","1697.360655737705","1640.317808219178","1575.6575342465753","1568.958904109589",""
"INTL.55-1-ASM-TBPD.A","        American Samoa","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-AGO-TBPD.A","        Angola","","","","","","","","150","130","122","177","208","231","282","360","452","455","475","500","526","509.0002465753425","536.3972602739726","646.2328767123288","708.7841530054645","713.8082191780821","735.082191780822","744.917808219178","746.4043715846994","742.3835616438356","896.3698630136986","902.5479452054794","1054.72131147541","1249.517808219178","1420.2828630136987","1748.0088301369863","1960.6945081967212","1886.8082191780823","1918.5205479452054","1765.6164383561643","1797.049180327869","1814.6575342465753","1756.6164383561643","1829.03501369863","1797.8557540983606","1707.5478493150686","1656.282095890411","1512.7478493150686",""
"INTL.55-1-ATA-TBPD.A","        Antarctica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ARG-TBPD.A","        Argentina","","","","","","","","504","508","503","499","493","480","465","464","484","487","510","515","583","629.0004602739726","694.1095890410959","756.5753424657535","799.983606557377","881.6712328767123","896.6849315068494","850.2328767123288","809.1420765027323","850.4","840.1469999999999","840.107","797.0749999999999","773.6497534246575","777.601909589041","766.6811698630137","789.1062267759563","785.6484657534246","773.647690410959","746.8204821917808","706.3420355191257","691.0539616438356","701.343405479452","694.0442465753424","694.1311475409836","661.5890410958904","663.9205479452055","675.4191780821918",""
"INTL.55-1-ARM-TBPD.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ABW-TBPD.A","        Aruba","","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-AUS-TBPD.A","        Australia","","","","","","","","440","454","422","468","546","640","580","612","605","555","638","606","591","558.0002410958904","592.3095890410959","613.7945205479452","631.7486338797814","658.5616438356165","613.7068493150684","610.9506849315069","792.5655737704918","731.9999999999999","707.4711232876713","593.986301369863","521.5441857923497","546.0849315068493","527.5835616438357","531.5219178082192","535.5366120218579","545.8575342465754","555.345205479452","479.6849315068493","473.2978142076503","399.4438356164384","418.7753424657534","378.1808219178082","350.90437158469945","319.4958904109589","351.3821232876712","465.7054109589041",""
"INTL.55-1-AUT-TBPD.A","        Austria","","","","","","","","29","26","27","26","25","23","23","22","24","24","23","27","24","22.49241095890411","21.7","23.604109589041094","22.497267759562842","19.7","21.404109589041095","19","20.39999999999999","21.068493150684933","22.15753424657534","21.515068493150686","22.179234972677595","20.416438356164385","22.153424657534245","22.91780821917808","22.74590163934426","23.4","31.96691780821918","32.18353424657534","32.524535519125685","23.54090410958904","27.10186301369863","28.325890410958905","24.55920218579235","24.45353424657534","23.431616438356166","22.850794520547947",""
"INTL.55-1-AZE-TBPD.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","222","208.0001424657534","191.9095890410959","182.05753424657533","181.9808743169399","179.9753424657534","237.07397260273973","282.9780821917808","286.04371584699453","307.16712328767125","313.85753424657537","323.75479452054793","315.42622950819674","438.77260273972604","645.5205479452055","846.8330465753425","873.9187240437159","1010.0132630136986","1038.6833698630137","987.0465205479452","925.7040027322404","874.4229698630137","850.518898630137","852.1692","837.5382513661202","794.6739726027397","802.4739726027398","772.8602739726027",""
"INTL.55-1-BHR-TBPD.A","        Bahrain","","","","","","","","56","54","52","51","50","48","52","51","52","51","47","43","44","53","54","51","45","51","48","48","48.37","47.3","47.257","47.632","48","45","46","46","46","46","44","45","52","58","60.50410958904109","62","60","55","53","53",""
"INTL.55-1-BGD-TBPD.A","        Bangladesh","","","","","","","","0","0","0","0.2","0.4","0.7","0.8","0.8","0.8","0.7","1","0.9","1.1","1.2","1.6","1.3","1.6","1.8","1.7","1.6","2.7","3.580821917808219","6.3","6.3","6.2","6.2","6.2","6.2","5.866666666666666","5.2","5.2","5.2","4.866666666666666","4.2","4.2","4.2","4.2","3.8657534246575342","3.2","3.2",""
"INTL.55-1-BRB-TBPD.A","        Barbados","","","","","","","","0","0","1","1","2","2","2","1.4","1.3","1.1","1.2","1.2","1.4","1.3","1.2","1.3","1","0.9","1.6","1.9","1.53","1.271","1","1","1","1","1.0334246575342465","1.1084931506849316","1.101","0.766","1","1","1","1","1","1","1","1","1","1",""
"INTL.55-1-BLR-TBPD.A","        Belarus","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","40","40.14794520547945","39.75068493150685","38.58082191780822","36.16120218579235","36.342465753424655","36.416438356164385","36.58904109589041","37","37","36.50684931506849","36.4","36.333333333333336","35","35","35","35.2","33.5","30.76","30.62","30.66","30.52","30.56","26.084931506849315","32.666666666666664","32","33","33.912328767123284",""
"INTL.55-1-BEL-TBPD.A","        Belgium","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.49","0","0","0","10.34","11.452","10.873","10.956","14.563","10.725","10.542","18.274","18.274","18.274",""
"INTL.55-1-BLZ-TBPD.A","        Belize","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.251682191780822","4","3.239344262295082","3","1.8177616438356163","2","2","2","2","2",""
"INTL.55-1-BEN-TBPD.A","        Benin","","","","","","","","0","0","0","4","7","8","8","7","5","4","4","4","5.6","5.8","5.9","3","2","1.3","1","1","0.69","0.7","0.8","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-BMU-TBPD.A","        Bermuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-BTN-TBPD.A","        Bhutan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-BOL-TBPD.A","        Bolivia","","","","","","","","32","26","30","28","27","26","23","23","24","25","26","26","28","28.015068493150686","30.5","34.49178082191781","36.863934426229505","37.13835616438356","43.6","40.4","39.393497267759564","43.86698630136986","46.20024942721588","41.71219659427616","60.012411558719805","61.35046301369863","59.65666301369863","60.45928219178082","50.1381174863388","45.189701369863016","47.16994246575342","48.56831232876712","56.61536612021858","64.17617808219178","67.9796602739726","72.95047397260274","76.51586885245902","76.34690410958905","76.51402739726028","77.00991780821917",""
"INTL.55-1-BIH-TBPD.A","        Bosnia and Herzegovina","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-BWA-TBPD.A","        Botswana","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-BRA-TBPD.A","        Brazil","","","","","","","","233","271","336","447","601","721","713","741","718","761","790","808","793","806.0006301369863","922.4246575342465","955.4246575342465","1073.0027322404371","1138.1972602739727","1246.627397260274","1388.772602739726","1488.8863930885257","1533.7313129769877","1717.1230883156168","1800.4609528761634","1790.6275688775952","1988.4450136986302","2117.5636054794522","2226.797808219178","2381.5519098360655","2505.9634465753425","2660.024008219178","2632.7057561643837","2599.445319672131","2641.417298630137","2897.2260328767125","3113.9383643835617","3170.409836065574","3293.904109589041","3355.2356164383564","3601.109589041096",""
"INTL.55-1-VGB-TBPD.A","        British Virgin Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-BRN-TBPD.A","        Brunei","","","","","","","","270","188","179","187","175","168","181","150","148","142","160","171","177","178","180.43561643835616","175.64383561643837","166.39617486338798","175.04109589041096","179.2876712328767","203.92328767123288","215.00000000000017","217.225","189","195.94400000000002","204.17310655737705","209.67945205479452","220.9917808219178","169.6986301369863","157.4863387978142","148.60821917808218","153.0849315068493","169.18904109589042","158.57103825136613","135.3068493150685","126.69041095890411","126.83287671232877","120.86338797814207","113.14246575342466","111.45205479452055","121.3890410958904",""
"INTL.55-1-BGR-TBPD.A","        Bulgaria","","","","","","","","3","3","3","3","4","6","6","6","4.4","5","4","1.2","1.1","1","1.1","1","0.7","0.6","0.8","0.8","0.851","0.603","0.74","0.6","1","1","1.1","1.2","1.2","1.4","1.37","1.32","1.62","2.166","1.5031917808219177","3.045","3.308","3.308","3.308","3.308",""
"INTL.55-1-BFA-TBPD.A","        Burkina Faso","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-MMR-TBPD.A","        Burma","","","","","","","","30","27","30","30","32","30","24","17","14","16","14","16","15","14.4","14.042465753424658","9.9","8.2","9.2","11.2","9.7","12.256","10.171","15.2","15.17","20.15","20.187","23.2","21.361643835616437","21.55293442622951","18.284931506849315","20.528767123287672","20.2","20.2","20.2","19.775342465753425","15.2","15.2","12.2","11.2","10.865753424657534",""
"INTL.55-1-BDI-TBPD.A","        Burundi","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-CPV-TBPD.A","        Cabo Verde","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-KHM-TBPD.A","        Cambodia","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-CMR-TBPD.A","        Cameroon","","","","","","","","58","87","109","114","135","185","177","174","163","170","161","153","140","126.59178082191781","107.94520547945206","111","108.01639344262296","124","121","100","84.8224043715847","76.64657534246575","69.81917808219178","67","65.98907103825137","82.31506849315069","86.40273972602739","82.82739726027397","81.32513661202186","76.9041095890411","65","61.66027397260274","63","62.75616438356165","75","98","92","75.71780821917808","75.71232876712328","69",""
"INTL.55-1-CAN-TBPD.A","        Canada","","","","","","","","1766","1615","1589","1665","1774","1808","1802","1902","1997","1970","1979","1979","2065","2185.428816438356","2275.290410958904","2385.794520547945","2432.5765027322404","2558.4712328767123","2632.0493150684933","2561.5575342465754","2680.049726775956","2742.310602739726","2872.7890410958903","3033.4657534246576","3060.7950819672133","3018.90761369863","3215.806076712329","3369.8262328767123","3273.0376967213115","3241.249117808219","3364.0602739726028","3524.3876712328765","3783.4945355191257","4000.923287671233","4321.501369863014","4433.783561643836","4516.450819672131","4880.994520547945","5299.1972602739725","5419.454794520548",""
"INTL.55-1-CYM-TBPD.A","        Cayman Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-CAF-TBPD.A","        Central African Republic","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-TCD-TBPD.A","        Chad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.06849315068493","170.58743169398906","176.65753424657535","157.91780821917808","144.2027397260274","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","128","132","128",""
"INTL.55-1-CHL-TBPD.A","        Chile","","","","","","","","45","51","53","49","49","47","41","40","34","32","32","28","26","26.243835616438357","24.410958904109588","23.578082191780823","21.2","14.366849315068492","13.304109589041095","12.43095890410959","10.851","11.695","11.307","11.371","10.589833333333333","10.246575342465754","8.401838356164383","6.4402630136986305","7.092079234972678","7.683876712328767","12.98904109589041","12.92876712328767","11.904371584699453","10.638356164383561","8.742465753424657","7.260273972602739","5.423497267759563","6.243835616438356","9","11.32876712328767",""
