Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.53-1-AZE-TBPD.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","222","206.5001424657534","191.1095890410959","180.55753424657533","180.3808743169399","179.9753424657534","236.77397260273972","283.5780821917808","288.5872103184044","308.8623379108603","315.4184464367507","325.1747627892274","317.63403212040436","440.00560273972604","646.5805479452055","849.0690465753424","878.1927240437159","1015.9452630136986","1044.8443698630138","993.2605205479452","931.7560027322404","880.8249698630137","856.8758986301369","858.1772","843.5462513661203","800.6819726027397","808.4819726027397","778.8682739726028",""
"INTL.53-1-BHR-TBPD.A","        Bahrain","","","","","","","","57","55","53","52","51","49","53","52","53","52","48","44","45","54.8","55.2","53","46.4","53.1","49.6","49.2","49.77500962498361","49.25458037533151","49.39291331506849","49.5895917260274","50.60605254098361","47.525","48.853","48.435","48.598","48.685","47.489","47.487","55.165","60.993","64.1811095890411","65.886","63.886","58.886","56.886","56.886",""
"INTL.53-1-BGD-TBPD.A","        Bangladesh","","","","","","","","0","0","0","0.2","0.4","0.7","0.7","0.6","0.8","0.7","1","0.9","1","1.2","1.6","1.3","1.5","2.2","2.2","2","3.211034029016393","4.1014933735287675","6.824691790569863","6.912831128591781","6.745815164142077","6.76","6.733","6.724","6.408666666666667","5.684","5.072","5.063","4.8486666666666665","4.156","4.127","4.105","4.105","3.770753424657534","3.105","3.105",""
"INTL.53-1-BRB-TBPD.A","        Barbados","","","","","","","","0","0","1","1","2","2","1.9","1.2","1.2","1","1.1","1","1.2","1.2","1.1","1.1","1.2","0.9","1.6","1.9","1.53","1.271","1","1","1.002232504673661","1","1.0334246575342465","1.1084931506849316","1.101","0.766","1","1","1","1","1","1","1","1","1","1",""
"INTL.53-1-BLR-TBPD.A","        Belarus","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","42","34.94794520547945","36.35068493150685","34.18082191780822","32.86120218579235","33.54246575342466","33.916438356164385","33.88904109589041","34.68791360242278","35.37199904963288","33.469221064","34.33128574355068","35.03104170975409","35.155","35.602","36.011","35.296","32.063","32.113","30.739","30.124","31.307","33.193","26.001931506849314","32.583666666666666","31.917","32.917","33.829328767123286",""
"INTL.53-1-BEL-TBPD.A","        Belgium","","","","","","","","8","8","9","10","11","11","6.1","5.6","8.2","11","11","9.1","10","9.795","13","12","11","11","11","12","10.2181174863388","12.3046","13.0608520547945","11.0603479452054","10.6875901639344","8.691","11.914","11.224","11.218","12.603","23.04","21.982","22.474","23.892","28.595","25.458","24.423","28.785","28.785","28.785",""
"INTL.53-1-BLZ-TBPD.A","        Belize","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.251682191780822","4","3.239344262295082","3","1.8177616438356163","2","2","2","2","2",""
"INTL.53-1-BEN-TBPD.A","        Benin","","","","","","","","0","0","0","4","7","8","8","7","5","4","4","4","5.6","5.8","5.9","3","2","1.3","1","1","0.69","0.7","0.8","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BMU-TBPD.A","        Bermuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BTN-TBPD.A","        Bhutan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
