Report generated on: 09-17-2020 15:43:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","total energy production (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-WORL-QBTU.A","    World","294.7483840619706","289.4317471472289","288.4748796067401","291.41919143562217","307.60247485361","315.09344376119594","325.337038067091","333.02096815094825","345.94343620847013","352.6734139391148","358.45958907353037","353.2670882577919","352.1748408563161","353.13326573264465","359.2252480837343","367.0392723982718","376.3142218423113","380.8683181027505","385.51761768007236","385.46735009863005","398.90858637300084","404.6662330329014","406.4441862514148","422.2821322667728","444.54382663831996","460.4422509742304","472.4646684737831","481.0509232656512","494.0235392466403","492.2191580542687","518.2903786793131","533.989930966889","547.3380081341035","554.8632617477366","564.7294990497726","569.0972967979267","564.6939295592371","576.8678523326425"
"INTL.44-1-AFG-QBTU.A","        Afghanistan","0.07256115380748066","0.09272365274844369","0.09506786415846949","0.09971280615846949","0.09982734303917455","0.12096783009943252","0.12054976892110061","0.114835081155632","0.1213943959239381","0.1192256243355804","0.11883270034801532","0.020505265929613076","0.016142546028099742","0.016076217734531384","0.01602405594096303","0.01173932564739467","0.012296322030705074","0.011832375737136715","0.011602889737136716","0.011591797443568358","0.011706709443568358","0.007509174600988823","0.007910393953594155","0.007810977272656924","0.007071474979088566","0.007292052505967328","0.007750630272656924","0.01368175746235599","0.014057641097205524","0.01858013914377475","0.02692579367150454","0.04104421211242948","0.037492262916033615","0.040329972280627895","0.044095276519336056","0.04194616929038834","0.04950511782484147","0.05948211655404184"
"INTL.44-1-ALB-QBTU.A","        Albania","0.1555573306336458","0.1586896750318745","0.20594894134508174","0.23469253904545148","0.19102471227402412","0.19173281327692182","0.19659839752877048","0.202389614462528","0.18641906369598457","0.1949180429560018","0.12711963306505863","0.09543476951565781","0.065518915132227","0.06224048150354257","0.06650750362662941","0.0677847822256234","0.08270022766869303","0.0731137259599914","0.06574133558819432","0.06757414148819432","0.060933585384608774","0.05147175920922614","0.051346007092304385","0.06887567076357695","0.07130486526357696","0.07081984267691316","0.06835505817691316","0.042793297976913156","0.052527160472037836","0.06412317997820292","0.10062333137820292","0.07644219241410147","0.08448813451474205","0.10630107819038263","0.09343097863176268","0.10253456022314274","0.12011162927798409","0.08001134957355546"
"INTL.44-1-DZA-QBTU.A","        Algeria","2.803211700543422","3.0374820550541703","3.225699942564918","3.605903059075666","3.858312618787618","3.90734472649957","3.9683364893258815","4.21744667305417","4.297761282718831","4.503146415750645","4.753194660854686","4.916148925958727","5.031837777198624","4.883605523678418","4.73566894249957","5.048578597374033","5.248020847305202","5.592656958825882","5.747860243653697","6.018831493329707","6.1907544892","6.1701514136","6.39055275925","6.7889508535","6.90157522875","7.479062797175","7.418186865","7.12880088231","7.17839513765","6.94501149453","6.9278307909","6.82947521851","7.00123839562","6.51225237544","6.56363582635","6.6971551212","6.911692990693","6.7802888056554"
"INTL.44-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.44-1-AGO-QBTU.A","        Angola","0.33509524","0.29129229","0.27626324","0.39539394","0.462501984","0.51126702","0.6214284","0.78942774","0.989797536","0.990548244","1.0377902091707318","1.09201174","1.15166343085","1.1125430998","1.168552816","1.4040780028","1.5425083628","1.54875517685","1.5956487399","1.6145348008","1.62154094985","1.60839921765","1.9404293351","1.95735690825","2.29361202775","2.69677450625","3.0584872494","3.75880361615","4.2324854774","4.06334693545","4.13901304287","3.81700112136","3.8908174998","3.932194948625","3.802519592455","3.95016152979403","3.935599858078124","3.792900226062"
"INTL.44-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000019998","0.000019838","0.000019768","0.000019708","0.00003904","0.000039024","0.000038864","0.000009516","0.000009541","0.00000951","0.000009319","0.000009232","0"
"INTL.44-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000019512","0.000004858","0.000004758","0.0000057246","0.000005706","0.000046595","0.000055392","0.000055278"
"INTL.44-1-ARG-QBTU.A","        Argentina","1.5979436647355811","1.6712906381238959","1.7297998794072418","1.7854723707474165","1.852963701719002","1.834833632549314","1.8438330424198757","1.8343282654522353","1.9055861110631218","1.9855703486258685","2.014905730659027","2.104287614160999","2.2799944488374035","2.4770825112707118","2.6858600521365297","2.910309901318852","3.026506559975718","3.2825222836246946","3.3763634228482524","3.4059563412914238","3.490635857125681","3.658254781835431","3.572318071193171","3.7406716417091443","3.7547084809466766","3.748884866310155","3.821332339423633","3.6705308572010615","3.6605870897610986","3.5834304520099036","3.508163583556298","3.4413638912004463","3.295293579847942","3.2079762697507626","3.207216206757057","3.2008327698195016","3.2928645506737593","3.156701352072075"
