"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000008&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=2-A&vs=INTL.34-12-AFG-BKWH.A&cy=2015&vo=0&v=H&end=2017"
"Wed Sep 19 2018 19:03:03 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Argentina","Billion Kwh",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.36,0.465,0.503,0.575,0.715,0.669,0.943,1.078,1.27207,1.37508,2.87009,2.8211,1.6181,1.4021,2.2201,2.155,2.752,2.942,2.719,2.753,-,-
"","Armenia","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004,0.004,-,-
"","Aruba","Billion Kwh",--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.106,0.113,0.135,0.151,0.159,0.173,-,-
"","Australia","Billion Kwh",0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.7,0.8,0.75,0.77,0.6804,0.681,0.687,0.743,0.956,1,1.066,1.192,1.226,1.604,1.994,2.382,2.634,4.794,5.714,6.67,7.816,6.781,8.254,9.717,12.573,14.939,18.621,21.044,-,-
"","Austria","Billion Kwh",0.3,0.3,0.5,0.5,0.8,0.9,0.9,0.9,1,1.1,1.18,1.255,1.373,1.404,1.247,1.909,1.809,1.866,1.963,1.815,1.726,1.998,1.891,2.329,3.288,4.233,5.552,6.66,6.806,6.903,7.133,7.132,8.079,8.8554,9.4674,10.6344,-,-
"","Azerbaijan","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.136,0.179,0.192,-,-
"","Bahamas, The","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Bahrain","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.0025,0.001,0.001,0.001,0.001,-,-
"","Bangladesh","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2E-005,5E-005,0.0001,0.0005,0.001,0.002,0.003,0.004,0.0055,0.012,0.022,0.022,0.032,0.072,0.0638,0,0.144,0.149,0.154,-,-
"","Barbados","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Belarus","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.03,0.094,0.089,0.034,0.061,0.094,0.106,0.133,0.16,0.167,0.22,-,-
"","Belgium","Billion Kwh",0.3,0.3,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.6,0.73,0.815,0.878,0.882,0.892,1.051,1.057,0.907,1.015,1.214,1.352,1.62,1.719,1.711,2.09,2.478,3.473,4.138,5.072,6.424,7.535,9.248,11.344,12.39,13.089,15.297,-,-
"","Belize","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0402,0.0402,0.04023,0.04023,0.04023,0.04023,0.04023,0.04023,0.04023,0.04023,0.00023,0.00023,0.00023,0.00023,0,0,0,0,-,-
"","Benin","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.006,-,-
"","Bermuda","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Bhutan","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Bolivia","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.032,0.037,0.041,0.043,0.044,0.045,0.047,0.048,0.05,0.052,0.054,0.054,0.054,0.054,0.055,0.057,0.058,0.062,0.097,0.121,0.119,0.122,0.123,0.06,0.201,0.214,-,-
"","Bosnia and Herzegovina","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,-,-
"","Botswana","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,-,-
"","Brazil","Billion Kwh",1.9,2,2.4,3.2,3.1,3.1,3.2,3.6,3.4,3.3,3.859,4,4.899,4.954,5.388,5.594,6.754,7.3831,7.5101,8.3681,7.8461,9.0151,10.2801,11.9551,12.5371,13.6842,14.9602,18.6702,20.6542,23.8402,33.673,34.941,40.294,46.978,58.224,70.492,-,-
"","Brunei","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,-,-
"","Bulgaria","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.029,0.015,0,0.011,0.006,0.02,0.022,0.027,0.053,0.138,0.248,0.731,1.016,2.097,2.84,2.78,3.102,-,-
"","Burkina Faso","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Burma (Myanmar)","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Burundi","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Cambodia","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.008,0.014,0.015,0.017,0.018,0.019,0.021,0.023,0.023,0.023,0.014,0.02,0.041,-,-
"","Cameroon","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.076,0.077,0.071,0.059,0.061,0.064,0.068,0.072,0.076,-,-
"","Canada","Billion Kwh",1.2,1.8,2,2,2.2,1.6,1.7,2.2,2.3,3.3,3.999,4.023,4.57,4.93,5.846,5.754,5.958,6.999,7.432,8.509,8.536,8.998,9.51,9.938,9.817,10.7,11.269,11.535,10.981,14.581,19.385,20.957,22.288,29.229,37.06,41.841,-,-
"","Cape Verde","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.002,0.016,0.06,0.1,0.149,0.142,-,-
"","Cayman Islands","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Central African Republic","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Chad","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Chile","Billion Kwh",0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.01,0.941,2.075,1.951,1.814,2.038,1.797,1.438,2.705,3.121,4.353,2.579,5.011,5.263,6.322,7.248,8.965,-,-
"","China","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.017,0.026,0.388,2.968,1.524,2.823,2.748,2.915,3.056,3.211,3.343,3.524,3.814,4.623,6.474,8.318,29.811,48.145,79.347,111.335,143.436,206.113,242.799,294.882,-,-
"","Colombia","Billion Kwh",0.2,0.3,0.4,0.3,0.5,0.3,0.4,0.3,0.5,0.5,0.274,0.269,0.34,0.389,0.444,0.477,0.496,0.483,0.532,0.457,0.496,0.496,0.491,0.495,0.519,0.552,0.593,0.581,0.591,0.599,2.456,2.039,2.008,2.108,2.198,2.264,-,-
"","Comoros","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Congo (Brazzaville)","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Congo (Kinshasa)","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.018,0.009,0.01,-,-
"","Cook Islands","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0,0,0,0,-,-
"","Costa Rica","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0.01,0.472,0.471,0.471,0.485,0.544,0.632,0.685,0.909,1.176,1.187,1.433,1.274,1.48,1.4,1.549,1.55,1.411,1.635,1.68,1.83,2.111,2.188,2.457,2.637,-,-
"","Cote dIvoire (IvoryCoast)","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.11,0.112,0.115,0.118,0.072,0.069,0.064,0.066,0.068,0.07,0.105,-,-
"","Croatia","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0.006,0.018,0.006,0.005,0.01,0.002,0.005,0.002,0.001,0.001,0,0,0.006,0.024,0.03,0.043,0.061,0.079,0.172,0.255,0.425,0.655,0.93,1.126,-,-
"","Cuba","Billion Kwh",0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.2,1.449,1.264,1.337,0.887,0.897,0.69,0.922,0.87,0.779,0.8811,0.9451,0.9311,0.9401,0.7211,0.7901,0.4211,0.4071,0.4181,0.5741,0.5551,0.467,0.477,0.576,0.709,0.677,0.753,-,-
"","Cyprus","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.031,0.067,0.176,0.255,0.329,0.311,0.396,-,-
"","Czech Republic","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,--,0.28685,0.42085,0.42385,0.388,0.528,0.598,0.832,0.723,0.713,0.691,0.501,0.73,0.759,0.977,1.329,1.707,2.225,3.135,5.335,5.976,6.613,7.303,7.675,-,-
"","Denmark","Billion Kwh",0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.84,1.096,1.438,1.764,1.941,2.09,2.402,3.294,4.29,4.831,6.098,6.41,7.38,8.725,10.146,10.605,10.002,11.072,10.925,10.836,13.155,14.942,15.55,16.67,18.7,19.695,-,-
"","Djibouti","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Dominica","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.001,-,-
"","Dominican Republic","Billion Kwh",0,0,0,0,0.1,0,0,0,0,0,0.026,0.026,0.027,0.035,0.045,0.041,0.04,0.048,0.032,0.037,0.038,0.038,0.039,0.045,0.07,0.005,0.029,0.038,0.029,0.0285,0.0225,0.056,0.263,0.712,0.772,0.972,-,-
"","Ecuador","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05004,0.67804,0.95004,0.21104,0.22004,0.23904,0.28104,0.298,0.36,0.499,0.548,-,-
"","Egypt","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0011,0.0101,0.0102,0.0102,0.0102,0.0102,0.0242,0.1372,0.2212,0.2042,0.3682,0.5232,0.5522,0.6162,0.8312,0.9312,1.1332,1.706,1.743,1.497,1.572,1.687,1.598,-,-
"","El Salvador","Billion Kwh",0.5,0.8,0.9,0.6,0.7,0.4,0.3,0.4,0.4,0.4,0.44,0.441,0.42,0.395,0.412,0.449,0.45,0.507,0.474,0.621,0.806,0.985,1.015,1.067,1.072,1.14,1.283,1.527,1.693,1.756,1.808,1.817,1.91,2.001,1.997,2.11,-,-
"","Equatorial Guinea","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Eritrea","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,-,-
"","Estonia","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.006,0.005,0.008,0.013,0.013,0.014,0.012,0.024,0.036,0.038,0.089,0.116,0.124,0.169,0.509,1.017,1.149,1.435,1.254,1.435,1.603,-,-
"","Ethiopia","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.02,0.005,0.0001,0,0,0,0,0,0,0.0141,0.0243,0.0183,0.0383,0.1921,0.3561,0.5001,0.7601,-,-
"","Falkland Islands (Islas Malvinas)","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.005,0.006,0.007,0.007,0.007,0.009,-,-
"","Faroe Islands","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423,0.000605,0.00057,0.00058,0.00055,0.000546,0.000562,0.000523,0.000504,0.000553,0.002993,0.007509,0.010332,0.014978,0.015759,0.012969,0.015005,0.014,0.015,0.011,0.02,0.035,0.056,-,-
"","Fiji","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02002,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0301,0.0201,0.0201,0.0061,0.0051,0.007,0.005,0.004,0.006,-,-
"","Finland","Billion Kwh",0,0,0,0,0,0,0,0,0,0,5.156,5,4.953,5.963,6.473,6.62,6.155,8.199,9.716,8.746,8.783,8.453,9.168,9.639,10.747,9.849,11.093,10.302,10.839,9.236,11.487,11.96,11.937,13.131,13.252,14.142,-,-
"","Former Czechoslovakia","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","Former Serbia and Montenegro","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,-,-
"","Former U.S.S.R.","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.027,0.029,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","Former Yugoslavia","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","France","Billion Kwh",1.2,1.2,1.7,1.3,1.5,1.4,1.4,1.4,1.3,2,2.203,2.397,2.437,2.298,2.494,2.767,2.954,3.3,3.314,3.779,4.216,4.996,5.389,5.808,6.15,6.523,7.665,10.132,12.083,14.742,17.519,21.773,26.547,28.004,31.124,37.166,-,-
"","French Guiana","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","French Polynesia","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,-,-
"","Gabon","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.003,0.008,0.008,0.008,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.009,0.009,0.009,0.012,0.011,0.012,0.012,-,-
"","Gambia, The","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Georgia","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Germany","Billion Kwh",--,--,--,--,--,--,--,--,--,--,--,5.939,6.508,6.873,8.659,9.415,10.071,11.321,14.364,13.809,19.533,23.013,28.562,33.896,42.0992,45.1002,54.2654,71.8624,77.833,81.443,90.091,112.356,128.105,135.777,150.156,175.068,-,-
"","Germany, East","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","Germany, West","Billion Kwh",5.2,4.7,4.7,4,4.3,4.3,4.2,3.8,4.3,4.6,4.784,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","Ghana","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.004,0.003,-,-
"","Gibraltar","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Greece","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.145,0.139,0.113,0.138,0.153,0.149,0.23,0.358,0.614,0.938,0.885,1.267,1.385,1.489,1.839,2.028,2.457,2.83,3.191,4.245,4.935,8.088,7.801,8.864,-,-
"","Greenland","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Grenada","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Guadeloupe","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.0307,0.0307,0.0307,0.031,0.035,0.04,0.04,0.05,0.05,0.06,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.145,0.05,0.057,0.055,0.052,-,-
