"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000008&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=2-A&vs=INTL.34-12-AFG-BKWH.A&cy=2015&vo=0&v=H&end=2017"
"Wed Sep 19 2018 19:03:03 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Guam","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Guatemala","Billion Kwh",0.3,0,0,0,0,0,0,0,0,0,0.285,0.33,0.364,0.368,0.386,0.445,0.443,0.525,0.156,0.787,0.786,0.786,0.821,1.63,1.63,1.408,1.336,1.71,1.156,1.501,1.829,1.74,1.837,2.009,2.51,2.807,-,-
"","Guinea","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Guinea-Bissau","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Guyana","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Haiti","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.016,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
"","Hawaiian Trade Zone","Billion Kwh",0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
"","Honduras","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.009,0.015,0.036,0.074,0.159,0.142,0.145,0.197,0.168,0.16,0.768,1.029,1.036,0.923,1.45,-,-
"","Hong Kong","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.093,0.08,0.091,0.095,0.106,0.106,-,-
"","Hungary","Billion Kwh",0,0,0,0,0,0,0,0,0,0,0.034,0.048,0.091,0.077,0.09,0.103,0.091,0.095,0.112,0.12,0.12,0.127,0.072,0.198,0.757,1.74,1.439,1.819,2.258,2.784,2.973,2.605,2.526,2.651,2.933,3.094,-,-
