International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2015&vo=0&v=H&end=2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 19 2018 19:11:17 GMT-0700 (Pacific Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Aruba,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Australia,Bcf,-,-,-,-,-,-,-,-,-,-,731,762,811.856535,870.691325,937.68388,1039.03793,1074.529505,1065.38292,1105.041665,1130.185945,1169.70343,1193.329165,1243.01737,1210.139105,1216.354545,1271.69315,1330.068845,1403.806565,1444.45413,1499.54553,1868.198815,2001.15979,1916.68631,2190.16567,2222.7261,2384.32754
,Austria,Bcf,-,-,-,-,-,-,-,-,-,-,47,47,51,53,47.85,52.34,52.68998,50.42982,55.37392,61.4481,63.743575,61.16558,66.3922,73.843665,69.323345,61.02432,67.769485,68.86425,57.06904,58.093175,60.10613,59.223255,63.672945,51.171435,46.651115,44.602845
,Azerbaijan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,275.5264558,240.142,225.31,231.99,236.61,210.4774,460.5076,474.28045,486.6407,202.0018,181.87225,181.16595,176.92815,205.5333,240.8483,556.5644,775.16425,781.8741,871.22105,852.85725,w,w,w,963.74635
,"Bahamas, The",Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bahrain,Bcf,-,-,-,-,-,-,-,-,-,-,291,328,296,346.087,339.38,339.38,346.7933,375.39845,389.52445,406.47565,412.12605,425.8989,436.14025,434.3745,437.906,470.3958,488.0533,507.1234,540.67265,547.02935,551.26715,546.6762,590.11365,679.81375,709.8315,727.489
,Bangladesh,Bcf,-,-,-,-,-,-,-,-,-,-,170,173,216,215.77,234.84,260.27,266.9814,269.45345,289.583,319.60075,342.5555,363.7445,391.9965,429.07725,462.6265,494.41,541.0258,574.57505,632.1385,692.174,710.89095,710.18465,777.98945,805.182,844.0285,948.6090665
,Barbados,Bcf,-,-,-,-,-,-,-,-,-,-,1.20071,1.165395,1.69512,1.659805,1.62449,1.659805,1.589175,1.518545,1.306655,1.659805,1.338869341,1.137903152,1.024135,1.024135,1.05945,0.972241834,0.991252149,0.738686533,0.688897612,0.621908883,0.613761605,0.627340401,0.718770965,0.841885387,0.515089016,0.626435148
,Belarus,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,10.24,10.24,10.24,10.59,10.59,7.063,7.7693,7.41615,7.098315,7.063,6.70985,5.6504,6.3567,6.07418,6.00355,5.6504,5.36788,5.29725,7.663355,7.7693,7.41615,8.05182,7.7693,8.440285
,Belgium,Bcf,-,-,-,-,-,-,-,-,-,-,0.42,0.318,0.212,0.1413,0.04,0,0.07063,0,0,0,0.07063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belize,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Benin,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bermuda,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bhutan,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bolivia,Bcf,-,-,-,-,-,-,-,-,-,-,186,192,206,197.41,209.06,188.94,186.4632,188.93525,189.64155,175.8687,197.764,252.50225,313.5972,360.9193,446.73475,518.77735,517.36475,536.788,541.0258,473.57415,526.1935,580.93175,658.9779,751.15005,767.39495,741.615
,Bosnia and Herzegovina,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0.812,0,0,31.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Botswana,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brazil,Bcf,-,-,-,-,-,-,-,-,-,-,252,232.82,246.3424235,260,274.04,280.75,323.4854,348.2059,381.04885,420.2485,469.33635,494.41,548.44195,557.62385,599.29555,625.0755,625.42865,640.96725,762.45085,746.241265,809.77295,850.03205,912.04519,994.788235,1126.301295,1238.1439
,Brunei,Bcf,-,-,-,-,-,-,-,-,-,-,334,337,313,351.7374,358.45,395.18,391.64335,390.5839,379.63625,400.82525,416.36385,434.3745,453.79775,473.221,474.28045,474.28045,505.0045,503.23875,501.473,427.3115,443.20325,476.39935,w,456.2698,w,w
,Bulgaria,Bcf,-,-,-,-,-,-,-,-,-,-,0.353,0.324549697,1.4126,2.472,2.12,1.77,1.41,1.4126,1.05945,0.7063,0.7063,0.7063,0.716327236,0.752635269,12.52183804,17.73060167,16.97547868,10.5945,3.88465,0.35315,1.76575,12.36025,13.44451019,9.81757,6.3567,3.685263897
,Burkina Faso,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Burma (Myanmar),Bcf,-,-,-,-,-,-,-,-,-,-,40,38.32327416,40,38.846,50.5,57.92,56.504,53.32565,62.1544,67.8048,123.95565,257.7995,310.772,363.7445,384.9335,485.58125,467.92375,498.6478,459.095,424.4863,438.6123,450.6194,449.2068,w,w,w
,Burundi,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cambodia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cameroon,Bcf,-,-,-,-,-,-,-,-,-,-,0,88.29,88.29,76.9867,87.58,85.46,73.10205,73.10205,73.10205,73.10205,68.86425,62.50755,57.2103,53.32565,60.0355,65.33275,69.2174,69.2174,69.2174,69.2174,83.69655,84.756,66.60409,w,76.245085,90.4064
,Canada,Bcf,-,-,-,-,-,-,-,-,-,-,4895.72,5120.22,5581.08,6039.041,6479.14,6798.49,6968.956155,7061.5874,7261.82345,7445.1083,7679.5999,7826.5103,7785.89805,7608.61675,7698.67,7734.33815,7784.55608,7625.35606,7368.61601,6927.67292,6695.335535,6669.23775,6310.29609,6456.07641,6814.276455,6751.698275
,Cape Verde,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cayman Islands,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Central African Republic,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chad,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35315,0.35315,w,w,w,w
,Chile,Bcf,-,-,-,-,-,-,-,-,-,-,156,146,167.300917,148.32,149.74,133.49,129.2529,113.36115,108.0639,104.5324,100.64775,104.5324,79.88253,68.405155,65.862475,70.382795,67.133815,69.535235,68.08732,69.747125,66.780665,57.245615,46.26265,36.692285,29.09956,38.56398
,China,Bcf,-,-,-,-,-,-,-,-,-,-,508,526,533.2565,558.33,588.7,601.41,711.844455,801.29735,821.603475,889.337645,962.33375,1070.39765,1152.6816,1211.3045,1439.79255,1762.9248,2066.56317,2446.27005,2685.3526,2975.00623,3334.08915,3628.651565,3665.55574,3986.00405,4359.91927,4559.625595
,Colombia,Bcf,-,-,-,-,-,-,-,-,-,-,183,186,187,189,194.94,271.22,332.6673,453.4446,507.8297,533.60965,513.12695,529.37185,533.60965,513.4801,504.65135,555.1518,782.93355,931.96285,1025.90075,1196.82535,1123.7233,1114.5414,w,w,w,979.28495
,Comoros,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congo (Brazzaville),Bcf,-,-,-,-,-,-,-,-,-,-,3,0,0,45.9095,45.91,45.91,46.96895,141.61315,133.84385,134.197,127.134,124.3088,118.30525,116.5395,111.24225,250.7365,264.8625,268.74715,271.57235,281.8137,297.70545,333.72675,w,337.6114,w,w
,Congo (Kinshasa),Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1819,7.41615,w,w,w,w
,Cook Islands,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Costa Rica,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cote dIvoire (IvoryCoast),Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1.41,12.7134,21.189,28.252,47.3221,47.67525,47.67525,47.3221,47.3221,45.9095,45.9095,45.9095,52.9725,56.504,56.504,61.977825,61.09495,66.3922,75.71536,76.315715,75.64473
,Croatia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,64.273,73.03142,63.57,69.57,63.57,56.504,55.44455,54.73825,58.6229,62.1544,54.73825,65.33275,57.9166,54.3851,71.68945,71.936655,71.866025,69.9237,73.94961,75.397525,70.13559,62.1544,61.695305,64.591135
,Cuba,Bcf,-,-,-,-,-,-,-,-,-,-,1.14,1.18,1.22,1.25,1.22,1.448404967,1.518545,35.315,20.83585,24.36735,28.252,17.6575,19.42325,20.4827,20.4827,21.189,19.42325,30.01775,49.79415,49.79415,43.0843,39.5528,39.69406,40.82414,w,48.38155
,Cyprus,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Czech Republic,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,8.405,10.28,8.97,8.33434,7.62804,8.05182,8.12245,7.733985,5.6504,5.403195,5.93292,7.592725,7.098315,6.85111,7.098315,7.027685,7.945875,8.68749,8.299025,9.287845,8.89938,9.146585,8.722805
,Denmark,Bcf,-,-,-,-,-,-,-,-,-,-,114.809,147.82,153.62,166.899,234.14,192.431435,233.608725,350.3248,383.87405,406.8288,422.3674,414.95125,304.27404,290.00678,342.661445,375.786915,374.515575,331.46659,361.06056,300.46002,294.703675,235.868885,206.133655,174.915195,166.439595,166.439595
,Djibouti,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dominica,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dominican Republic,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ecuador,Bcf,-,-,-,-,-,-,-,-,-,-,25,29.45470769,33.166823,23.66,23.66,37.43,37.4339,37.78705,37.78705,37.78705,39.90595,40.61225,38.8465,41.6717,43.0843,43.7906,44.14375,43.7906,44.14375,49.441,49.546945,47.216155,54.420415,57.49282,62.260345,59.223255
,Egypt,Bcf,-,-,-,-,-,-,-,-,-,-,402,478,479,526.8998,548.8,562.57,631.4322,640.96725,645.20505,693.93975,860.2734,1062.9815,1107.12525,1215.5423,1296.0605,1670.3995,2111.837,2196.593,2312.07305,2443.44485,2368.9302,2339.9719,2314.086005,w,w,1742.01832
,El Salvador,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Equatorial Guinea,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,19.42325,20.13,20.83,31.43035,32.13665,35.66815,40.61225,44.14375,45.9095,120.071,134.197,88.2875,134.197,134.197,159.6238,266.62825,294.88025,299.11805,293.1145,295.58655,317.835,w,296.646
,Eritrea,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Estonia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ethiopia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Falkland Islands (Islas Malvinas),Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Faroe Islands,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fiji,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Finland,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Former Czechoslovakia,Bcf,-,-,-,-,-,-,-,-,-,-,25,22,9.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Serbia and Montenegro,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,29.876,33.97303,27.8,32,23.696365,24.29672,33.26673,23.978885,19.176045,21.25963,22.95475,13.4197,9.8882,9.8882,--,--,--,--,--,--,--,--,--,--
,Former U.S.S.R.,Bcf,-,-,-,-,-,-,-,-,-,-,29823,29404,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Yugoslavia,Bcf,-,-,-,-,-,-,-,-,-,-,94,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,France,Bcf,-,-,-,-,-,-,-,-,-,-,153,156,111.38,120.88,124.767895,118.41,102.801965,91.32459,79.88253,72.996105,66.32157,67.45165,95.70365,84.0497,77.33985,63.21385,65.33275,57.56345,51.91305,48.7347,47.67525,39.5528,36.127245,12.0071,0.600355,0.741615
,French Guiana,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,French Polynesia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gabon,Bcf,-,-,-,-,-,-,-,-,-,-,88,87.76428844,94.99735,94.99735,91.11,91.11,91.1127,91.1127,91.1127,91.1127,88.2875,84.0497,81.2245,75.92725,74.1615,74.1615,74.1615,73.4552,73.4552,73.4552,73.4552,76.9867,88.110925,83.62592,83.69655,91.04207
,"Gambia, The",Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0.71,0,0,0,0,2.1189,2.1189,2.1189,2.1189,2.1189,0.459095,0.7063,0.7063,0.529725,0.35315,0.35315,0.28252,0.35315,0.176575,0.105945,0.07063,0.07063,0.035315,0.35315
,Germany,Bcf,-,-,-,-,-,-,-,-,-,-,--,691,693.8,692.456,733.42192,765.77,824.04021,808.183775,786.641625,883.51067,835.800105,841.76834,843.710665,816.97721,746.947565,738.0835,767.0418,757.400805,672.68012,663.109755,568.677445,561.473185,497.09394,464.851345,367.34663,337.25825
,"Germany, East",Bcf,-,-,-,-,-,-,-,-,-,-,246,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,"Germany, West",Bcf,-,-,-,-,-,-,-,-,-,-,579,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Ghana,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82875,15.89175,w,w,w,45.2032
,Gibraltar,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Greece,Bcf,-,-,-,-,-,-,-,-,-,-,4,4,4,2.896,1.38,1.27,1.377285,1.306655,1.165395,0.07063,1.27134,1.236025,1.306655,0.953505,0.882875,0.56504,0.812245,0.741615,0.49441,0.388465,0.247205,0.21189,0.21189,0.21189,0.176575,0.14126
,Greenland,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grenada,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guadeloupe,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guam,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guatemala,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea-Bissau,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guyana,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haiti,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hawaiian Trade Zone,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Honduras,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hong Kong,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hungary,Bcf,-,-,-,-,-,-,-,-,-,-,172,176,178.58,178.058,171.313065,172.55,164.85042,154.291235,136.916255,120.106315,112.79611,114.63249,110.288745,104.88555,108.55831,107.71075,109.441185,92.631245,93.58475,104.920865,102.4135,97.68129,78.89371,69.2174,65.650585,62.57818
,Iceland,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,India,Bcf,-,-,-,-,-,-,-,-,-,-,644,669,658.44817,637.78,685.46,747.62,810.47925,832.7277,876.16515,867.3364,780.4615,773.3985,1113.48195,1125.48905,1134.67095,1190.1155,1119.4855,1140.6745,1169.6328,1472.6355,1883.34895,1715.24955,1509.71625,1270.28055,1186.30148,1133.364295
,Indonesia,Bcf,-,-,-,-,-,-,-,-,-,-,2159,2461.80865,2582.58595,2661.33,2942.09,3005.31,3159.63305,3131.7342,2979.8797,3068.1672,2901.12725,2807.5425,3042.0341,3155.39525,3030.027,2984.1175,2954.80605,2804.011,2883.32849,3058.63215,3405.7786,3254.98355,w,w,w,w
,Iran,Bcf,-,-,-,-,-,-,-,-,-,-,1925.726,2043,2055.333,2118.9,2336.09,2671.23,2909.956,2917.019,3143.035,3623.319,3870.524,4037.56395,4273.115,4555.635,4767.525,5703.3725,5925.857,6151.873,6371.638245,7427.80395,7773.5378,7914.7978,8169.48958,8083.144405,8636.318565,9097.956245
,Iraq,Bcf,-,-,-,-,-,-,-,-,-,-,321,67,109.82965,97.116,120.42,120.42,122.8962,134.197,141.26,154.6797,153.62025,139.49425,125.36825,81.2245,98.882,400.82525,420.2485,425.54575,521.991015,585.416755,596.293775,660.072665,723.81624,755.38785,771.738695,885.029215
,Ireland,Bcf,-,-,-,-,-,-,-,-,-,-,82,84,82.919,94.22,95.85,98.11,94.57357,83.3434,61.51873,48.24029,41.88359,28.781725,29.59397,23.766995,30.194325,20.20018,17.94002,16.138955,15.46797,13.808165,9.782255,8.087135,7.380835,6.321385,5.36788,4.66158
,Israel,Bcf,-,-,-,-,-,-,-,-,-,-,1.059,1.059,0.76,1.05945,1.06,0.71,0.7063,0.7063,0.7063,0.35315,0.35315,0.35315,0.35315,1.4126,42.02485,58.6229,35.315,97.4694,122.1899,98.882,114.06745,152.20765,w,w,w,w
,Italy,Bcf,-,-,-,-,-,-,-,-,-,-,611,614,640.96725,690.726085,728.8,719.86,707.50071,680.414105,671.302835,617.16494,587.394395,538.27123,516.411245,490.348775,457.717715,426.287365,387.723385,342.76739,326.840325,282.979095,296.85789,298.376435,303.885575,273.161525,252.466935,239.117865
,Jamaica,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Japan,Bcf,-,-,-,-,-,-,-,-,-,-,79.282175,83.025565,82.178005,84.68537,84.226275,85.10915,82.84899,86.23923,85.568245,86.1686,93.09034,91.924945,102.55476,104.850235,110.1828,116.96328,126.957425,138.92921,138.046335,132.466565,124.52069,124.202855,118.340565,108.099215,168.841015,99.835505
,Jordan,Bcf,-,-,-,-,-,-,-,-,-,-,4.59,4.59,5.3,7.063,9.89,10.24,9.53505,10.24135,9.8882,9.8882,10.24135,10.24135,10.94765,10.94765,10.94765,9.8882,11.3008,8.82875,7.41615,7.7693,7.7693,7.027685,w,5.86229,5.120675,5.332565
,Kazakhstan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,286.05,236.61,158.92,169.17,149.74,215.4215,194.2325,162.449,314.3035,355.9752,462.6265,586.123055,780.53213,784.34615,874.75255,980.69755,1089.8209,1189.4092,1238.8502,1308.42075,1334.907,1387.8795,1430.2575,1515.0135
,Kenya,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiribati,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Korea, North",Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Korea, South",Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37498,15.46797,12.50151,7.663355,17.692815,19105.415,15.997695,15.39734,16.350845,11.37143,6.63922
