"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-2-AFG-QBTU.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 16:21:01 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Primary Energy","Quad Btu"
"","Consumption",""
"","Australia","Quad Btu",2.76201047407,2.7536733223,2.93053540861,2.89045718455,3.06378055684,3.18848234831,3.225131716,3.35504183409,3.47464465155,3.64658170236,3.73255096849,3.72143078885,3.82296580108,3.92541268644,3.93213758209,4.04611389961,4.22409420494,4.5559898058,4.59483993974,4.808664022,4.83747261818,5.01024946136,5.10143670494,5.21616811461,5.44354729286,5.54197811984,5.6290637481,5.82073195779,5.84143123172,5.8879858964,5.85926510915,5.96224908302,5.93575984308,5.61395402072,5.62604863489,5.61563573022
"","Austria","Quad Btu",1.08223002414,1.06732605281,1.00857825379,1.0175390555,1.04665538921,1.06632747213,1.06686908114,1.01672518759,1.0968118598,1.11366961259,1.1512333619,1.20527590982,1.18660953705,1.22502085011,1.21663202163,1.26672423182,1.3242178976,1.33428108784,1.36331710095,1.37021346792,1.35370927102,1.41353255522,1.41480542231,1.4353411561,1.47684921434,1.52825098545,1.5201445891,1.50229229046,1.50428687442,1.44699246233,1.47919769496,1.40907867103,1.45736734821,1.44022055471,1.40471851999,1.4033876778
"","Azerbaijan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.99180253066,0.839794218127,0.761691470745,0.730386815014,0.645554695014,0.637967893217,0.544370160661,0.563785494,0.530276383,0.607173561721,0.591535866005,0.601398869821,0.637135650364,0.659702355547,0.699171897963,0.596062641499,0.642982814468,0.568806331477,0.58628626955,0.555820221667,0.603565916506,0.60731047591,0.585443018708,0.622853707673
"","Bahamas, The","Quad Btu",0.06,0.063,0.054,0.041,0.037,0.033,0.033,0.036,0.034,0.038,0.041,0.037,0.031,0.033,0.036,0.043,0.048,0.048,0.054,0.048,0.047,0.047,0.047,0.057,0.057,0.066,0.066,0.063,0.043,0.049,0.049,0.049,0.049,0.053,0.05289955684,0.0499522645173
"","Bahrain","Quad Btu",0.138,0.158,0.168,0.178,0.171,0.205,0.22,0.266,0.229,0.235,0.257,0.287,0.241,0.287,0.283,0.284,0.284,0.335,0.352,0.356,0.365,0.377,0.398,0.408,0.418168,0.466766,0.499810236,0.521596356,0.545947574,0.558319736,0.56477804785,0.5600557691,0.5902455625,0.6895719835,0.69031722341,0.691067292029
"","Bangladesh","Quad Btu",0.122150548608,0.133155769101,0.142760610493,0.136420684338,0.167100802818,0.173464527131,0.187844993178,0.204828097144,0.22673927711,0.246122395779,0.238664260536,0.257702236567,0.286695540387,0.316708991221,0.348173498297,0.381969573092,0.38589883585,0.403723931055,0.419602357157,0.465353247621,0.503307040915,0.552744221076,0.584551410919,0.635340300761,0.676529348438,0.717790057659,0.77505034697,0.822735220582,0.894118134092,0.968971020741,0.956927444858,1.00010907175,1.08535698932,1.10814365376,1.1477970507,1.25846376098
"","Barbados","Quad Btu",0.01436645,0.01536645,0.01536645,0.0164188,0.0154188,0.0174188,0.0184188,0.01736645,0.0159714066,0.018,0.018,0.018834064,0.0188046822,0.019,0.01781666,0.0179695994,0.016,0.02,0.021,0.021,0.024,0.023,0.023,0.023,0.016047,0.022047,0.0210470005868,0.0190470005868,0.0171517019614,0.0207329,0.019,0.02,0.02,0.024,0.02409431108,0.0254212817809
"","Belarus","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,1.52881040274,1.28731413279,1.07638794061,1.01009586935,1.00962112734,0.996455174423,0.974222735896,0.984754392445,1.0497432152,0.959985954071,0.905420470772,0.982832900805,0.949358398451,1.12292429379,1.15364757875,1.14999371004,1.12245141915,1.04909955536,1.10725592808,1.15865081857,1.14802074838,1.18723305815,1.1169555304,1.00152565229
"","Belgium","Quad Btu",2.10395572846,1.87436281087,1.76406507705,1.74284092711,1.82148103042,1.90008444044,1.98440956487,2.05343666973,2.13593936159,2.14732349451,2.20683797817,2.29401689657,2.24670519016,2.26452783703,2.38616057622,2.44789900213,2.59373823658,2.63250312404,2.66553034392,2.63842340245,2.69387015884,2.67222208579,2.67009493902,2.76420068468,2.7969710197,2.77861576689,2.77640489335,2.79453523616,2.85177941484,2.63287312806,2.80453072804,2.64354912785,2.57996047569,2.63578609491,2.46549597131,2.52671700172
"","Belize","Quad Btu",0.0034155201316,0.0034181201048,0.0034181601852,0.003420800728,0.0034176,0.00341788,0.00441784,0.00341676,0.00241296,0.00341728,0.00541608,0.00541744,0.00441368,0.00441236,0.00441264,0.00582496,0.005034,0.007103004,0.0070727244,0.0071780352,0.01035907923,0.013902372132,0.013924527829,0.013671381,0.01484133712,0.015954589195,0.016878494997,0.017918784572,0.010863082866,0.0095741168,0.01011399188,0.00996610668,0.0098009,0.010269527,0.0102673746786,0.0103039120557
"","Benin","Quad Btu",0.006399204,0.006464032,0.004566392,0.006620984,0.00654592,0.007569804,0.00756298,0.005576628,0.00758004,0.00763122,0.008644868,0.009692636,0.011812056,0.01281888,0.012825704,0.01387006,0.014938818,0.0169386021,0.0178873949,0.0190409842,0.024282842,0.024453706,0.02551139,0.03079449,0.035982152,0.037040139,0.044062675,0.048015084,0.05229816,0.065974312,0.073451984,0.066472376,0.06676882,0.084805707,0.0900054088836,0.0937988773336
"","Bermuda","Quad Btu",0.008,0.007,0.007,0.008,0.008,0.007,0.007,0.01,0.011,0.013,0.009,0.008,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.009,0.009,0.009,0.012,0.008,0.01,0.01,0.01,0.01,0.006,0.00632334639,0.00710861555136
"","Bhutan","Quad Btu",0.000147012716174,0.000450039269671,0.00057510511428,0.000528326241389,0.0004792742222,0.00062320346,0.00277514925609,0.00965169311464,0.012134709183,0.0122797556452,0.0127958596,0.0130049936,0.01321300592,0.0132240553277,0.0143616602803,0.0161105056038,0.0176938395444,0.01772387735,0.0170945174411,0.0172599057696,0.0172695977696,0.0185264179424,0.0205413502168,0.0221679814439,0.020095331064,0.0234448635559,0.0359708495357,0.049393706181,0.053634304771,0.0559096527986,0.0602199109835,0.0564732094052,0.0550475077923,0.0604239356784,0.0587672164156,0.0620167561722
