"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.5-2-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2017"
"Wed Sep 19 2018 19:04:57 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Petroleum (annual)","1000 bbl/d"
"","Consumption",""
"","Ecuador","1000 bbl/d",84,88,95,85,83,86,91.9,90.5,93,90.2,97.1,103.2,118.4,111.4,119.1,123.1,129.2,134.8,137.9,129.2,139.823539891,154.598986301,156.663635068,163.804770411,179.29175847,193.874435068,203.395183562,209.20091726,215.415229508,231.412404384,242.637099178,244.497507945,250.538622466,270.644417534,284.214432877,274,-,-
"","Egypt","1000 bbl/d",260,300,320,376,406,430,428,442,437,443,465,456,444.9,451,449,459,500,531,555,549.6,559.5,564.5,554,581,604,625.5,658.5,694,700.8,721.2,705.2,708.9,742.7,744.7,762.901852055,780,-,-
"","El Salvador","1000 bbl/d",14,12,12,13,13,14,14.9,14.7,16.2,15.7,16.5,19.2,21.9,22.3,25.1,31.4,30.6,32,37.5,38.3,38.3,39.5,38.1,42.5,41.7,43.1,44.8,44.4,41.4847123288,43.3,42.6847123288,44.2635342466,45.3635342466,44.4635342466,45.5375616438,46,-,-
"","Equatorial Guinea","1000 bbl/d",0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.51917,0.51912,0.81917,0.81917,0.81917,0.81912,0.81917,0.81917,0.81912,0.81912,0.91917,0.91917,0.919178082192,1.62491803279,1.23835616438,1.23835616438,1.23835616438,1.03825136612,1.13835616438,1.13835616438,1.78816438357,5.18816438357,3.1,4.6,4.9,4.9,5.18816438356,5.19704109589,5.2,-,-
"","Eritrea","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.3,7.2,7.3,7.34096,7.83178,8.13178082192,5.45131147541,4.79534246575,4.6,5.1,4.9,4.9,4.89534246575,4.56356164384,2.71706849316,3.30731506849,4.6,3.32106849315,3.52106849315,3.52106849315,3.59789041096,3.6,-,-
"","Estonia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,31.8852459016,33.6602739726,31.6054794521,24.9369863014,26.8989071038,26.7095890411,26.5287671233,24.7671232877,21.2923497268,24.1479452055,25.0684931507,24.4164383562,25.2568306011,26.0191780822,27.8383561644,29.5808219178,28.2431693989,25.7452054795,26.5205479452,26.0356164384,30.3606557377,29.9835616438,28.7726027397,28.4849315068,28.6038251366,28.2904109589
"","Ethiopia","1000 bbl/d",12,12,13,15,15,18,17.2,19.5,18.7,19.7,19.6,16.4,23.5,21.9,14.1,15.4,11.6,11.6,17.19534,21.6317808219,22.3316939891,22.9317808219,25.3317808219,27.2317808219,28.9,30.1,33.5,37.8,47.4,46,42.9,48.4,52,58.2,63.6816986301,65,-,-
"","Falkland Islands (Islas Malvinas)","1000 bbl/d",0.08,0.08,0.08,0.08,0.08,0.1,0.07736,0.07736,0.13639,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.12112,0.22117,0.12117,0.121178082192,0.121120218579,0.144,0.244,0.244,0.244,0.221178082192,0.263534246575,0.28471232876,0.28471232876,0.284712328767,0.284712328767,0.284712328767,0.284712328767,0.284712328767,0.29202739726,0.3,-,-
"","Faroe Islands","1000 bbl/d",2.9,NA,NA,0,0,3.5,3.33161643836,3.5,3.61824657534,3.96517808219,4.36517808219,3.97994520548,3.9625,3.92166,4.02166,4.33125,4.34333,4.34333,4.34345,4.34345205479,4.44333333333,4.44345205479,4.44345205479,4.44345205479,4.64333333333,4.74345205479,4.98188539726,4.8651780822,4.8651780822,4.86517808219,4.77014520548,4.86517808219,4.86517808219,4.22202739726,4.29506849315,4.4,-,-
"","Fiji","1000 bbl/d",7.1,7.3,7.2,5.9,5.4,5.5,6.6,5.4,5.4,6.4,6.8,5.6958,5.9,6.3,6.4,7,7.2,7.2,7,7.6,9.2,10.0912328767,12.2182465753,15.6200712329,17.1182465753,17.0383178082,17.7729863014,16.9,14.3,9.5,9.26353424658,9.5,9.5,16.1211780822,15.9710136986,16,-,-
"","Finland","1000 bbl/d",270.5,241,221,208,214.196721311,205.268493151,223.02739726,231.216438356,230.275956284,227.663013699,228.4,228.304109589,227.896174863,213.936986301,222.953424658,206.142465753,206.538251366,206.684931507,214.065753425,214.032876712,213.207650273,214.926027397,220.252054795,224.887671233,221.191256831,220.843835616,223.44109589,228.136986301,218.467213115,205.123287671,214.369863014,208.728767123,200.639344262,197.676712329,193.052054795,210.8,214.103825137,217.136986301
"","Former Czechoslovakia","1000 bbl/d",355,350,327,319,301.001,298.001,295,296,280.999,310,291,241.999,241.001,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Serbia and Montenegro","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,56.45,33.3,32.431,27.022,49.23,67.419,63.441,57.569,62.478,81.937,83.817,84.67,85.079,86.087,--,--,--,--,--,--,--,--,--,-,-,-
"","Former U.S.S.R.","1000 bbl/d",8995,8935,9075,8950,8910,8950,8976,8995,8891,8740,8393,8350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-
"","Former Yugoslavia","1000 bbl/d",301,285,286,267,325,331,305.00448,314.41,316.80464,310.332,316.6,251.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-
"","France","1000 bbl/d",2256.4,2023,1880,1835,1770.6557377,1753.17260274,1763.72328767,1785.35342466,1801.24590164,1844.15890411,1827.43287671,1941.72876712,1933.33879781,1878.74246575,1865.91780822,1914.97808219,1942.94808743,1962.24109589,2040.17260274,2033.88493151,2000.57103825,2054.41369863,1991.50136986,2000.85753425,2008.48360656,1990.11232877,1991.49863014,1975.03013699,1934.90710383,1859.29863014,1818.29315068,1778.41917808,1736.37704918,1714.00821918,1691.40273973,1691.41369863,1652.39617486,1705.12054795
"","French Guiana","1000 bbl/d",2.5,2.2,2.7,2.8,2.2,2.2,2.57787,2.8839,3.29622,3.8051,4.54697,4.97934,4.0742,5.36356,5.36356,6.26356,6.16338,6.26356,6.26356,6.26356164384,6.26338797814,6.26356164384,6.36356164384,6.76356164384,6.46338797814,6.96356164384,6.86356164384,6.76356164384,6.27627397261,5.42117808219,6.42117808219,5.42117808219,5.42117808219,5.71191780822,5.74865753425,5.5,-,-
"","French Polynesia","1000 bbl/d",1.5,2.3,3,4,6,5.2,6.62153,6.6217,6.51546,6.56959,6.21366,6.21366,5.84224,5.84235,4.62117,4.82117,4.72112,4.82117,4.82117,4.82117808219,4.52112021858,4.52117808219,4.82117808219,5.72117808219,5.72112021858,6.32117808219,6.72117808219,6.62117808219,7.22117808219,7.02117808219,7.22117808219,7.02117808219,7.02117808219,6.67871232877,6.6361369863,7,-,-
"","Gabon","1000 bbl/d",11,12,11,14,12,11,9.9,10.4,11.7,15.6,15.3,15.6,16.1,15.1,15.3,14,15,16,15.4,18.3,12.2,12.5,12,12.6,12.8,12.7,13.9,15.3,20.1,14.4,18.1,17.8,18,18.4,20.5396778082,21,-,-
"","Gambia, The","1000 bbl/d",1.1,1.1,1.1,1.1,1.2,1.2,1.08471,1.31824,1.31819,1.31824,1.32424,1.31824,1.31819,1.41824,1.63649,1.51824,1.51819,1.51824,1.61824,1.61824657534,1.71819672131,1.91824657534,1.91824657534,1.91824657534,2.01819672131,2.01824657534,2.20005479452,2.71830136986,2.91830136986,3.16832876712,3.4135890411,3.16832876712,3.16832876712,3.46832876712,3.51035616438,3.6,-,-
"","Georgia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,27,15.64046,7.48,8.04,14.5,15.5,15.8,25.9,30,33.7,12.4,12.5,13,15.1,16.1,18,18.9,20,21.2,22,21.9020725808,22.3,23.5887945205,23,-,-
"","Germany","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,2829.07671233,2841.39071038,2908.45753425,2883.34520548,2882.15068493,2922.3442623,2917.20547945,2922.86027397,2835.79178082,2766.75136612,2807.45205479,2710.35890411,2679.18630137,2648.03551913,2624.0739726,2635.75068493,2406.66849315,2533.4726776,2434.46575342,2466.87671233,2392.20821918,2389.09289617,2435.0630137,2373.87671233,2367.7369863,2383.39344262,2459.83561644
"","Germany, East","1000 bbl/d",375,355,371,337,372,362,362.1,342.469,322.028,300.359,282.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Germany, West","1000 bbl/d",2707,2449,2372,2324,2184.998,2289.001,2429.9,2380.53,2400.971,2280.639,2399.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Ghana","1000 bbl/d",16,14,16,14,16,14,15.8,18.2,21.3,23.7,20,20.1,22.4,23.4,25.8,26.6,27.1,25.9,26.7,31.1,37.4,36.1,38.6,41,44.7,46.5,47.4,48,43.6,54.2,65.1,68.5,77.5,81.2,77.5485139726,75,-,-
"","Gibraltar","1000 bbl/d",3.3,3.7,3.3,2.6,2.4,5.5,8.16517,8.4,11,9.4,9.8,10,17.78666,18.7869,18.8869,18.8869,18.88666,18.8869,21.8,18.9869041096,41.1,22.7869041096,22.8869041096,23.9869041096,24.0866666667,25.3869041096,25.3869041096,26.5869041096,26.6869041096,27.8869041096,50.1,53.4,53.4,77.4,58.2982191781,60,-,-
"","Greece","1000 bbl/d",262.4,254,239,231,232.346994536,241.684931507,246.391780822,266.712328767,279.464480874,298.301369863,314.115068493,316.326027397,323.101092896,332.608219178,340.452054795,355.421917808,367.704918033,374.150684932,391.597260274,383.060273973,399.199453552,405.709589041,408.356164384,428.706849315,419.729508197,423.849315068,444.082191781,449.890410959,428.833333333,403.378082192,369.84109589,350.917808219,305.942622951,282.610958904,283.295890411,295.452054795,296.101092896,304.063013699
"","Greenland","1000 bbl/d",3.7,3.5,3.4,2.4,3.8,3.4,2.26008219178,1.56008219178,3.63835616438,3.21917808219,3.66263013699,3.61917808219,3.21912,3.3,3.31912,3.31912,3.51912,3.61912,3.61917,3.61917808219,3.71912568306,3.81917808219,3.91917808219,3.91917808219,3.81912568306,4.01917808219,4.01917808219,3.91917808219,4.42049943342,4.23028420822,6.47940969426,7.01470210779,7.01470210779,4.52202739726,4.63336986301,5,-,-
"","Grenada","1000 bbl/d",0.3,0.4,0.4,0.4,0.4,0.4,0.46379,0.57733,0.59531,0.59557,0.89252,0.89252,0.91632,1.05981,1.21598,1.11095,1.196,1.59139,1.35492,1.35493150685,0.9,1.6,1.7024109589,1.76005479452,1.77295081967,1.79139726027,1.96005479452,1.99753424656,1.99753424656,2.01050793973,2.01024109589,2.01050793973,2.01050793973,2.30893150685,2.25939726027,2.3,-,-
"","Guadeloupe","1000 bbl/d",3.5,4.9,6.2,6.5,7.1,6.5,6.60982,7.51102,8.21559,9.1,9.8,10.2,9.7,11,11.4,11.7,11.6,11.9,11.9,11.9,12.4,12.7,12.9,13.4,13.8,14.4,15.2,16.7,17,14.6,14.6,14.6,14.6,16.8,16.7097534247,17,-,-
"","Guam","1000 bbl/d",25,35,27,26,9,4.6,7.70821,5.31095,5.50655,5.3,12.67397,14.2,17.09836,22.663,32.86027,24.4,21.58851,24.67419,20.2,22.3,18.573989071,20.17,13.535,15.355,12.1,13.5,14.2,12.7,10.999,6.8,16.818,14.577,15.6197087325,13.4715647323,15.2328767123,15.2328767123,15.2328767123,-
"","Guatemala","1000 bbl/d",29,25,25,26,23,26,23.1,23.4,25.7,26,27.2,25.8,31.2,33.5,38.1,41.3,43.9,48.2,58,58.7,59.7,65.9,64,64,67.8,70,70.4,73.9,67.6,76.1,67.9,68.5,70.1,72.3,75.4404493151,70,-,-
"","Guinea","1000 bbl/d",5.6,5.5,5.6,5.7,5.7,5.3,6.56517,7.02201,7.1,6.83835,9.3,7.14392,7.4,7.8,7.9,7.8,7.8,7.9,8,8,8.3,8.3,8.3,8.4,8.5,8.7,8.6,8.7,9.1,9.2,9.2,9.2,9.2,16.2,16.1271780822,16,-,-
"","Guinea-Bissau","1000 bbl/d",0.6,0.6,0.6,0.6,0.8,0.9,0.77413,1.29531,1.49505,1.51649,1.83178,1.83178,1.93169,2.13178,2.13178,2.13178,2.03169,2.13178,2.13178,2.13178082192,2.23169398907,2.23178082192,2.33178082192,2.33178082192,2.33169398907,2.63178082192,2.46356164384,2.66356164384,2.66578630137,2.67087123288,2.67087123288,2.67087123288,2.67087123288,2.39534246575,2.42265753425,2.5,-,-
"","Guyana","1000 bbl/d",9.8,12,9.3,8.3,9.3,9.5,9.02438,6.78191,6.68169,4.55753,4.35753,5.06442,5.78169,7.15287,7.15287,6.2,6.8,7.25753,9.35753,11.1575342466,10.8,11.1,11.2383561644,11.1383561644,10.1382513661,10.9575342466,10.5383561644,10.4383561644,10.7339452055,10.8323856438,10.7,10.8323856438,10.8323856438,13.1191780822,13.252109589,13,-,-
"","Haiti","1000 bbl/d",6,4,5,4,4,4.8,4.9,8.36,9.1,8.6,4.7,4.6,5.4,4.3,3.7,6.3,7.4,9.47315,8.9,10,10.4,11.3,11.6,11.5,11.9,12,12.2,13.5,16.7,15.4,14.1953424658,15.4,14.7,17.288109589,19.0229315068,20,-,-
"","Hawaiian Trade Zone","1000 bbl/d",45,52,48,45,54,52,30.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-
"","Honduras","1000 bbl/d",12,11,11,12,12,11,11.7,11.8,13.2,16.1,17.7,17.5,18.3,18.1,20.3,23.3,25.4,25.7,29.3,30.9,27.9,32.5,38.5,36.3,42.1,44.1,46.7,50.6,48.6,43.3,46.3,47.6,51.2,52.2,51.6661917808,55,-,-
"","Hong Kong","1000 bbl/d",124,128,125,119,115,110,113.1,115.7,121.2,123.1,127.6,132.8,151.6,157.9,180.1,186,183,184.7,192,289,244.7,244.5,251.8,276.3,318.9,331.2,316.8,328.1,295.9,353.8,430.2,384.2,353.4,347.3,322.296896631,388,-,-
"","Hungary","1000 bbl/d",243.8,236,223,223,200.150273224,206.054794521,194.517808219,199.147945205,182.336065574,183.131506849,177.498630137,163.791780822,163.584699454,160.742465753,161.983561644,155.449315068,145.133879781,148.901369863,155.479452055,149.095890411,143.202185792,138.134246575,140.383561644,135.208219178,136.213114754,154.750684932,163.128767123,160.98630137,158.846994536,156.569863014,149.271232877,142.246575342,132.081967213,130.495890411,145.693150685,155.457534247,155.543715847,167.731506849
"","Iceland","1000 bbl/d",11,10,9,10,10.6120218579,10.7123287671,10.8575342466,11.797260274,12.2868852459,13.2164383562,13.4547945205,12.6602739726,13.5382513661,14.0438356164,14.2328767123,14.3260273973,16.0054644809,15.7287671233,16.1452054795,16.2082191781,16.4863387978,15.4767123288,16.0849315068,16.1315068493,16.8743169399,17.1315068493,18.0082191781,17.7150684932,16.3907103825,15.2410958904,14.6136986301,14.4164383562,14.218579235,14.9369863014,15.6219178082,17.3205479452,19.0901639344,20.8109589041
"","India","1000 bbl/d",643,729,737,773,824,895,947,989,1084,1150,1169,1192,1274,1312,1414,1574,1681,1766,1845,1960,2126,2183,2264,2347,2429,2513,2691,2799,2865,3114,3306,3463,3618,3655,3833.61605479,4142,-,-
"","Indonesia","1000 bbl/d",408,455,479,470,470,465,470.7,494.2,524.8,583.7,651,696,706,766,778,806,857,942,904,965,1183.84571038,1189.32841096,1202.99742466,1231.32430137,1351.41808743,1371.62739726,1293.15013699,1335.91756164,1372.91467213,1411.16838356,1487.2159726,1575.13460274,1649.38904372,1664.02936986,1684.50361644,1622,-,-
"","Iran","1000 bbl/d",590,580,660,785,765,790,830,864,870.2,965,1002,1075,1084,1108,1129,1140,1119,1221,1218,1093.7,1370.83240437,1437.85005479,1429.12506849,1443.92772603,1520.17495082,1678.7558137,1802.63158356,1856.10734247,1921.25422404,1962.33424,1832.53013479,1848.25735562,1903.56029585,1980.25696137,1961.58849534,1850,-,-
"","Iraq","1000 bbl/d",217,214,205,250,240,258,279,285.3,320,351,400,263.3,340.8,408,457.1,474,469,443.2,447,451,434.600081967,470.222191781,449.367917808,420.749260274,509.937650273,570.348,469.214986301,429.492593973,490.526939891,585.825189041,655.152566575,704.538088767,780.682685246,797.584189589,844.434549041,788,-,-
"","Ireland","1000 bbl/d",119.035,104,92,83,84.5136612022,83.8438356164,98.9780821918,89.3452054795,80.0628415301,82.9315068493,92.1726027397,98.5753424658,100.857923497,104.054794521,113.893150685,117.191780822,121.631147541,134.487671233,149.605479452,168.975342466,172.289617486,180.852054795,177.038356164,175.452054795,182.592896175,197.561643836,204.783561644,194.723287671,192.68579235,166.397260274,165.567123288,144.931506849,137.409836066,140.380821918,140.030136986,145.830136986,152.404371585,153.676712329
"","Israel","1000 bbl/d",160.4,163,162,151,125.494535519,131.57260274,142.797260274,157.956164384,168.265027322,172.665753425,178.975342466,179.920547945,180.721311475,198.931506849,211.893150685,227.767123288,221.073770492,230.04109589,227.638356164,234.890410959,252.426229508,233.682191781,246.852054795,254.580821918,248.284153005,233.452054795,242.17260274,250.789041096,246.098360656,232.767123288,251.268493151,249.446575342,296.336065574,224.095890411,206.701369863,218.389041096,221.631147541,242.238356164
"","Italy","1000 bbl/d",1934.8,1874,1781,1750,1719.57923497,1704.58082192,1733.51780822,1815.11506849,1829.43169399,1897.23287671,1868.44931507,1855.71506849,1894.25136612,1890.55068493,1869.19178082,1942.10410959,1920.40983607,1933.73972603,1943,1890.80273973,1853.77595628,1834.50684932,1870.12876712,1859.62465753,1828.88797814,1780.5369863,1776.56438356,1728.70410959,1666.74590164,1544.20273973,1544.24109589,1493.76986301,1370.12295082,1260.02191781,1266.23835616,1273.71232877,1236.6284153,1236.00821918
"","Jamaica","1000 bbl/d",53,46,39,41,35,31,30.6,33.5,37.6,43.1,45.2,47.3,50.8,51.9,54.1,59.9,62.7,65.8,66.6,68.3,65.1,66.6,67.5,70.8,71.8,68.4,77.9,82.7,80.3,58.3423561644,51.0423561644,54.3423561644,51.4,52.5211780822,53.4374180822,52,-,-
"","Japan","1000 bbl/d",4960.3,4848,4582,4395,4666.1147541,4436.00821918,4502.93150685,4567.48493151,4849.06010929,5057.92328767,5217.37260274,5251.69589041,5355.89071038,5266.46027397,5510.78082192,5545.49315068,5590.64754098,5549.20273973,5347.77260274,5485.70684932,5356.47540984,5265.13150685,5187.10684932,5298.41643836,5163.37704918,5163.5890411,5037.79726027,4903.48493151,4666.68852459,4266.25479452,4339.55342466,4352.92328767,4631.09562842,4487.43561644,4261.20547945,4141.8109589,4009.45081967,3893.98082192
"","Jordan","1000 bbl/d",37,44,50,53,56,58,62.1,65.7,61.5,62.4,65.6,62.2,73.1,71.6,81.6,84.9,92.1,88.8,95.3,96.1,100.8,99.3,103.7,106.8,106.9,112.2,107.8,104.1,96,98.2,106.6,127.2,137.4,143.7,157.592761644,135,-,-
"","Kazakhstan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,403,341,298.1,268.8,245.8,216.4,196.7,146.7,188.6,224.484712329,217.7,208.3,221.3,229.6,234.6,235.6,246.9,209.8,234.4,271.4,245,251.4,248.894349589,253,-,-
"","Kenya","1000 bbl/d",41,39,39,37,36,37,38.9,34.3,38.4,42.1,41.9,36.8,41,42.1,43.4,46.2,48.4,43.9,51.1,51.6,57.2,51.6,51.3,54,59.8,66.1,72.8,73,68.2,75.1,79.1,88,84.4,87.5,90.0657863014,100,-,-
"","Kiribati","1000 bbl/d",0.2,0.2,0.2,0.2,0.1,0.1,0.10347,0.12172,0.12166,0.12172,0.12172,0.123,0.12166,0.12172,0.12172,0.12172,0.12166,0.12172,0.12172,0.121726027397,0.121666666667,0.145,0.217,0.217,0.217,0.210191780822,0.188465753425,0.18846575342,0.18846575342,0.297360547945,0.297360547945,0.297360547945,0.297360547945,0.450438356164,0.509616438356,0.4,-,-
"","Korea, North","1000 bbl/d",48,51,52,57,60,64,68.57788,69.77788,64.47,63.6686,72.98138,76.7,74.16706,71.66309,70.36209,62.95604,47.83099,40.23096,35.26132,77.5637707288,87.2778626831,22.916240537,24.9162732548,24.9158644164,23.7160015027,18.6135176329,14.3103674411,16.7,17.2,13.3097848493,17.0150252986,17.4149639671,17.4149639671,16.9152287014,17.2458520548,18,-,-
"","Korea, South","1000 bbl/d",537.5,536,534,561,554.166666667,551.684931507,591.726027397,626.706849315,745.770491803,860.093150685,1048.25753425,1263.33972603,1526.75409836,1684.12328767,1840.4630137,2007.69041096,2100.96448087,2254.96986301,1916.56438356,2083.76986301,2135.36338798,2132.03561644,2149.13424658,2175.36438356,2155.11748634,2191.34794521,2179.8739726,2240.48493151,2142.28415301,2188.4739726,2268.55890411,2259.37808219,2321.57923497,2328.25753425,2347.78356164,2473.1260274,2605.43989071,2584.14246575
"","Kosovo","1000 bbl/d",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.2,11.9,12.35,13.3423561644,12.2,12,11.388739726,14,-,-
"","Kuwait","1000 bbl/d",106,116,118,123,120,121,118.4,114.3,120.8,124.2,85.2,94.8,120.5,130.5,165.9,172.8,188.8,212.8,238.4,285.7,184.616502732,194.283479452,226.253287671,263.320027397,265.314180328,280.942383562,295.859780822,355.585529863,374.745724044,439.043263562,444.658901918,445.407764384,450.15000765,440.823978082,498.361672329,489,-,-
"","Kyrgyzstan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,32.1,19.4,8.8,11.7,12.3,10.20308,14.00428,11.6051269918,18.1,18.1,10.1,9.7,12.3024603661,13.6027185315,13.6034827397,14.3,25.7,34.3008687671,26.5,28.6,36.5,36.5,30.6592515068,33,-,-
"","Laos","1000 bbl/d",3,1.2,1.1,1.2,1.1,1.2,1.5,1.5,1.5,1.7,1.7,2,2,2,2.1,2.2,2.4,2.7,2.7,2.7,2.7,2.7,2.7,3,2.9,3,3.1,3.2,3.3,3.2,3.2,3.2,3.2,3.51917808219,3.48024657534,3.5,-,-
"","Latvia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,53.9863387978,51.4767123288,49.4821917808,39.3671232877,40.7404371585,35.9561643836,34.7315068493,32.7178082192,28.0601092896,31.7726027397,32.197260274,33.0849315068,34.2103825137,35.9260273973,37.4109589041,39.8273972603,38.1557377049,36.1616438356,37.4547945205,34.2438356164,34.150273224,34.701369863,34.8739726027,36.7205479452,37.693989071,44.6164383562
"","Lebanon","1000 bbl/d",45,42,41,43,41,48,45.8,47.9,42.8,34.7,33,53.2,55.6,68.3,76.5,82.6,85.8,97.98471,99.58471,104.084712329,105.084480874,102.284712329,102.142356164,104.121178082,102.121120219,97.6211780822,87.3211780822,79.1211780822,103.5,129,120.3,124.5,126.9,139.5,148.844520548,151,-,-
"","Lesotho","1000 bbl/d",1,1,1,1,1,1.1,1.15379,1.15379,0.79067,1.15379,1.15379,1.15379,1.1515,1.14,1.25,1.25,1.25,1.25,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.8,1.8,1.6,3.8075785302,1.6,1.6,5.1,5.12090410959,5,-,-
"","Liberia","1000 bbl/d",13,12,12,12,11,11,8.15717,6.06376,7.9,6.43178,3.83178,2.19695,2.29669,2.53178,2.53178,2.53178,2.63169,2.63178,2.73178,2.73178082192,2.96338797814,3.06356164384,3.39534246575,3.39534246575,3.49508196721,3.46356164384,4.1629916137,4.55887671233,3.99865207691,3.79534246575,3.69534246575,3.79534246575,3.79534246575,6.49534246575,6.61054794521,6.6,-,-
"","Libya","1000 bbl/d",100,115,124,125,120,128,124.8,135.3,142.2,147.4,154.6,165.6,149.1,160,165.9,179.1,187,198.8,187.6,177.6,255.158503825,255.716596164,263.598066849,273.041256986,261.055762842,275.582041644,262.787310685,249.980591781,259.876548634,302.391903562,314.649178082,190.347330411,255.647449863,251.378131507,270.408414247,259,-,-
"","Lithuania","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,84.1,76.26353,78.3,73.5,65.1,66.7,70.9,56.3,69.4,103,87.7,51.6,55.6,67.9,73,74,67.4,57.2,54.4,54.1,56.1,53.2,52.0721654795,53,-,-
"","Luxembourg","1000 bbl/d",23,22,22,21,20.674863388,21.9890410959,23.8273972603,26.7835616438,27.368852459,30.1397260274,33.1315068493,38.6164383562,39.7076502732,39.6684931507,39.7726027397,37.4575342466,38.7240437158,40.7150684932,42.4356164384,45.2904109589,48.3879781421,51.4356164384,52.2794520548,55.9945205479,63.131147541,64.797260274,61.5698630137,60.9753424658,61.1612021858,57.3726027397,59.9753424658,61.4219178082,59.2103825137,58.4657534247,56.8,56.2219178082,56.1174863388,59.8630136986
"","Macau","1000 bbl/d",3.2,3.1,3.3,4.6,5,4.1,5.9,6.39901,6.19543,6.59854,6.87156,6.79569,7,7.7,8.2,8.1869,9.4,9.7,10.4,11,10.1,10.6,11.8,12.5,15.1,12.9,15.1,15.1,8.27876027396,12.5,9.67652054795,10.672359266,11.1624169897,10.4798828293,10.8631491066,12.7,-,-
"","Macedonia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,19.4,21.3,18,18.5,23.4,21,22.3,20,22.7,18.5,20.1,19.8,19.6,20,19.7,20.2,18.7,19.0869041096,18.9,19.2869041096,18.6434520548,18.8,18.726,19,-,-
"","Madagascar","1000 bbl/d",8,7,6,8,8,8.6,5.59097,8.28,8.99458,6.39056,6.20998,6.52172,7.12166,7.32172,8.02172,8.42172,8.42166,8.52172,8.52172,8.5217260274,12.1216666667,13.3217260274,15.4217260274,13.9217260274,17.4216666667,16.7,16.6217260274,16.6,13.7,12.1,12.2,12.1,12.1,15.2,15.2312328767,15,-,-
"","Malawi","1000 bbl/d",3,3.5,2.9,2.4,2.3,2.7,2.5,2.61242,2.6,3.34235,3.54235,4.5,4.5,4.30681,4.6,4.9,4.9,4.9,4.9,4.9,5.31819672131,5.31824657534,5.51824657534,5.51824657534,6.34989071038,6.81824657534,6.98180821918,7.20005479452,7.20038958904,6.1064109589,6.1064109589,6.1064109589,6.1064109589,6.90005479452,6.84254794521,7,-,-
"","Malaysia","1000 bbl/d",160,165,180,192,194,194,191.9,197.3,202.3,219.3,264.9,282.6,302,336.5,378.9,399.2,436.2,468.7,450.1,453,464.7,490.1,493.9,498.2,508.2,522.5,534.9,544.6,668.4,585.3,630.9,674.4,670.8,715.8,733.017956164,690,-,-
"","Maldives","1000 bbl/d",0.1,0.1,0.1,0.1,0.4,0.4,0.46353,0.46353,0.56336,0.56353,0.68471,0.68471,0.68448,0.8,1.68396,2.28471,2.3,1.9869,2.1869,2.18690410959,3.18448087432,3.3,4.2,6.9,4.8,3.9,5.38471232877,6.12117808219,6.22117808219,6.92117808219,6.91982268493,6.92117808219,6.92117808219,10.7660821918,10.7634520548,11,-,-
"","Mali","1000 bbl/d",3,4,3,3,3,3.3,2.4889,2.9,1.60812,3.22438,3.23038,3.2308,3.42431,3.42438,3.42438,3.42438,3.62431,3.62438,3.72438,3.72438356164,3.82431693989,3.82438356164,4.22438356164,4.22438356164,4.32431693989,4.92438356164,4.42438356164,4.42438356164,4.52438356164,4.82438356164,4.82438356164,4.82438356164,4.82438356164,7.5,7.48556164384,7.5,-,-
